# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  1.4  0.0000  5.0000  98.0851
7.5  1.4  0.0000  5.3152  98.0851
7.5  1.4  0.0000  5.6503  98.0851
7.5  1.4  0.0000  6.0065  98.0851
7.5  1.4  0.0000  6.3852  98.0851
7.5  1.4  0.0000  6.7878  98.0851
7.5  1.4  0.0000  7.2157  98.0851
7.5  1.4  0.0000  7.6706  98.0851
7.5  1.4  0.0000  8.1542  98.0851
7.5  1.4  0.0000  8.6683  98.0851
7.5  1.4  0.0000  9.2148  98.0851
7.5  1.4  0.0000  9.7958  98.0851
7.5  1.4  0.0000  10.4133  98.0851
7.5  1.4  0.0000  11.0698  98.0851
7.5  1.4  0.0000  11.7677  98.0851
7.5  1.4  0.0000  12.5096  98.0851
7.5  1.4  0.0000  13.2983  98.0851
7.5  1.4  0.0000  14.1367  98.0851
7.5  1.4  0.0000  15.0279  98.0851
7.5  1.4  0.0000  15.9754  98.0851
7.5  1.4  0.0000  16.9825  98.0851
7.5  1.4  0.0000  18.0532  98.0851
7.5  1.4  0.0000  19.1914  98.0851
7.5  1.4  0.0000  20.4013  98.0851
7.5  1.4  0.0000  21.6875  98.0851
7.5  1.4  0.0000  23.0548  98.0851
7.5  1.4  0.0000  24.5083  98.0851
7.5  1.4  0.0000  26.0534  98.0851
7.5  1.4  0.0000  27.6959  98.0851
7.5  1.4  0.0000  29.4420  98.0851
7.5  1.4  0.0000  31.2982  98.0851
7.5  1.4  0.0000  33.2714  98.0851
7.5  1.4  0.0000  35.3690  98.0851
7.5  1.4  0.0000  37.5988  98.0851
7.5  1.4  0.0000  39.9692  98.0851
7.5  1.4  0.0000  42.4891  98.0851
7.5  1.4  0.0000  45.1678  98.0851
7.5  1.4  0.0000  48.0154  98.0851
7.5  1.4  0.0000  51.0425  98.0851
7.5  1.4  0.0000  54.2605  98.0851
7.5  1.4  0.0000  57.6813  98.0851
7.5  1.4  0.0000  61.3179  98.0851
7.5  1.4  0.0000  65.1836  98.0851
7.5  1.4  0.0000  69.2931  98.0851
7.5  1.4  0.0000  73.6617  98.0851
7.5  1.4  0.0000  78.3057  98.0851
7.5  1.4  0.0000  83.2425  98.0851
7.5  1.4  0.0000  88.4905  98.0851
7.5  1.4  0.0000  94.0694  98.0851
7.5  1.4  0.0000  100.0000  98.0851
7.5  1.4  0.0400  5.0000  91.6562
7.5  1.4  0.0400  5.3152  90.5678
7.5  1.4  0.0400  5.6503  89.3783
7.5  1.4  0.0400  6.0065  88.0849
7.5  1.4  0.0400  6.3852  86.6863
7.5  1.4  0.0400  6.7878  85.1822
7.5  1.4  0.0400  7.2157  83.5744
7.5  1.4  0.0400  7.6706  81.8667
7.5  1.4  0.0400  8.1542  80.0652
7.5  1.4  0.0400  8.6683  78.1784
7.5  1.4  0.0400  9.2148  76.2173
7.5  1.4  0.0400  9.7958  74.1949
7.5  1.4  0.0400  10.4133  72.1264
7.5  1.4  0.0400  11.0698  70.0279
7.5  1.4  0.0400  11.7677  67.9166
7.5  1.4  0.0400  12.5096  65.8095
7.5  1.4  0.0400  13.2983  63.7235
7.5  1.4  0.0400  14.1367  61.6741
7.5  1.4  0.0400  15.0279  59.6755
7.5  1.4  0.0400  15.9754  57.7398
7.5  1.4  0.0400  16.9825  55.8774
7.5  1.4  0.0400  18.0532  54.0963
7.5  1.4  0.0400  19.1914  52.4025
7.5  1.4  0.0400  20.4013  50.8000
7.5  1.4  0.0400  21.6875  49.2909
7.5  1.4  0.0400  23.0548  47.8758
7.5  1.4  0.0400  24.5083  46.5538
7.5  1.4  0.0400  26.0534  45.3230
7.5  1.4  0.0400  27.6959  44.1805
7.5  1.4  0.0400  29.4420  43.1227
7.5  1.4  0.0400  31.2982  42.1456
7.5  1.4  0.0400  33.2714  41.1708
7.5  1.4  0.0400  35.3690  40.2647
7.5  1.4  0.0400  37.5988  39.4314
7.5  1.4  0.0400  39.9692  38.6659
7.5  1.4  0.0400  42.4891  37.9635
7.5  1.4  0.0400  45.1678  37.3194
7.5  1.4  0.0400  48.0154  36.7293
7.5  1.4  0.0400  51.0425  36.1888
7.5  1.4  0.0400  54.2605  35.6940
7.5  1.4  0.0400  57.6813  35.2412
7.5  1.4  0.0400  61.3179  34.8268
7.5  1.4  0.0400  65.1836  34.4478
7.5  1.4  0.0400  69.2931  34.1011
7.5  1.4  0.0400  73.6617  33.7839
7.5  1.4  0.0400  78.3057  33.4938
7.5  1.4  0.0400  83.2425  33.2284
7.5  1.4  0.0400  88.4905  32.9856
7.5  1.4  0.0400  94.0694  32.7634
7.5  1.4  0.0400  100.0000  32.5601
7.5  1.4  0.0800  5.0000  85.4663
7.5  1.4  0.0800  5.3152  83.6205
7.5  1.4  0.0800  5.6503  81.6233
7.5  1.4  0.0800  6.0065  79.4749
7.5  1.4  0.0800  6.3852  77.1777
7.5  1.4  0.0800  6.7878  74.7374
7.5  1.4  0.0800  7.2157  72.1637
7.5  1.4  0.0800  7.6706  68.9981
7.5  1.4  0.0800  8.1542  65.7143
7.5  1.4  0.0800  8.6683  62.3610
7.5  1.4  0.0800  9.2148  58.9665
7.5  1.4  0.0800  9.7958  55.5620
7.5  1.4  0.0800  10.4133  52.1804
7.5  1.4  0.0800  11.0698  48.8548
7.5  1.4  0.0800  11.7677  45.6170
7.5  1.4  0.0800  12.5096  42.4967
7.5  1.4  0.0800  13.2983  39.5195
7.5  1.4  0.0800  14.1367  36.7071
7.5  1.4  0.0800  15.0279  34.0759
7.5  1.4  0.0800  15.9754  31.6374
7.5  1.4  0.0800  16.9825  29.3983
7.5  1.4  0.0800  18.0532  27.3604
7.5  1.4  0.0800  19.1914  25.5218
7.5  1.4  0.0800  20.4013  23.8607
7.5  1.4  0.0800  21.6875  22.2412
7.5  1.4  0.0800  23.0548  20.8076
7.5  1.4  0.0800  24.5083  19.5473
7.5  1.4  0.0800  26.0534  18.4469
7.5  1.4  0.0800  27.6959  17.4928
7.5  1.4  0.0800  29.4420  16.6710
7.5  1.4  0.0800  31.2982  15.9682
7.5  1.4  0.0800  33.2714  15.3712
7.5  1.4  0.0800  35.3690  14.8680
7.5  1.4  0.0800  37.5988  14.4471
7.5  1.4  0.0800  39.9692  14.0980
7.5  1.4  0.0800  42.4891  13.8111
7.5  1.4  0.0800  45.1678  13.5780
7.5  1.4  0.0800  48.0154  13.3908
7.5  1.4  0.0800  51.0425  13.2428
7.5  1.4  0.0800  54.2605  13.1279
7.5  1.4  0.0800  57.6813  13.0409
7.5  1.4  0.0800  61.3179  12.9772
7.5  1.4  0.0800  65.1836  12.9327
7.5  1.4  0.0800  69.2931  12.9041
7.5  1.4  0.0800  73.6617  12.8885
7.5  1.4  0.0800  78.3057  12.8833
7.5  1.4  0.0800  83.2425  12.8865
7.5  1.4  0.0800  88.4905  12.8697
7.5  1.4  0.0800  94.0694  12.8602
7.5  1.4  0.0800  100.0000  12.8564
7.5  1.4  0.1200  5.0000  80.8385
7.5  1.4  0.1200  5.3152  77.9658
7.5  1.4  0.1200  5.6503  74.8038
7.5  1.4  0.1200  6.0065  71.4874
7.5  1.4  0.1200  6.3852  68.0309
7.5  1.4  0.1200  6.7878  64.4534
7.5  1.4  0.1200  7.2157  60.7792
7.5  1.4  0.1200  7.6706  57.0386
7.5  1.4  0.1200  8.1542  53.2670
7.5  1.4  0.1200  8.6683  49.5050
7.5  1.4  0.1200  9.2148  45.7967
7.5  1.4  0.1200  9.7958  41.9331
7.5  1.4  0.1200  10.4133  37.8342
7.5  1.4  0.1200  11.0698  33.9504
7.5  1.4  0.1200  11.7677  30.3218
7.5  1.4  0.1200  12.5096  26.9817
7.5  1.4  0.1200  13.2983  23.9557
7.5  1.4  0.1200  14.1367  21.2608
7.5  1.4  0.1200  15.0279  18.8022
7.5  1.4  0.1200  15.9754  16.4884
7.5  1.4  0.1200  16.9825  14.5271
7.5  1.4  0.1200  18.0532  12.9047
7.5  1.4  0.1200  19.1914  11.6025
7.5  1.4  0.1200  20.4013  10.5979
7.5  1.4  0.1200  21.6875  9.8653
7.5  1.4  0.1200  23.0548  9.3595
7.5  1.4  0.1200  24.5083  8.9017
7.5  1.4  0.1200  26.0534  8.6478
7.5  1.4  0.1200  27.6959  8.5705
7.5  1.4  0.1200  29.4420  8.6437
7.5  1.4  0.1200  31.2982  8.8433
7.5  1.4  0.1200  33.2714  9.1469
7.5  1.4  0.1200  35.3690  9.5344
7.5  1.4  0.1200  37.5988  9.9878
7.5  1.4  0.1200  39.9692  10.4912
7.5  1.4  0.1200  42.4891  11.0307
7.5  1.4  0.1200  45.1678  11.5943
7.5  1.4  0.1200  48.0154  12.1719
7.5  1.4  0.1200  51.0425  12.7548
7.5  1.4  0.1200  54.2605  13.3360
7.5  1.4  0.1200  57.6813  13.9097
7.5  1.4  0.1200  61.3179  14.4711
7.5  1.4  0.1200  65.1836  14.9740
7.5  1.4  0.1200  69.2931  15.4519
7.5  1.4  0.1200  73.6617  15.9131
7.5  1.4  0.1200  78.3057  16.3558
7.5  1.4  0.1200  83.2425  16.7787
7.5  1.4  0.1200  88.4905  17.1811
7.5  1.4  0.1200  94.0694  17.5627
7.5  1.4  0.1200  100.0000  17.9234
7.5  1.4  0.1600  5.0000  75.0390
7.5  1.4  0.1600  5.3152  71.6892
7.5  1.4  0.1600  5.6503  68.2116
7.5  1.4  0.1600  6.0065  64.6273
7.5  1.4  0.1600  6.3852  60.9619
7.5  1.4  0.1600  6.7878  57.2030
7.5  1.4  0.1600  7.2157  52.5263
7.5  1.4  0.1600  7.6706  47.9007
7.5  1.4  0.1600  8.1542  43.3806
7.5  1.4  0.1600  8.6683  39.0243
7.5  1.4  0.1600  9.2148  34.8916
7.5  1.4  0.1600  9.7958  30.5558
7.5  1.4  0.1600  10.4133  26.5164
7.5  1.4  0.1600  11.0698  22.8863
7.5  1.4  0.1600  11.7677  19.5133
7.5  1.4  0.1600  12.5096  16.3459
7.5  1.4  0.1600  13.2983  13.7005
7.5  1.4  0.1600  14.1367  11.5821
7.5  1.4  0.1600  15.0279  9.8795
7.5  1.4  0.1600  15.9754  8.4103
7.5  1.4  0.1600  16.9825  7.4415
7.5  1.4  0.1600  18.0532  6.9385
7.5  1.4  0.1600  19.1914  6.8609
7.5  1.4  0.1600  20.4013  7.1652
7.5  1.4  0.1600  21.6875  7.5961
7.5  1.4  0.1600  23.0548  8.2784
7.5  1.4  0.1600  24.5083  9.2245
7.5  1.4  0.1600  26.0534  10.3900
7.5  1.4  0.1600  27.6959  11.7335
7.5  1.4  0.1600  29.4420  13.2167
7.5  1.4  0.1600  31.2982  14.8046
7.5  1.4  0.1600  33.2714  16.4663
7.5  1.4  0.1600  35.3690  18.1378
7.5  1.4  0.1600  37.5988  19.7430
7.5  1.4  0.1600  39.9692  21.3602
7.5  1.4  0.1600  42.4891  22.9715
7.5  1.4  0.1600  45.1678  24.5621
7.5  1.4  0.1600  48.0154  26.1199
7.5  1.4  0.1600  51.0425  27.6350
7.5  1.4  0.1600  54.2605  29.1001
7.5  1.4  0.1600  57.6813  30.5093
7.5  1.4  0.1600  61.3179  31.8586
7.5  1.4  0.1600  65.1836  33.1454
7.5  1.4  0.1600  69.2931  34.3681
7.5  1.4  0.1600  73.6617  35.5262
7.5  1.4  0.1600  78.3057  36.6177
7.5  1.4  0.1600  83.2425  37.6446
7.5  1.4  0.1600  88.4905  38.6099
7.5  1.4  0.1600  94.0694  39.5152
7.5  1.4  0.1600  100.0000  40.3626
7.5  1.4  0.2000  5.0000  70.6601
7.5  1.4  0.2000  5.3152  67.2541
7.5  1.4  0.2000  5.6503  63.3568
7.5  1.4  0.2000  6.0065  58.7047
7.5  1.4  0.2000  6.3852  54.0792
7.5  1.4  0.2000  6.7878  49.5318
7.5  1.4  0.2000  7.2157  45.1200
7.5  1.4  0.2000  7.6706  40.2903
7.5  1.4  0.2000  8.1542  35.6365
7.5  1.4  0.2000  8.6683  31.1293
7.5  1.4  0.2000  9.2148  26.5801
7.5  1.4  0.2000  9.7958  22.5531
7.5  1.4  0.2000  10.4133  18.7277
7.5  1.4  0.2000  11.0698  15.3047
7.5  1.4  0.2000  11.7677  12.5788
7.5  1.4  0.2000  12.5096  10.2368
7.5  1.4  0.2000  13.2983  8.4185
7.5  1.4  0.2000  14.1367  7.3370
7.5  1.4  0.2000  15.0279  6.8460
7.5  1.4  0.2000  15.9754  6.7835
7.5  1.4  0.2000  16.9825  7.2804
