# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.7  0.0800  48.0154  18.5672
7.5  0.7  0.0800  51.0425  21.7188
7.5  0.7  0.0800  54.2605  25.0474
7.5  0.7  0.0800  57.6813  28.5963
7.5  0.7  0.0800  61.3179  32.5369
7.5  0.7  0.0800  65.1836  36.6950
7.5  0.7  0.0800  69.2931  41.0481
7.5  0.7  0.0800  73.6617  45.5821
7.5  0.7  0.0800  78.3057  50.4010
7.5  0.7  0.0800  83.2425  55.0375
7.5  0.7  0.0800  88.4905  59.7452
7.5  0.7  0.0800  94.0694  64.5100
7.5  0.7  0.0800  100.0000  69.4146
7.5  0.7  0.1200  5.0000  77.2598
7.5  0.7  0.1200  5.3152  74.2329
7.5  0.7  0.1200  5.6503  71.1020
7.5  0.7  0.1200  6.0065  67.8966
7.5  0.7  0.1200  6.3852  64.6518
7.5  0.7  0.1200  6.7878  61.4086
7.5  0.7  0.1200  7.2157  57.6712
7.5  0.7  0.1200  7.6706  53.3353
7.5  0.7  0.1200  8.1542  49.1287
7.5  0.7  0.1200  8.6683  45.1177
7.5  0.7  0.1200  9.2148  41.3301
7.5  0.7  0.1200  9.7958  37.1586
7.5  0.7  0.1200  10.4133  33.3092
7.5  0.7  0.1200  11.0698  29.3468
7.5  0.7  0.1200  11.7677  25.6893
7.5  0.7  0.1200  12.5096  22.1195
7.5  0.7  0.1200  13.2983  18.5135
7.5  0.7  0.1200  14.1367  15.5240
7.5  0.7  0.1200  15.0279  12.7426
7.5  0.7  0.1200  15.9754  10.5863
7.5  0.7  0.1200  16.9825  8.8005
7.5  0.7  0.1200  18.0532  7.5992
7.5  0.7  0.1200  19.1914  6.9131
7.5  0.7  0.1200  20.4013  6.9469
7.5  0.7  0.1200  21.6875  7.5530
7.5  0.7  0.1200  23.0548  8.7760
7.5  0.7  0.1200  24.5083  10.8735
7.5  0.7  0.1200  26.0534  13.3943
7.5  0.7  0.1200  27.6959  16.7117
7.5  0.7  0.1200  29.4420  19.9810
7.5  0.7  0.1200  31.2982  24.1887
7.5  0.7  0.1200  33.2714  29.1017
7.5  0.7  0.1200  35.3690  34.8275
7.5  0.7  0.1200  37.5988  40.9989
7.5  0.7  0.1200  39.9692  47.5940
7.5  0.7  0.1200  42.4891  54.7590
7.5  0.7  0.1200  45.1678  62.7511
7.5  0.7  0.1200  48.0154  71.1730
7.5  0.7  0.1200  51.0425  80.3563
7.5  0.7  0.1200  54.2605  89.8572
7.5  0.7  0.1200  57.6813  99.7014
7.5  0.7  0.1200  61.3179  109.9142
7.5  0.7  0.1200  65.1836  120.6400
7.5  0.7  0.1200  69.2931  131.8902
7.5  0.7  0.1200  73.6617  143.3622
7.5  0.7  0.1200  78.3057  154.8949
7.5  0.7  0.1200  83.2425  166.7321
7.5  0.7  0.1200  88.4905  178.7045
7.5  0.7  0.1200  94.0694  190.8475
7.5  0.7  0.1200  100.0000  203.0264
7.5  0.7  0.1600  5.0000  71.2155
7.5  0.7  0.1600  5.3152  68.1030
7.5  0.7  0.1600  5.6503  65.0103
7.5  0.7  0.1600  6.0065  60.6025
7.5  0.7  0.1600  6.3852  56.2893
7.5  0.7  0.1600  6.7878  52.1496
7.5  0.7  0.1600  7.2157  48.1944
7.5  0.7  0.1600  7.6706  43.9866
7.5  0.7  0.1600  8.1542  39.7947
7.5  0.7  0.1600  8.6683  35.4953
7.5  0.7  0.1600  9.2148  30.9353
7.5  0.7  0.1600  9.7958  26.7034
7.5  0.7  0.1600  10.4133  22.7447
7.5  0.7  0.1600  11.0698  19.0723
7.5  0.7  0.1600  11.7677  15.7384
7.5  0.7  0.1600  12.5096  12.8380
7.5  0.7  0.1600  13.2983  10.7086
7.5  0.7  0.1600  14.1367  8.9759
7.5  0.7  0.1600  15.0279  8.1813
7.5  0.7  0.1600  15.9754  8.1339
7.5  0.7  0.1600  16.9825  8.7799
7.5  0.7  0.1600  18.0532  9.9728
7.5  0.7  0.1600  19.1914  11.7955
7.5  0.7  0.1600  20.4013  14.6572
7.5  0.7  0.1600  21.6875  18.1773
7.5  0.7  0.1600  23.0548  22.8747
7.5  0.7  0.1600  24.5083  28.8964
7.5  0.7  0.1600  26.0534  36.1723
7.5  0.7  0.1600  27.6959  44.2605
7.5  0.7  0.1600  29.4420  53.5373
7.5  0.7  0.1600  31.2982  64.1264
7.5  0.7  0.1600  33.2714  75.4352
7.5  0.7  0.1600  35.3690  87.5322
7.5  0.7  0.1600  37.5988  100.8372
7.5  0.7  0.1600  39.9692  114.9670
7.5  0.7  0.1600  42.4891  130.2192
7.5  0.7  0.1600  45.1678  146.7334
7.5  0.7  0.1600  48.0154  163.6417
7.5  0.7  0.1600  51.0425  181.2653
7.5  0.7  0.1600  54.2605  199.8977
7.5  0.7  0.1600  57.6813  219.4406
7.5  0.7  0.1600  61.3179  239.5082
7.5  0.7  0.1600  65.1836  259.5859
7.5  0.7  0.1600  69.2931  280.3303
7.5  0.7  0.1600  73.6617  301.6518
7.5  0.7  0.1600  78.3057  323.4642
7.5  0.7  0.1600  83.2425  345.5915
7.5  0.7  0.1600  88.4905  367.2894
7.5  0.7  0.1600  94.0694  389.2764
7.5  0.7  0.1600  100.0000  411.4808
7.5  0.7  0.2000  5.0000  66.4811
7.5  0.7  0.2000  5.3152  62.1506
7.5  0.7  0.2000  5.6503  57.9667
7.5  0.7  0.2000  6.0065  54.0268
7.5  0.7  0.2000  6.3852  49.8998
7.5  0.7  0.2000  6.7878  45.4384
7.5  0.7  0.2000  7.2157  40.9036
7.5  0.7  0.2000  7.6706  36.1433
7.5  0.7  0.2000  8.1542  31.6489
7.5  0.7  0.2000  8.6683  27.1515
7.5  0.7  0.2000  9.2148  22.9657
7.5  0.7  0.2000  9.7958  19.2895
7.5  0.7  0.2000  10.4133  15.8870
7.5  0.7  0.2000  11.0698  13.1534
7.5  0.7  0.2000  11.7677  10.9749
7.5  0.7  0.2000  12.5096  9.7353
7.5  0.7  0.2000  13.2983  9.1086
7.5  0.7  0.2000  14.1367  8.8812
7.5  0.7  0.2000  15.0279  9.4621
7.5  0.7  0.2000  15.9754  11.1668
7.5  0.7  0.2000  16.9825  14.5165
7.5  0.7  0.2000  18.0532  19.0936
7.5  0.7  0.2000  19.1914  25.1886
7.5  0.7  0.2000  20.4013  32.9279
7.5  0.7  0.2000  21.6875  41.7619
7.5  0.7  0.2000  23.0548  52.0800
7.5  0.7  0.2000  24.5083  64.1391
7.5  0.7  0.2000  26.0534  77.7696
7.5  0.7  0.2000  27.6959  93.3036
7.5  0.7  0.2000  29.4420  110.0602
7.5  0.7  0.2000  31.2982  129.1000
7.5  0.7  0.2000  33.2714  149.6651
7.5  0.7  0.2000  35.3690  171.3759
7.5  0.7  0.2000  37.5988  195.0521
7.5  0.7  0.2000  39.9692  220.2330
7.5  0.7  0.2000  42.4891  246.0045
7.5  0.7  0.2000  45.1678  273.3814
7.5  0.7  0.2000  48.0154  302.2223
7.5  0.7  0.2000  51.0425  331.5089
7.5  0.7  0.2000  54.2605  361.5899
7.5  0.7  0.2000  57.6813  392.7696
7.5  0.7  0.2000  61.3179  424.9139
7.5  0.7  0.2000  65.1836  457.1871
7.5  0.7  0.2000  69.2931  489.7513
7.5  0.7  0.2000  73.6617  522.9494
7.5  0.7  0.2000  78.3057  556.6647
7.5  0.7  0.2000  83.2425  590.7862
7.5  0.7  0.2000  88.4905  624.4021
7.5  0.7  0.2000  94.0694  658.0746
7.5  0.7  0.2000  100.0000  691.8953
7.5  0.7  0.2400  5.0000  61.2140
7.5  0.7  0.2400  5.3152  57.3204
7.5  0.7  0.2400  5.6503  53.2092
7.5  0.7  0.2400  6.0065  48.5087
7.5  0.7  0.2400  6.3852  43.9340
7.5  0.7  0.2400  6.7878  39.0714
7.5  0.7  0.2400  7.2157  34.3825
7.5  0.7  0.2400  7.6706  29.8616
7.5  0.7  0.2400  8.1542  25.4140
7.5  0.7  0.2400  8.6683  21.4228
7.5  0.7  0.2400  9.2148  17.7334
7.5  0.7  0.2400  9.7958  14.6899
7.5  0.7  0.2400  10.4133  12.4998
7.5  0.7  0.2400  11.0698  10.5712
7.5  0.7  0.2400  11.7677  9.3463
7.5  0.7  0.2400  12.5096  8.7070
7.5  0.7  0.2400  13.2983  9.8726
7.5  0.7  0.2400  14.1367  12.2982
7.5  0.7  0.2400  15.0279  16.6168
7.5  0.7  0.2400  15.9754  22.1631
7.5  0.7  0.2400  16.9825  29.3976
7.5  0.7  0.2400  18.0532  38.9004
7.5  0.7  0.2400  19.1914  50.3310
7.5  0.7  0.2400  20.4013  63.5899
7.5  0.7  0.2400  21.6875  79.4958
7.5  0.7  0.2400  23.0548  98.0083
7.5  0.7  0.2400  24.5083  118.5233
7.5  0.7  0.2400  26.0534  142.2367
7.5  0.7  0.2400  27.6959  167.1839
7.5  0.7  0.2400  29.4420  195.0350
7.5  0.7  0.2400  31.2982  225.0384
7.5  0.7  0.2400  33.2714  256.6032
7.5  0.7  0.2400  35.3690  290.7273
7.5  0.7  0.2400  37.5988  326.2794
7.5  0.7  0.2400  39.9692  363.3257
7.5  0.7  0.2400  42.4891  402.4461
7.5  0.7  0.2400  45.1678  442.7531
7.5  0.7  0.2400  48.0154  483.9362
7.5  0.7  0.2400  51.0425  526.6971
7.5  0.7  0.2400  54.2605  570.8534
7.5  0.7  0.2400  57.6813  616.2275
7.5  0.7  0.2400  61.3179  662.6471
7.5  0.7  0.2400  65.1836  709.9463
7.5  0.7  0.2400  69.2931  757.9657
7.5  0.7  0.2400  73.6617  806.5534
7.5  0.7  0.2400  78.3057  855.5649
7.5  0.7  0.2400  83.2425  904.8634
7.5  0.7  0.2400  88.4905  954.3202
7.5  0.7  0.2400  94.0694  1003.8147
7.5  0.7  0.2400  100.0000  1053.2341
7.5  0.7  0.2800  5.0000  57.5244
7.5  0.7  0.2800  5.3152  52.9202
7.5  0.7  0.2800  5.6503  48.2537
7.5  0.7  0.2800  6.0065  43.4764
7.5  0.7  0.2800  6.3852  38.7694
7.5  0.7  0.2800  6.7878  33.9774
7.5  0.7  0.2800  7.2157  29.3655
7.5  0.7  0.2800  7.6706  24.9999
7.5  0.7  0.2800  8.1542  20.9059
7.5  0.7  0.2800  8.6683  17.4951
7.5  0.7  0.2800  9.2148  14.8092
7.5  0.7  0.2800  9.7958  11.9286
7.5  0.7  0.2800  10.4133  9.7880
7.5  0.7  0.2800  11.0698  9.0748
7.5  0.7  0.2800  11.7677  9.8867
7.5  0.7  0.2800  12.5096  12.3323
7.5  0.7  0.2800  13.2983  15.9762
7.5  0.7  0.2800  14.1367  22.0826
7.5  0.7  0.2800  15.0279  30.3865
7.5  0.7  0.2800  15.9754  40.6393
7.5  0.7  0.2800  16.9825  53.5377
7.5  0.7  0.2800  18.0532  69.6042
7.5  0.7  0.2800  19.1914  88.7074
7.5  0.7  0.2800  20.4013  110.9525
7.5  0.7  0.2800  21.6875  136.2040
7.5  0.7  0.2800  23.0548  164.7025
7.5  0.7  0.2800  24.5083  195.8489
7.5  0.7  0.2800  26.0534  230.5291
7.5  0.7  0.2800  27.6959  267.1528
7.5  0.7  0.2800  29.4420  307.3729
7.5  0.7  0.2800  31.2982  349.3849
7.5  0.7  0.2800  33.2714  394.1865
7.5  0.7  0.2800  35.3690  442.0060
7.5  0.7  0.2800  37.5988  492.6100
7.5  0.7  0.2800  39.9692  545.7632
7.5  0.7  0.2800  42.4891  601.2300
7.5  0.7  0.2800  45.1678  658.7765
7.5  0.7  0.2800  48.0154  718.1717
7.5  0.7  0.2800  51.0425  779.1895
7.5  0.7  0.2800  54.2605  841.6092
7.5  0.7  0.2800  57.6813  905.2169
7.5  0.7  0.2800  61.3179  969.8065
7.5  0.7  0.2800  65.1836  1035.1800
7.5  0.7  0.2800  69.2931  1101.1483
7.5  0.7  0.2800  73.6617  1167.5320
