# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.9  0.0000  5.0000  98.0851
7.5  0.9  0.0000  5.3152  98.0851
7.5  0.9  0.0000  5.6503  98.0851
7.5  0.9  0.0000  6.0065  98.0851
7.5  0.9  0.0000  6.3852  98.0851
7.5  0.9  0.0000  6.7878  98.0851
7.5  0.9  0.0000  7.2157  98.0851
7.5  0.9  0.0000  7.6706  98.0851
7.5  0.9  0.0000  8.1542  98.0851
7.5  0.9  0.0000  8.6683  98.0851
7.5  0.9  0.0000  9.2148  98.0851
7.5  0.9  0.0000  9.7958  98.0851
7.5  0.9  0.0000  10.4133  98.0851
7.5  0.9  0.0000  11.0698  98.0851
7.5  0.9  0.0000  11.7677  98.0851
7.5  0.9  0.0000  12.5096  98.0851
7.5  0.9  0.0000  13.2983  98.0851
7.5  0.9  0.0000  14.1367  98.0851
7.5  0.9  0.0000  15.0279  98.0851
7.5  0.9  0.0000  15.9754  98.0851
7.5  0.9  0.0000  16.9825  98.0851
7.5  0.9  0.0000  18.0532  98.0851
7.5  0.9  0.0000  19.1914  98.0851
7.5  0.9  0.0000  20.4013  98.0851
7.5  0.9  0.0000  21.6875  98.0851
7.5  0.9  0.0000  23.0548  98.0851
7.5  0.9  0.0000  24.5083  98.0851
7.5  0.9  0.0000  26.0534  98.0851
7.5  0.9  0.0000  27.6959  98.0851
7.5  0.9  0.0000  29.4420  98.0851
7.5  0.9  0.0000  31.2982  98.0851
7.5  0.9  0.0000  33.2714  98.0851
7.5  0.9  0.0000  35.3690  98.0851
7.5  0.9  0.0000  37.5988  98.0851
7.5  0.9  0.0000  39.9692  98.0851
7.5  0.9  0.0000  42.4891  98.0851
7.5  0.9  0.0000  45.1678  98.0851
7.5  0.9  0.0000  48.0154  98.0851
7.5  0.9  0.0000  51.0425  98.0851
7.5  0.9  0.0000  54.2605  98.0851
7.5  0.9  0.0000  57.6813  98.0851
7.5  0.9  0.0000  61.3179  98.0851
7.5  0.9  0.0000  65.1836  98.0851
7.5  0.9  0.0000  69.2931  98.0851
7.5  0.9  0.0000  73.6617  98.0851
7.5  0.9  0.0000  78.3057  98.0851
7.5  0.9  0.0000  83.2425  98.0851
7.5  0.9  0.0000  88.4905  98.0851
7.5  0.9  0.0000  94.0694  98.0851
7.5  0.9  0.0000  100.0000  98.0851
7.5  0.9  0.0400  5.0000  90.8206
7.5  0.9  0.0400  5.3152  89.6761
7.5  0.9  0.0400  5.6503  88.4272
7.5  0.9  0.0400  6.0065  87.0714
7.5  0.9  0.0400  6.3852  85.6074
7.5  0.9  0.0400  6.7878  84.0351
7.5  0.9  0.0400  7.2157  82.3559
7.5  0.9  0.0400  7.6706  80.5726
7.5  0.9  0.0400  8.1542  78.6898
7.5  0.9  0.0400  8.6683  76.7134
7.5  0.9  0.0400  9.2148  74.6514
7.5  0.9  0.0400  9.7958  72.5132
7.5  0.9  0.0400  10.4133  70.3094
7.5  0.9  0.0400  11.0698  68.0523
7.5  0.9  0.0400  11.7677  65.7548
7.5  0.9  0.0400  12.5096  63.4310
7.5  0.9  0.0400  13.2983  60.8032
7.5  0.9  0.0400  14.1367  58.0777
7.5  0.9  0.0400  15.0279  55.3734
7.5  0.9  0.0400  15.9754  52.7051
7.5  0.9  0.0400  16.9825  50.0867
7.5  0.9  0.0400  18.0532  47.5312
7.5  0.9  0.0400  19.1914  45.0502
7.5  0.9  0.0400  20.4013  42.6541
7.5  0.9  0.0400  21.6875  40.3517
7.5  0.9  0.0400  23.0548  38.1502
7.5  0.9  0.0400  24.5083  36.0555
7.5  0.9  0.0400  26.0534  34.0718
7.5  0.9  0.0400  27.6959  32.2020
7.5  0.9  0.0400  29.4420  30.4477
7.5  0.9  0.0400  31.2982  28.8091
7.5  0.9  0.0400  33.2714  27.2855
7.5  0.9  0.0400  35.3690  25.8750
7.5  0.9  0.0400  37.5988  24.5750
7.5  0.9  0.0400  39.9692  23.3823
7.5  0.9  0.0400  42.4891  22.2929
7.5  0.9  0.0400  45.1678  21.1872
7.5  0.9  0.0400  48.0154  20.1449
7.5  0.9  0.0400  51.0425  19.1979
7.5  0.9  0.0400  54.2605  18.3409
7.5  0.9  0.0400  57.6813  17.5685
7.5  0.9  0.0400  61.3179  16.8753
7.5  0.9  0.0400  65.1836  16.2559
7.5  0.9  0.0400  69.2931  15.7050
7.5  0.9  0.0400  73.6617  15.2176
7.5  0.9  0.0400  78.3057  14.7886
7.5  0.9  0.0400  83.2425  14.4132
7.5  0.9  0.0400  88.4905  14.0870
7.5  0.9  0.0400  94.0694  13.8056
7.5  0.9  0.0400  100.0000  13.5649
7.5  0.9  0.0800  5.0000  84.1429
7.5  0.9  0.0800  5.3152  82.2735
7.5  0.9  0.0800  5.6503  80.2682
7.5  0.9  0.0800  6.0065  78.1316
7.5  0.9  0.0800  6.3852  75.7171
7.5  0.9  0.0800  6.7878  72.6712
7.5  0.9  0.0800  7.2157  69.5094
7.5  0.9  0.0800  7.6706  66.2510
7.5  0.9  0.0800  8.1542  62.9184
7.5  0.9  0.0800  8.6683  59.5370
7.5  0.9  0.0800  9.2148  56.1347
7.5  0.9  0.0800  9.7958  52.7419
7.5  0.9  0.0800  10.4133  49.3899
7.5  0.9  0.0800  11.0698  46.1113
7.5  0.9  0.0800  11.7677  42.9382
7.5  0.9  0.0800  12.5096  39.1816
7.5  0.9  0.0800  13.2983  35.5766
7.5  0.9  0.0800  14.1367  32.1777
7.5  0.9  0.0800  15.0279  29.0114
7.5  0.9  0.0800  15.9754  26.1006
7.5  0.9  0.0800  16.9825  23.4641
7.5  0.9  0.0800  18.0532  20.7519
7.5  0.9  0.0800  19.1914  18.2865
7.5  0.9  0.0800  20.4013  16.1396
7.5  0.9  0.0800  21.6875  14.3144
7.5  0.9  0.0800  23.0548  12.6508
7.5  0.9  0.0800  24.5083  11.0846
7.5  0.9  0.0800  26.0534  9.8408
7.5  0.9  0.0800  27.6959  8.9093
7.5  0.9  0.0800  29.4420  8.2775
7.5  0.9  0.0800  31.2982  7.8111
7.5  0.9  0.0800  33.2714  7.4127
7.5  0.9  0.0800  35.3690  7.2789
7.5  0.9  0.0800  37.5988  7.3915
7.5  0.9  0.0800  39.9692  7.7314
7.5  0.9  0.0800  42.4891  8.2795
7.5  0.9  0.0800  45.1678  8.9549
7.5  0.9  0.0800  48.0154  9.6084
7.5  0.9  0.0800  51.0425  10.4250
7.5  0.9  0.0800  54.2605  11.3862
7.5  0.9  0.0800  57.6813  12.4747
7.5  0.9  0.0800  61.3179  13.6737
7.5  0.9  0.0800  65.1836  14.9674
7.5  0.9  0.0800  69.2931  16.3410
7.5  0.9  0.0800  73.6617  17.7289
7.5  0.9  0.0800  78.3057  19.0603
