# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  1.5  0.0000  5.0000  98.0851
7.5  1.5  0.0000  5.3152  98.0851
7.5  1.5  0.0000  5.6503  98.0851
7.5  1.5  0.0000  6.0065  98.0851
7.5  1.5  0.0000  6.3852  98.0851
7.5  1.5  0.0000  6.7878  98.0851
7.5  1.5  0.0000  7.2157  98.0851
7.5  1.5  0.0000  7.6706  98.0851
7.5  1.5  0.0000  8.1542  98.0851
7.5  1.5  0.0000  8.6683  98.0851
7.5  1.5  0.0000  9.2148  98.0851
7.5  1.5  0.0000  9.7958  98.0851
7.5  1.5  0.0000  10.4133  98.0851
7.5  1.5  0.0000  11.0698  98.0851
7.5  1.5  0.0000  11.7677  98.0851
7.5  1.5  0.0000  12.5096  98.0851
7.5  1.5  0.0000  13.2983  98.0851
7.5  1.5  0.0000  14.1367  98.0851
7.5  1.5  0.0000  15.0279  98.0851
7.5  1.5  0.0000  15.9754  98.0851
7.5  1.5  0.0000  16.9825  98.0851
7.5  1.5  0.0000  18.0532  98.0851
7.5  1.5  0.0000  19.1914  98.0851
7.5  1.5  0.0000  20.4013  98.0851
7.5  1.5  0.0000  21.6875  98.0851
7.5  1.5  0.0000  23.0548  98.0851
7.5  1.5  0.0000  24.5083  98.0851
7.5  1.5  0.0000  26.0534  98.0851
7.5  1.5  0.0000  27.6959  98.0851
7.5  1.5  0.0000  29.4420  98.0851
7.5  1.5  0.0000  31.2982  98.0851
7.5  1.5  0.0000  33.2714  98.0851
7.5  1.5  0.0000  35.3690  98.0851
7.5  1.5  0.0000  37.5988  98.0851
7.5  1.5  0.0000  39.9692  98.0851
7.5  1.5  0.0000  42.4891  98.0851
7.5  1.5  0.0000  45.1678  98.0851
7.5  1.5  0.0000  48.0154  98.0851
7.5  1.5  0.0000  51.0425  98.0851
7.5  1.5  0.0000  54.2605  98.0851
7.5  1.5  0.0000  57.6813  98.0851
7.5  1.5  0.0000  61.3179  98.0851
7.5  1.5  0.0000  65.1836  98.0851
7.5  1.5  0.0000  69.2931  98.0851
7.5  1.5  0.0000  73.6617  98.0851
7.5  1.5  0.0000  78.3057  98.0851
7.5  1.5  0.0000  83.2425  98.0851
7.5  1.5  0.0000  88.4905  98.0851
7.5  1.5  0.0000  94.0694  98.0851
7.5  1.5  0.0000  100.0000  98.0851
7.5  1.5  0.0400  5.0000  91.7897
7.5  1.5  0.0400  5.3152  90.7128
7.5  1.5  0.0400  5.6503  89.5360
7.5  1.5  0.0400  6.0065  88.2566
7.5  1.5  0.0400  6.3852  86.8729
7.5  1.5  0.0400  6.7878  85.3847
7.5  1.5  0.0400  7.2157  83.7934
7.5  1.5  0.0400  7.6706  82.1028
7.5  1.5  0.0400  8.1542  80.3190
7.5  1.5  0.0400  8.6683  78.4509
7.5  1.5  0.0400  9.2148  76.5099
7.5  1.5  0.0400  9.7958  74.5098
7.5  1.5  0.0400  10.4133  72.4664
7.5  1.5  0.0400  11.0698  70.3971
7.5  1.5  0.0400  11.7677  68.3199
7.5  1.5  0.0400  12.5096  66.2527
7.5  1.5  0.0400  13.2983  64.2128
7.5  1.5  0.0400  14.1367  62.2163
7.5  1.5  0.0400  15.0279  60.2774
7.5  1.5  0.0400  15.9754  58.4082
7.5  1.5  0.0400  16.9825  56.6183
7.5  1.5  0.0400  18.0532  54.9153
7.5  1.5  0.0400  19.1914  53.3041
7.5  1.5  0.0400  20.4013  51.7879
7.5  1.5  0.0400  21.6875  50.3676
7.5  1.5  0.0400  23.0548  49.0429
7.5  1.5  0.0400  24.5083  47.8120
7.5  1.5  0.0400  26.0534  46.6719
7.5  1.5  0.0400  27.6959  45.6190
7.5  1.5  0.0400  29.4420  44.6492
7.5  1.5  0.0400  31.2982  43.7577
7.5  1.5  0.0400  33.2714  42.9397
7.5  1.5  0.0400  35.3690  42.1905
7.5  1.5  0.0400  37.5988  41.5050
7.5  1.5  0.0400  39.9692  40.8787
7.5  1.5  0.0400  42.4891  40.3069
7.5  1.5  0.0400  45.1678  39.7852
7.5  1.5  0.0400  48.0154  39.3096
7.5  1.5  0.0400  51.0425  38.8761
7.5  1.5  0.0400  54.2605  38.4813
7.5  1.5  0.0400  57.6813  38.1217
7.5  1.5  0.0400  61.3179  37.7942
7.5  1.5  0.0400  65.1836  37.4962
7.5  1.5  0.0400  69.2931  37.2248
7.5  1.5  0.0400  73.6617  36.9750
7.5  1.5  0.0400  78.3057  36.7300
7.5  1.5  0.0400  83.2425  36.5070
7.5  1.5  0.0400  88.4905  36.3039
7.5  1.5  0.0400  94.0694  36.1190
7.5  1.5  0.0400  100.0000  35.9507
7.5  1.5  0.0800  5.0000  85.6837
7.5  1.5  0.0800  5.3152  83.8486
7.5  1.5  0.0800  5.6503  81.8616
7.5  1.5  0.0800  6.0065  79.7222
7.5  1.5  0.0800  6.3852  77.4321
7.5  1.5  0.0800  6.7878  74.9962
7.5  1.5  0.0800  7.2157  72.4231
7.5  1.5  0.0800  7.6706  69.5032
7.5  1.5  0.0800  8.1542  66.2412
7.5  1.5  0.0800  8.6683  62.9075
7.5  1.5  0.0800  9.2148  59.5309
7.5  1.5  0.0800  9.7958  56.1438
7.5  1.5  0.0800  10.4133  52.7800
7.5  1.5  0.0800  11.0698  49.4740
7.5  1.5  0.0800  11.7677  46.2588
7.5  1.5  0.0800  12.5096  43.1647
7.5  1.5  0.0800  13.2983  40.2177
7.5  1.5  0.0800  14.1367  37.4394
7.5  1.5  0.0800  15.0279  34.8455
7.5  1.5  0.0800  15.9754  32.4465
7.5  1.5  0.0800  16.9825  30.2477
7.5  1.5  0.0800  18.0532  28.2494
7.5  1.5  0.0800  19.1914  26.4479
7.5  1.5  0.0800  20.4013  24.8362
7.5  1.5  0.0800  21.6875  23.4046
7.5  1.5  0.0800  23.0548  22.1416
7.5  1.5  0.0800  24.5083  21.0345
