# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.8  0.0000  5.0000  98.0851
7.5  0.8  0.0000  5.3152  98.0851
7.5  0.8  0.0000  5.6503  98.0851
7.5  0.8  0.0000  6.0065  98.0851
7.5  0.8  0.0000  6.3852  98.0851
7.5  0.8  0.0000  6.7878  98.0851
7.5  0.8  0.0000  7.2157  98.0851
7.5  0.8  0.0000  7.6706  98.0851
7.5  0.8  0.0000  8.1542  98.0851
7.5  0.8  0.0000  8.6683  98.0851
7.5  0.8  0.0000  9.2148  98.0851
7.5  0.8  0.0000  9.7958  98.0851
7.5  0.8  0.0000  10.4133  98.0851
7.5  0.8  0.0000  11.0698  98.0851
7.5  0.8  0.0000  11.7677  98.0851
7.5  0.8  0.0000  12.5096  98.0851
7.5  0.8  0.0000  13.2983  98.0851
7.5  0.8  0.0000  14.1367  98.0851
7.5  0.8  0.0000  15.0279  98.0851
7.5  0.8  0.0000  15.9754  98.0851
7.5  0.8  0.0000  16.9825  98.0851
7.5  0.8  0.0000  18.0532  98.0851
7.5  0.8  0.0000  19.1914  98.0851
7.5  0.8  0.0000  20.4013  98.0851
7.5  0.8  0.0000  21.6875  98.0851
7.5  0.8  0.0000  23.0548  98.0851
7.5  0.8  0.0000  24.5083  98.0851
7.5  0.8  0.0000  26.0534  98.0851
7.5  0.8  0.0000  27.6959  98.0851
7.5  0.8  0.0000  29.4420  98.0851
7.5  0.8  0.0000  31.2982  98.0851
7.5  0.8  0.0000  33.2714  98.0851
7.5  0.8  0.0000  35.3690  98.0851
7.5  0.8  0.0000  37.5988  98.0851
7.5  0.8  0.0000  39.9692  98.0851
7.5  0.8  0.0000  42.4891  98.0851
7.5  0.8  0.0000  45.1678  98.0851
7.5  0.8  0.0000  48.0154  98.0851
7.5  0.8  0.0000  51.0425  98.0851
7.5  0.8  0.0000  54.2605  98.0851
7.5  0.8  0.0000  57.6813  98.0851
7.5  0.8  0.0000  61.3179  98.0851
7.5  0.8  0.0000  65.1836  98.0851
7.5  0.8  0.0000  69.2931  98.0851
7.5  0.8  0.0000  73.6617  98.0851
7.5  0.8  0.0000  78.3057  98.0851
7.5  0.8  0.0000  83.2425  98.0851
7.5  0.8  0.0000  88.4905  98.0851
7.5  0.8  0.0000  94.0694  98.0851
7.5  0.8  0.0000  100.0000  98.0851
7.5  0.8  0.0400  5.0000  90.6134
7.5  0.8  0.0400  5.3152  89.4596
7.5  0.8  0.0400  5.6503  88.2013
7.5  0.8  0.0400  6.0065  86.8362
7.5  0.8  0.0400  6.3852  85.3628
7.5  0.8  0.0400  6.7878  83.7810
7.5  0.8  0.0400  7.2157  82.0918
7.5  0.8  0.0400  7.6706  80.2978
7.5  0.8  0.0400  8.1542  78.4032
7.5  0.8  0.0400  8.6683  76.4136
7.5  0.8  0.0400  9.2148  74.3364
7.5  0.8  0.0400  9.7958  72.1805
7.5  0.8  0.0400  10.4133  69.9561
7.5  0.8  0.0400  11.0698  67.6750
7.5  0.8  0.0400  11.7677  65.2547
7.5  0.8  0.0400  12.5096  62.4394
7.5  0.8  0.0400  13.2983  59.6074
7.5  0.8  0.0400  14.1367  56.7748
7.5  0.8  0.0400  15.0279  53.9577
7.5  0.8  0.0400  15.9754  51.1722
7.5  0.8  0.0400  16.9825  48.4335
7.5  0.8  0.0400  18.0532  45.7565
7.5  0.8  0.0400  19.1914  43.1547
7.5  0.8  0.0400  20.4013  40.6407
7.5  0.8  0.0400  21.6875  38.2257
7.5  0.8  0.0400  23.0548  35.9193
7.5  0.8  0.0400  24.5083  33.7299
7.5  0.8  0.0400  26.0534  31.6641
7.5  0.8  0.0400  27.6959  29.7271
7.5  0.8  0.0400  29.4420  27.9226
7.5  0.8  0.0400  31.2982  26.0649
7.5  0.8  0.0400  33.2714  24.2897
7.5  0.8  0.0400  35.3690  22.6566
7.5  0.8  0.0400  37.5988  21.1644
7.5  0.8  0.0400  39.9692  19.7892
7.5  0.8  0.0400  42.4891  18.4463
7.5  0.8  0.0400  45.1678  17.2387
7.5  0.8  0.0400  48.0154  16.1617
7.5  0.8  0.0400  51.0425  15.2098
7.5  0.8  0.0400  54.2605  14.3775
7.5  0.8  0.0400  57.6813  13.6586
7.5  0.8  0.0400  61.3179  13.0469
7.5  0.8  0.0400  65.1836  12.5359
7.5  0.8  0.0400  69.2931  11.9971
7.5  0.8  0.0400  73.6617  11.5070
7.5  0.8  0.0400  78.3057  11.1044
7.5  0.8  0.0400  83.2425  10.7827
7.5  0.8  0.0400  88.4905  10.5357
7.5  0.8  0.0400  94.0694  10.3573
7.5  0.8  0.0400  100.0000  10.2415
7.5  0.8  0.0800  5.0000  83.8290
7.5  0.8  0.0800  5.3152  81.9670
7.5  0.8  0.0800  5.6503  79.9760
7.5  0.8  0.0800  6.0065  77.8617
7.5  0.8  0.0800  6.3852  75.1466
7.5  0.8  0.0800  6.7878  72.0937
7.5  0.8  0.0800  7.2157  68.9316
7.5  0.8  0.0800  7.6706  65.6808
7.5  0.8  0.0800  8.1542  62.3652
7.5  0.8  0.0800  8.6683  59.0118
7.5  0.8  0.0800  9.2148  55.6504
7.5  0.8  0.0800  9.7958  52.3131
7.5  0.8  0.0800  10.4133  49.0340
7.5  0.8  0.0800  11.0698  45.5615
7.5  0.8  0.0800  11.7677  41.6395
7.5  0.8  0.0800  12.5096  37.8831
7.5  0.8  0.0800  13.2983  34.3286
7.5  0.8  0.0800  14.1367  31.0107
7.5  0.8  0.0800  15.0279  27.9612
7.5  0.8  0.0800  15.9754  24.7602
7.5  0.8  0.0800  16.9825  21.8089
7.5  0.8  0.0800  18.0532  19.2095
7.5  0.8  0.0800  19.1914  16.7984
7.5  0.8  0.0800  20.4013  14.4458
7.5  0.8  0.0800  21.6875  12.4968
7.5  0.8  0.0800  23.0548  10.9566
7.5  0.8  0.0800  24.5083  9.4829
7.5  0.8  0.0800  26.0534  8.2903
7.5  0.8  0.0800  27.6959  7.5121
7.5  0.8  0.0800  29.4420  7.1385
7.5  0.8  0.0800  31.2982  6.7988
7.5  0.8  0.0800  33.2714  6.7685
7.5  0.8  0.0800  35.3690  7.1122
7.5  0.8  0.0800  37.5988  7.8108
7.5  0.8  0.0800  39.9692  8.6447
7.5  0.8  0.0800  42.4891  9.6103
7.5  0.8  0.0800  45.1678  10.8800
7.5  0.8  0.0800  48.0154  12.4307
7.5  0.8  0.0800  51.0425  14.1043
7.5  0.8  0.0800  54.2605  15.9597
7.5  0.8  0.0800  57.6813  17.9145
7.5  0.8  0.0800  61.3179  20.0476
7.5  0.8  0.0800  65.1836  22.3602
7.5  0.8  0.0800  69.2931  24.7909
7.5  0.8  0.0800  73.6617  27.2316
7.5  0.8  0.0800  78.3057  29.7303
7.5  0.8  0.0800  83.2425  32.3379
7.5  0.8  0.0800  88.4905  35.0367
7.5  0.8  0.0800  94.0694  37.8098
7.5  0.8  0.0800  100.0000  40.6417
7.5  0.8  0.1200  5.0000  77.8932
7.5  0.8  0.1200  5.3152  74.8487
7.5  0.8  0.1200  5.6503  71.6838
7.5  0.8  0.1200  6.0065  68.4236
7.5  0.8  0.1200  6.3852  65.0982
7.5  0.8  0.1200  6.7878  61.7432
7.5  0.8  0.1200  7.2157  58.3992
7.5  0.8  0.1200  7.6706  54.2091
7.5  0.8  0.1200  8.1542  49.8748
7.5  0.8  0.1200  8.6683  45.6852
7.5  0.8  0.1200  9.2148  41.7002
7.5  0.8  0.1200  9.7958  37.8579
7.5  0.8  0.1200  10.4133  33.7324
7.5  0.8  0.1200  11.0698  29.9950
7.5  0.8  0.1200  11.7677  26.1744
7.5  0.8  0.1200  12.5096  22.6435
7.5  0.8  0.1200  13.2983  19.4488
7.5  0.8  0.1200  14.1367  16.3435
7.5  0.8  0.1200  15.0279  13.7603
7.5  0.8  0.1200  15.9754  11.3873
7.5  0.8  0.1200  16.9825  9.3990
7.5  0.8  0.1200  18.0532  8.0213
7.5  0.8  0.1200  19.1914  6.9676
7.5  0.8  0.1200  20.4013  6.7074
7.5  0.8  0.1200  21.6875  6.6542
7.5  0.8  0.1200  23.0548  7.2963
7.5  0.8  0.1200  24.5083  8.4762
7.5  0.8  0.1200  26.0534  10.0841
7.5  0.8  0.1200  27.6959  12.1811
7.5  0.8  0.1200  29.4420  14.9140
7.5  0.8  0.1200  31.2982  17.9947
7.5  0.8  0.1200  33.2714  21.6138
7.5  0.8  0.1200  35.3690  25.6144
7.5  0.8  0.1200  37.5988  30.1076
7.5  0.8  0.1200  39.9692  34.9718
7.5  0.8  0.1200  42.4891  39.6075
7.5  0.8  0.1200  45.1678  44.6865
7.5  0.8  0.1200  48.0154  49.9686
7.5  0.8  0.1200  51.0425  55.6085
7.5  0.8  0.1200  54.2605  61.6088
7.5  0.8  0.1200  57.6813  67.6738
7.5  0.8  0.1200  61.3179  74.0160
7.5  0.8  0.1200  65.1836  80.5998
7.5  0.8  0.1200  69.2931  87.2050
7.5  0.8  0.1200  73.6617  93.9367
7.5  0.8  0.1200  78.3057  100.8072
7.5  0.8  0.1200  83.2425  107.7491
7.5  0.8  0.1200  88.4905  114.5191
7.5  0.8  0.1200  94.0694  121.2380
7.5  0.8  0.1200  100.0000  127.8276
7.5  0.8  0.1600  5.0000  71.8303
7.5  0.8  0.1600  5.3152  68.6357
7.5  0.8  0.1600  5.6503  65.4247
7.5  0.8  0.1600  6.0065  61.5101
