# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  1.3  0.0000  5.0000  98.0851
7.5  1.3  0.0000  5.3152  98.0851
7.5  1.3  0.0000  5.6503  98.0851
7.5  1.3  0.0000  6.0065  98.0851
7.5  1.3  0.0000  6.3852  98.0851
7.5  1.3  0.0000  6.7878  98.0851
7.5  1.3  0.0000  7.2157  98.0851
7.5  1.3  0.0000  7.6706  98.0851
7.5  1.3  0.0000  8.1542  98.0851
7.5  1.3  0.0000  8.6683  98.0851
7.5  1.3  0.0000  9.2148  98.0851
7.5  1.3  0.0000  9.7958  98.0851
7.5  1.3  0.0000  10.4133  98.0851
7.5  1.3  0.0000  11.0698  98.0851
7.5  1.3  0.0000  11.7677  98.0851
7.5  1.3  0.0000  12.5096  98.0851
7.5  1.3  0.0000  13.2983  98.0851
7.5  1.3  0.0000  14.1367  98.0851
7.5  1.3  0.0000  15.0279  98.0851
7.5  1.3  0.0000  15.9754  98.0851
7.5  1.3  0.0000  16.9825  98.0851
7.5  1.3  0.0000  18.0532  98.0851
7.5  1.3  0.0000  19.1914  98.0851
7.5  1.3  0.0000  20.4013  98.0851
7.5  1.3  0.0000  21.6875  98.0851
7.5  1.3  0.0000  23.0548  98.0851
7.5  1.3  0.0000  24.5083  98.0851
7.5  1.3  0.0000  26.0534  98.0851
7.5  1.3  0.0000  27.6959  98.0851
7.5  1.3  0.0000  29.4420  98.0851
7.5  1.3  0.0000  31.2982  98.0851
7.5  1.3  0.0000  33.2714  98.0851
7.5  1.3  0.0000  35.3690  98.0851
7.5  1.3  0.0000  37.5988  98.0851
7.5  1.3  0.0000  39.9692  98.0851
7.5  1.3  0.0000  42.4891  98.0851
7.5  1.3  0.0000  45.1678  98.0851
7.5  1.3  0.0000  48.0154  98.0851
7.5  1.3  0.0000  51.0425  98.0851
7.5  1.3  0.0000  54.2605  98.0851
7.5  1.3  0.0000  57.6813  98.0851
7.5  1.3  0.0000  61.3179  98.0851
7.5  1.3  0.0000  65.1836  98.0851
7.5  1.3  0.0000  69.2931  98.0851
7.5  1.3  0.0000  73.6617  98.0851
7.5  1.3  0.0000  78.3057  98.0851
7.5  1.3  0.0000  83.2425  98.0851
7.5  1.3  0.0000  88.4905  98.0851
7.5  1.3  0.0000  94.0694  98.0851
7.5  1.3  0.0000  100.0000  98.0851
7.5  1.3  0.0400  5.0000  91.5127
7.5  1.3  0.0400  5.3152  90.4127
7.5  1.3  0.0400  5.6503  89.2104
7.5  1.3  0.0400  6.0065  87.9034
7.5  1.3  0.0400  6.3852  86.4901
7.5  1.3  0.0400  6.7878  84.9706
7.5  1.3  0.0400  7.2157  83.3468
7.5  1.3  0.0400  7.6706  81.6225
7.5  1.3  0.0400  8.1542  79.8034
7.5  1.3  0.0400  8.6683  77.8978
7.5  1.3  0.0400  9.2148  75.9161
7.5  1.3  0.0400  9.7958  73.8707
7.5  1.3  0.0400  10.4133  71.7756
7.5  1.3  0.0400  11.0698  69.6462
7.5  1.3  0.0400  11.7677  67.4987
7.5  1.3  0.0400  12.5096  65.3494
7.5  1.3  0.0400  13.2983  63.2143
7.5  1.3  0.0400  14.1367  61.1089
7.5  1.3  0.0400  15.0279  59.0470
7.5  1.3  0.0400  15.9754  57.0412
7.5  1.3  0.0400  16.9825  55.1022
7.5  1.3  0.0400  18.0532  53.2387
7.5  1.3  0.0400  19.1914  51.4577
7.5  1.3  0.0400  20.4013  49.7641
7.5  1.3  0.0400  21.6875  48.1611
7.5  1.3  0.0400  23.0548  46.6182
7.5  1.3  0.0400  24.5083  45.0575
7.5  1.3  0.0400  26.0534  43.5967
7.5  1.3  0.0400  27.6959  42.2336
7.5  1.3  0.0400  29.4420  40.9649
7.5  1.3  0.0400  31.2982  39.7868
7.5  1.3  0.0400  33.2714  38.6953
7.5  1.3  0.0400  35.3690  37.6856
7.5  1.3  0.0400  37.5988  36.7531
7.5  1.3  0.0400  39.9692  35.8932
7.5  1.3  0.0400  42.4891  35.1009
7.5  1.3  0.0400  45.1678  34.3717
7.5  1.3  0.0400  48.0154  33.7011
7.5  1.3  0.0400  51.0425  33.0847
7.5  1.3  0.0400  54.2605  32.5185
7.5  1.3  0.0400  57.6813  31.9985
7.5  1.3  0.0400  61.3179  31.5211
7.5  1.3  0.0400  65.1836  31.0829
7.5  1.3  0.0400  69.2931  30.6807
7.5  1.3  0.0400  73.6617  30.3116
7.5  1.3  0.0400  78.3057  29.9729
7.5  1.3  0.0400  83.2425  29.6619
7.5  1.3  0.0400  88.4905  29.3765
7.5  1.3  0.0400  94.0694  29.1144
7.5  1.3  0.0400  100.0000  28.8737
7.5  1.3  0.0800  5.0000  85.2341
7.5  1.3  0.0800  5.3152  83.3787
7.5  1.3  0.0800  5.6503  81.3732
7.5  1.3  0.0800  6.0065  79.2183
7.5  1.3  0.0800  6.3852  76.9173
7.5  1.3  0.0800  6.7878  74.4770
7.5  1.3  0.0800  7.2157  71.6874
7.5  1.3  0.0800  7.6706  68.4760
7.5  1.3  0.0800  8.1542  65.1729
7.5  1.3  0.0800  8.6683  61.8025
7.5  1.3  0.0800  9.2148  58.3928
7.5  1.3  0.0800  9.7958  54.9740
7.5  1.3  0.0800  10.4133  51.5779
7.5  1.3  0.0800  11.0698  48.2367
7.5  1.3  0.0800  11.7677  44.9812
7.5  1.3  0.0800  12.5096  41.8405
7.5  1.3  0.0800  13.2983  38.8402
7.5  1.3  0.0800  14.1367  36.0022
7.5  1.3  0.0800  15.0279  33.3437
7.5  1.3  0.0800  15.9754  30.8774
7.5  1.3  0.0800  16.9825  28.6115
7.5  1.3  0.0800  18.0532  26.3997
7.5  1.3  0.0800  19.1914  24.3305
7.5  1.3  0.0800  20.4013  22.4730
7.5  1.3  0.0800  21.6875  20.8200
7.5  1.3  0.0800  23.0548  19.3619
7.5  1.3  0.0800  24.5083  18.0873
7.5  1.3  0.0800  26.0534  16.9834
7.5  1.3  0.0800  27.6959  16.0369
7.5  1.3  0.0800  29.4420  15.2301
7.5  1.3  0.0800  31.2982  14.4953
7.5  1.3  0.0800  33.2714  13.8811
7.5  1.3  0.0800  35.3690  13.3743
7.5  1.3  0.0800  37.5988  12.9626
7.5  1.3  0.0800  39.9692  12.6341
7.5  1.3  0.0800  42.4891  12.3497
7.5  1.3  0.0800  45.1678  12.1130
7.5  1.3  0.0800  48.0154  11.9331
