# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.4  0.2109  36.5422  58.6464
218.0  1.4  0.2109  37.6603  58.8752
218.0  1.4  0.2109  38.8125  59.1019
218.0  1.4  0.2109  40.0000  58.5412
218.0  1.4  0.2217  5.0000  66.0135
218.0  1.4  0.2217  5.1530  65.0617
218.0  1.4  0.2217  5.3106  65.7028
218.0  1.4  0.2217  5.4731  65.4959
218.0  1.4  0.2217  5.6406  65.3565
218.0  1.4  0.2217  5.8131  65.5789
218.0  1.4  0.2217  5.9910  64.6411
218.0  1.4  0.2217  6.1743  65.8355
218.0  1.4  0.2217  6.3632  65.2605
218.0  1.4  0.2217  6.5579  66.3530
218.0  1.4  0.2217  6.7585  65.2480
218.0  1.4  0.2217  6.9653  65.4386
218.0  1.4  0.2217  7.1784  65.4853
218.0  1.4  0.2217  7.3981  65.1988
218.0  1.4  0.2217  7.6244  64.4350
218.0  1.4  0.2217  7.8577  65.5542
218.0  1.4  0.2217  8.0981  64.9354
218.0  1.4  0.2217  8.3458  64.0649
218.0  1.4  0.2217  8.6012  64.7684
218.0  1.4  0.2217  8.8644  64.6169
218.0  1.4  0.2217  9.1356  64.9899
218.0  1.4  0.2217  9.4151  65.7103
218.0  1.4  0.2217  9.7031  65.3880
218.0  1.4  0.2217  10.0000  63.5446
218.0  1.4  0.2217  10.3060  62.9847
218.0  1.4  0.2217  10.6213  63.1796
218.0  1.4  0.2217  10.9462  62.6213
218.0  1.4  0.2217  11.2811  62.6904
218.0  1.4  0.2217  11.6263  63.3471
218.0  1.4  0.2217  11.9820  62.9266
218.0  1.4  0.2217  12.3486  63.5374
218.0  1.4  0.2217  12.7264  61.4006
218.0  1.4  0.2217  13.1158  62.1633
218.0  1.4  0.2217  13.5171  61.7508
218.0  1.4  0.2217  13.9306  60.9788
218.0  1.4  0.2217  14.3568  61.2416
218.0  1.4  0.2217  14.7961  61.8987
218.0  1.4  0.2217  15.2488  62.5701
218.0  1.4  0.2217  15.7153  63.1808
218.0  1.4  0.2217  16.1962  60.8044
218.0  1.4  0.2217  16.6917  61.3466
218.0  1.4  0.2217  17.2024  60.4005
218.0  1.4  0.2217  17.7287  60.5265
218.0  1.4  0.2217  18.2711  59.9682
218.0  1.4  0.2217  18.8301  60.1661
218.0  1.4  0.2217  19.4063  60.7010
218.0  1.4  0.2217  20.0000  59.7107
218.0  1.4  0.2217  20.6119  59.8474
218.0  1.4  0.2217  21.2425  60.1154
218.0  1.4  0.2217  21.8925  59.8425
218.0  1.4  0.2217  22.5623  60.1786
218.0  1.4  0.2217  23.2526  58.6539
218.0  1.4  0.2217  23.9640  59.0675
218.0  1.4  0.2217  24.6972  58.4897
218.0  1.4  0.2217  25.4528  58.8766
218.0  1.4  0.2217  26.2316  59.2640
218.0  1.4  0.2217  27.0341  58.1871
218.0  1.4  0.2217  27.8613  58.5339
218.0  1.4  0.2217  28.7137  58.8802
218.0  1.4  0.2217  29.5922  57.4781
218.0  1.4  0.2217  30.4976  57.7692
218.0  1.4  0.2217  31.4307  57.5365
218.0  1.4  0.2217  32.3923  57.4709
218.0  1.4  0.2217  33.3834  57.7296
218.0  1.4  0.2217  34.4048  57.9875
218.0  1.4  0.2217  35.4574  57.5056
218.0  1.4  0.2217  36.5422  57.7277
218.0  1.4  0.2217  37.6603  57.9488
218.0  1.4  0.2217  38.8125  58.1686
218.0  1.4  0.2217  40.0000  58.3868
218.0  1.4  0.2326  5.0000  64.6529
218.0  1.4  0.2326  5.1530  63.7956
218.0  1.4  0.2326  5.3106  64.6788
218.0  1.4  0.2326  5.4731  63.4895
218.0  1.4  0.2326  5.6406  63.9117
218.0  1.4  0.2326  5.8131  64.5287
218.0  1.4  0.2326  5.9910  63.4651
218.0  1.4  0.2326  6.1743  64.3917
218.0  1.4  0.2326  6.3632  63.6312
218.0  1.4  0.2326  6.5579  63.9385
218.0  1.4  0.2326  6.7585  63.6374
218.0  1.4  0.2326  6.9653  64.9980
218.0  1.4  0.2326  7.1784  63.5455
218.0  1.4  0.2326  7.3981  63.3766
218.0  1.4  0.2326  7.6244  64.2668
218.0  1.4  0.2326  7.8577  63.0202
218.0  1.4  0.2326  8.0981  62.9675
218.0  1.4  0.2326  8.3458  63.7556
218.0  1.4  0.2326  8.6012  63.4265
218.0  1.4  0.2326  8.8644  63.9961
218.0  1.4  0.2326  9.1356  62.9312
218.0  1.4  0.2326  9.4151  64.1368
218.0  1.4  0.2326  9.7031  62.9839
218.0  1.4  0.2326  10.0000  62.7512
218.0  1.4  0.2326  10.3060  62.9208
218.0  1.4  0.2326  10.6213  62.6029
218.0  1.4  0.2326  10.9462  62.8624
218.0  1.4  0.2326  11.2811  63.5782
218.0  1.4  0.2326  11.6263  62.8810
218.0  1.4  0.2326  11.9820  60.9103
218.0  1.4  0.2326  12.3486  60.8027
218.0  1.4  0.2326  12.7264  61.5956
218.0  1.4  0.2326  13.1158  61.0765
218.0  1.4  0.2326  13.5171  60.2814
218.0  1.4  0.2326  13.9306  60.9677
218.0  1.4  0.2326  14.3568  60.8337
218.0  1.4  0.2326  14.7961  60.1949
218.0  1.4  0.2326  15.2488  60.7822
218.0  1.4  0.2326  15.7153  61.3868
218.0  1.4  0.2326  16.1962  59.6649
218.0  1.4  0.2326  16.6917  59.1108
218.0  1.4  0.2326  17.2024  59.7871
218.0  1.4  0.2326  17.7287  58.7698
218.0  1.4  0.2326  18.2711  58.9131
218.0  1.4  0.2326  18.8301  59.3022
218.0  1.4  0.2326  19.4063  59.7231
218.0  1.4  0.2326  20.0000  60.1534
218.0  1.4  0.2326  20.6119  60.5919
218.0  1.4  0.2326  21.2425  58.4057
218.0  1.4  0.2326  21.8925  58.8911
218.0  1.4  0.2326  22.5623  57.7281
218.0  1.4  0.2326  23.2526  58.1612
218.0  1.4  0.2326  23.9640  58.5974
218.0  1.4  0.2326  24.6972  57.4404
218.0  1.4  0.2326  25.4528  57.8290
218.0  1.4  0.2326  26.2316  58.2194
218.0  1.4  0.2326  27.0341  56.7950
218.0  1.4  0.2326  27.8613  56.8883
218.0  1.4  0.2326  28.7137  57.2152
218.0  1.4  0.2326  29.5922  57.2136
218.0  1.4  0.2326  30.4976  56.8779
218.0  1.4  0.2326  31.4307  57.1560
218.0  1.4  0.2326  32.3923  57.4344
218.0  1.4  0.2326  33.3834  56.2236
218.0  1.4  0.2326  34.4048  56.5530
218.0  1.4  0.2326  35.4574  55.8094
218.0  1.4  0.2326  36.5422  56.1121
218.0  1.4  0.2326  37.6603  56.4122
218.0  1.4  0.2326  38.8125  56.7096
218.0  1.4  0.2326  40.0000  55.4221
218.0  1.4  0.2435  5.0000  62.9702
218.0  1.4  0.2435  5.1530  63.9787
218.0  1.4  0.2435  5.3106  63.0057
218.0  1.4  0.2435  5.4731  63.0774
218.0  1.4  0.2435  5.6406  63.5027
218.0  1.4  0.2435  5.8131  62.4702
218.0  1.4  0.2435  5.9910  62.4979
218.0  1.4  0.2435  6.1743  63.3211
218.0  1.4  0.2435  6.3632  62.2130
218.0  1.4  0.2435  6.5579  62.8685
218.0  1.4  0.2435  6.7585  62.7417
218.0  1.4  0.2435  6.9653  62.2081
218.0  1.4  0.2435  7.1784  62.6202
218.0  1.4  0.2435  7.3981  61.9632
218.0  1.4  0.2435  7.6244  62.4422
218.0  1.4  0.2435  7.8577  61.9222
218.0  1.4  0.2435  8.0981  62.8592
218.0  1.4  0.2435  8.3458  61.4440
218.0  1.4  0.2435  8.6012  62.0652
218.0  1.4  0.2435  8.8644  62.5361
218.0  1.4  0.2435  9.1356  62.4780
218.0  1.4  0.2435  9.4151  62.2839
218.0  1.4  0.2435  9.7031  61.5790
218.0  1.4  0.2435  10.0000  62.5659
218.0  1.4  0.2435  10.3060  61.5439
218.0  1.4  0.2435  10.6213  62.1493
218.0  1.4  0.2435  10.9462  61.4664
218.0  1.4  0.2435  11.2811  62.0884
218.0  1.4  0.2435  11.6263  61.0531
218.0  1.4  0.2435  11.9820  60.9269
218.0  1.4  0.2435  12.3486  60.9804
218.0  1.4  0.2435  12.7264  60.4940
218.0  1.4  0.2435  13.1158  60.8606
218.0  1.4  0.2435  13.5171  60.7540
218.0  1.4  0.2435  13.9306  60.3729
218.0  1.4  0.2435  14.3568  61.0160
218.0  1.4  0.2435  14.7961  61.6826
218.0  1.4  0.2435  15.2488  59.7297
218.0  1.4  0.2435  15.7153  59.4604
218.0  1.4  0.2435  16.1962  58.7733
218.0  1.4  0.2435  16.6917  59.4918
218.0  1.4  0.2435  17.2024  58.4022
218.0  1.4  0.2435  17.7287  58.1117
218.0  1.4  0.2435  18.2711  58.7195
218.0  1.4  0.2435  18.8301  57.8171
218.0  1.4  0.2435  19.4063  58.3636
218.0  1.4  0.2435  20.0000  58.9186
218.0  1.4  0.2435  20.6119  57.4849
218.0  1.4  0.2435  21.2425  57.7272
218.0  1.4  0.2435  21.8925  57.3607
218.0  1.4  0.2435  22.5623  57.0100
218.0  1.4  0.2435  23.2526  56.6794
218.0  1.4  0.2435  23.9640  56.6828
218.0  1.4  0.2435  24.6972  57.2049
218.0  1.4  0.2435  25.4528  56.8109
218.0  1.4  0.2435  26.2316  57.1710
218.0  1.4  0.2435  27.0341  57.5341
218.0  1.4  0.2435  27.8613  57.8993
218.0  1.4  0.2435  28.7137  55.9032
218.0  1.4  0.2435  29.5922  56.3098
218.0  1.4  0.2435  30.4976  56.7154
218.0  1.4  0.2435  31.4307  55.2999
218.0  1.4  0.2435  32.3923  55.6566
218.0  1.4  0.2435  33.3834  56.0118
218.0  1.4  0.2435  34.4048  54.6511
218.0  1.4  0.2435  35.4574  54.9629
218.0  1.4  0.2435  36.5422  55.2731
218.0  1.4  0.2435  37.6603  55.5813
218.0  1.4  0.2435  38.8125  55.8871
218.0  1.4  0.2435  40.0000  54.1442
218.0  1.4  0.2543  5.0000  63.1792
218.0  1.4  0.2543  5.1530  62.9658
218.0  1.4  0.2543  5.3106  62.6590
218.0  1.4  0.2543  5.4731  63.1365
218.0  1.4  0.2543  5.6406  62.1354
218.0  1.4  0.2543  5.8131  62.5316
218.0  1.4  0.2543  5.9910  62.8535
218.0  1.4  0.2543  6.1743  61.8748
218.0  1.4  0.2543  6.3632  62.1887
218.0  1.4  0.2543  6.5579  62.5855
218.0  1.4  0.2543  6.7585  61.5740
218.0  1.4  0.2543  6.9653  61.5748
218.0  1.4  0.2543  7.1784  62.1122
218.0  1.4  0.2543  7.3981  61.0984
218.0  1.4  0.2543  7.6244  62.1919
218.0  1.4  0.2543  7.8577  61.2316
218.0  1.4  0.2543  8.0981  61.1648
218.0  1.4  0.2543  8.3458  61.0582
218.0  1.4  0.2543  8.6012  61.7308
218.0  1.4  0.2543  8.8644  60.4496
218.0  1.4  0.2543  9.1356  61.5482
218.0  1.4  0.2543  9.4151  61.8829
218.0  1.4  0.2543  9.7031  61.4183
218.0  1.4  0.2543  10.0000  60.7888
218.0  1.4  0.2543  10.3060  60.7831
218.0  1.4  0.2543  10.6213  61.3820
218.0  1.4  0.2543  10.9462  60.6542
218.0  1.4  0.2543  11.2811  61.1682
