# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.8  0.2000  5.0000  65.6630
218.0  0.8  0.2000  5.1530  65.9199
218.0  0.8  0.2000  5.3106  66.7569
218.0  0.8  0.2000  5.4731  64.8866
218.0  0.8  0.2000  5.6406  64.5618
218.0  0.8  0.2000  5.8131  65.5722
218.0  0.8  0.2000  5.9910  64.3836
218.0  0.8  0.2000  6.1743  64.9510
218.0  0.8  0.2000  6.3632  65.1559
218.0  0.8  0.2000  6.5579  64.4533
218.0  0.8  0.2000  6.7585  64.8108
218.0  0.8  0.2000  6.9653  64.0221
218.0  0.8  0.2000  7.1784  63.9516
218.0  0.8  0.2000  7.3981  63.8383
218.0  0.8  0.2000  7.6244  63.4531
218.0  0.8  0.2000  7.8577  63.4703
218.0  0.8  0.2000  8.0981  64.2309
218.0  0.8  0.2000  8.3458  63.3415
218.0  0.8  0.2000  8.6012  64.0530
218.0  0.8  0.2000  8.8644  63.0887
218.0  0.8  0.2000  9.1356  63.7489
218.0  0.8  0.2000  9.4151  62.5473
218.0  0.8  0.2000  9.7031  61.8196
218.0  0.8  0.2000  10.0000  62.3628
218.0  0.8  0.2000  10.3060  62.5451
218.0  0.8  0.2000  10.6213  63.1774
218.0  0.8  0.2000  10.9462  62.7109
218.0  0.8  0.2000  11.2811  63.1746
218.0  0.8  0.2000  11.6263  62.2291
218.0  0.8  0.2000  11.9820  62.2996
218.0  0.8  0.2000  12.3486  61.3339
218.0  0.8  0.2000  12.7264  61.8083
218.0  0.8  0.2000  13.1158  60.5536
218.0  0.8  0.2000  13.5171  60.9843
218.0  0.8  0.2000  13.9306  60.6644
218.0  0.8  0.2000  14.3568  60.9293
218.0  0.8  0.2000  14.7961  60.5373
218.0  0.8  0.2000  15.2488  60.8577
218.0  0.8  0.2000  15.7153  61.1801
218.0  0.8  0.2000  16.1962  61.3365
218.0  0.8  0.2000  16.6917  60.0461
218.0  0.8  0.2000  17.2024  60.3124
218.0  0.8  0.2000  17.7287  60.4346
218.0  0.8  0.2000  18.2711  60.1532
218.0  0.8  0.2000  18.8301  59.2575
218.0  0.8  0.2000  19.4063  59.1837
218.0  0.8  0.2000  20.0000  59.4667
218.0  0.8  0.2000  20.6119  59.7469
218.0  0.8  0.2000  21.2425  58.0796
218.0  0.8  0.2000  21.8925  58.2389
218.0  0.8  0.2000  22.5623  58.3977
218.0  0.8  0.2000  23.2526  58.5556
218.0  0.8  0.2000  23.9640  58.7123
218.0  0.8  0.2000  24.6972  58.8675
218.0  0.8  0.2000  25.4528  59.0211
218.0  0.8  0.2000  26.2316  59.1727
218.0  0.8  0.2000  27.0341  57.7535
218.0  0.8  0.2000  27.8613  57.8949
218.0  0.8  0.2000  28.7137  58.0341
218.0  0.8  0.2000  29.5922  58.1708
218.0  0.8  0.2000  30.4976  58.3051
218.0  0.8  0.2000  31.4307  58.4367
218.0  0.8  0.2000  32.3923  56.6062
218.0  0.8  0.2000  33.3834  56.6930
218.0  0.8  0.2000  34.4048  56.7782
218.0  0.8  0.2000  35.4574  56.8617
218.0  0.8  0.2000  36.5422  56.9433
218.0  0.8  0.2000  37.6603  57.0231
218.0  0.8  0.2000  38.8125  55.9336
218.0  0.8  0.2000  40.0000  54.8765
218.0  0.8  0.2109  5.0000  65.7012
218.0  0.8  0.2109  5.1530  64.0178
218.0  0.8  0.2109  5.3106  64.5251
218.0  0.8  0.2109  5.4731  64.7131
218.0  0.8  0.2109  5.6406  64.2668
218.0  0.8  0.2109  5.8131  63.3607
218.0  0.8  0.2109  5.9910  63.4172
218.0  0.8  0.2109  6.1743  64.3162
218.0  0.8  0.2109  6.3632  62.8287
218.0  0.8  0.2109  6.5579  63.9212
218.0  0.8  0.2109  6.7585  63.4131
218.0  0.8  0.2109  6.9653  62.5599
218.0  0.8  0.2109  7.1784  62.4819
218.0  0.8  0.2109  7.3981  62.5428
218.0  0.8  0.2109  7.6244  63.4048
218.0  0.8  0.2109  7.8577  62.0055
218.0  0.8  0.2109  8.0981  62.3822
218.0  0.8  0.2109  8.3458  61.7731
218.0  0.8  0.2109  8.6012  61.6629
218.0  0.8  0.2109  8.8644  61.3067
218.0  0.8  0.2109  9.1356  60.8955
218.0  0.8  0.2109  9.4151  61.2791
218.0  0.8  0.2109  9.7031  61.6646
218.0  0.8  0.2109  10.0000  60.9456
218.0  0.8  0.2109  10.3060  61.6343
218.0  0.8  0.2109  10.6213  60.4925
218.0  0.8  0.2109  10.9462  61.1231
218.0  0.8  0.2109  11.2811  59.6891
218.0  0.8  0.2109  11.6263  60.2310
218.0  0.8  0.2109  11.9820  59.3858
218.0  0.8  0.2109  12.3486  59.8659
218.0  0.8  0.2109  12.7264  60.1977
218.0  0.8  0.2109  13.1158  59.7540
218.0  0.8  0.2109  13.5171  59.7944
218.0  0.8  0.2109  13.9306  60.1950
218.0  0.8  0.2109  14.3568  59.5854
218.0  0.8  0.2109  14.7961  59.0860
218.0  0.8  0.2109  15.2488  58.4046
218.0  0.8  0.2109  15.7153  58.8258
218.0  0.8  0.2109  16.1962  58.1148
218.0  0.8  0.2109  16.6917  57.8168
218.0  0.8  0.2109  17.2024  58.1934
218.0  0.8  0.2109  17.7287  57.2691
218.0  0.8  0.2109  18.2711  57.4993
218.0  0.8  0.2109  18.8301  57.7310
218.0  0.8  0.2109  19.4063  57.5490
218.0  0.8  0.2109  20.0000  57.8195
218.0  0.8  0.2109  20.6119  58.0888
218.0  0.8  0.2109  21.2425  58.3563
218.0  0.8  0.2109  21.8925  56.6986
218.0  0.8  0.2109  22.5623  56.9146
218.0  0.8  0.2109  23.2526  57.1290
218.0  0.8  0.2109  23.9640  56.8976
218.0  0.8  0.2109  24.6972  56.9994
218.0  0.8  0.2109  25.4528  55.6880
218.0  0.8  0.2109  26.2316  55.8369
218.0  0.8  0.2109  27.0341  55.9843
218.0  0.8  0.2109  27.8613  56.1301
218.0  0.8  0.2109  28.7137  56.0528
218.0  0.8  0.2109  29.5922  54.3769
218.0  0.8  0.2109  30.4976  54.4916
218.0  0.8  0.2109  31.4307  54.6046
218.0  0.8  0.2109  32.3923  54.7160
218.0  0.8  0.2109  33.3834  54.8256
218.0  0.8  0.2109  34.4048  54.9334
218.0  0.8  0.2109  35.4574  55.0391
218.0  0.8  0.2109  36.5422  55.1428
218.0  0.8  0.2109  37.6603  55.2444
218.0  0.8  0.2109  38.8125  55.3439
218.0  0.8  0.2109  40.0000  53.9632
218.0  0.8  0.2217  5.0000  63.6018
218.0  0.8  0.2217  5.1530  64.8442
218.0  0.8  0.2217  5.3106  63.8683
218.0  0.8  0.2217  5.4731  63.3739
218.0  0.8  0.2217  5.6406  63.3796
218.0  0.8  0.2217  5.8131  63.7414
218.0  0.8  0.2217  5.9910  62.4377
218.0  0.8  0.2217  6.1743  61.8763
218.0  0.8  0.2217  6.3632  63.0356
218.0  0.8  0.2217  6.5579  62.4394
218.0  0.8  0.2217  6.7585  61.3146
218.0  0.8  0.2217  6.9653  61.1553
218.0  0.8  0.2217  7.1784  62.0914
218.0  0.8  0.2217  7.3981  62.1046
218.0  0.8  0.2217  7.6244  61.7602
218.0  0.8  0.2217  7.8577  61.4016
218.0  0.8  0.2217  8.0981  60.3371
218.0  0.8  0.2217  8.3458  60.1258
218.0  0.8  0.2217  8.6012  60.0328
218.0  0.8  0.2217  8.8644  60.8809
218.0  0.8  0.2217  9.1356  60.7747
218.0  0.8  0.2217  9.4151  60.0384
218.0  0.8  0.2217  9.7031  60.8134
218.0  0.8  0.2217  10.0000  59.5852
218.0  0.8  0.2217  10.3060  59.8806
218.0  0.8  0.2217  10.6213  58.8152
218.0  0.8  0.2217  10.9462  58.3586
218.0  0.8  0.2217  11.2811  58.9584
218.0  0.8  0.2217  11.6263  58.8679
218.0  0.8  0.2217  11.9820  58.4866
218.0  0.8  0.2217  12.3486  59.1329
218.0  0.8  0.2217  12.7264  57.8216
218.0  0.8  0.2217  13.1158  58.2435
218.0  0.8  0.2217  13.5171  58.6452
218.0  0.8  0.2217  13.9306  57.2574
218.0  0.8  0.2217  14.3568  57.5028
218.0  0.8  0.2217  14.7961  56.6817
