# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.2  0.2000  5.0000  68.8057
218.0  1.2  0.2000  5.1530  67.3522
218.0  1.2  0.2000  5.3106  66.9974
218.0  1.2  0.2000  5.4731  67.9785
218.0  1.2  0.2000  5.6406  68.3703
218.0  1.2  0.2000  5.8131  68.4411
218.0  1.2  0.2000  5.9910  69.1684
218.0  1.2  0.2000  6.1743  66.6638
218.0  1.2  0.2000  6.3632  66.6790
218.0  1.2  0.2000  6.5579  66.1287
218.0  1.2  0.2000  6.7585  67.0144
218.0  1.2  0.2000  6.9653  67.9586
218.0  1.2  0.2000  7.1784  66.4065
218.0  1.2  0.2000  7.3981  65.1285
218.0  1.2  0.2000  7.6244  65.6066
218.0  1.2  0.2000  7.8577  65.2206
218.0  1.2  0.2000  8.0981  65.6860
218.0  1.2  0.2000  8.3458  66.0206
218.0  1.2  0.2000  8.6012  66.1790
218.0  1.2  0.2000  8.8644  64.3683
218.0  1.2  0.2000  9.1356  64.2461
218.0  1.2  0.2000  9.4151  64.7781
218.0  1.2  0.2000  9.7031  64.4032
218.0  1.2  0.2000  10.0000  63.6639
218.0  1.2  0.2000  10.3060  63.7807
218.0  1.2  0.2000  10.6213  64.1524
218.0  1.2  0.2000  10.9462  64.2205
218.0  1.2  0.2000  11.2811  64.7439
218.0  1.2  0.2000  11.6263  63.3167
218.0  1.2  0.2000  11.9820  63.6779
218.0  1.2  0.2000  12.3486  63.0678
218.0  1.2  0.2000  12.7264  63.5753
218.0  1.2  0.2000  13.1158  62.6775
218.0  1.2  0.2000  13.5171  62.7722
218.0  1.2  0.2000  13.9306  62.9193
218.0  1.2  0.2000  14.3568  62.8151
218.0  1.2  0.2000  14.7961  63.1485
218.0  1.2  0.2000  15.2488  62.5706
218.0  1.2  0.2000  15.7153  63.0035
218.0  1.2  0.2000  16.1962  61.9769
218.0  1.2  0.2000  16.6917  62.3597
218.0  1.2  0.2000  17.2024  62.7477
218.0  1.2  0.2000  17.7287  61.6505
218.0  1.2  0.2000  18.2711  61.9895
218.0  1.2  0.2000  18.8301  62.3322
218.0  1.2  0.2000  19.4063  61.0835
218.0  1.2  0.2000  20.0000  61.3580
218.0  1.2  0.2000  20.6119  61.6354
218.0  1.2  0.2000  21.2425  60.6898
218.0  1.2  0.2000  21.8925  60.9446
218.0  1.2  0.2000  22.5623  61.2011
218.0  1.2  0.2000  23.2526  60.7896
218.0  1.2  0.2000  23.9640  61.0844
218.0  1.2  0.2000  24.6972  60.4029
218.0  1.2  0.2000  25.4528  60.6720
218.0  1.2  0.2000  26.2316  60.9398
218.0  1.2  0.2000  27.0341  61.2060
218.0  1.2  0.2000  27.8613  59.9650
218.0  1.2  0.2000  28.7137  60.1936
218.0  1.2  0.2000  29.5922  60.4205
218.0  1.2  0.2000  30.4976  60.6454
218.0  1.2  0.2000  31.4307  59.1219
218.0  1.2  0.2000  32.3923  59.2987
218.0  1.2  0.2000  33.3834  59.4741
218.0  1.2  0.2000  34.4048  59.6477
