# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.9  0.2000  5.0000  66.7441
218.0  0.9  0.2000  5.1530  65.5968
218.0  0.9  0.2000  5.3106  65.4090
218.0  0.9  0.2000  5.4731  65.6391
218.0  0.9  0.2000  5.6406  66.1952
218.0  0.9  0.2000  5.8131  66.3906
218.0  0.9  0.2000  5.9910  65.2101
218.0  0.9  0.2000  6.1743  65.2662
218.0  0.9  0.2000  6.3632  64.8743
218.0  0.9  0.2000  6.5579  64.2365
218.0  0.9  0.2000  6.7585  64.2728
218.0  0.9  0.2000  6.9653  64.4838
218.0  0.9  0.2000  7.1784  65.2412
218.0  0.9  0.2000  7.3981  64.1079
218.0  0.9  0.2000  7.6244  64.7991
218.0  0.9  0.2000  7.8577  63.9776
218.0  0.9  0.2000  8.0981  63.7315
218.0  0.9  0.2000  8.3458  63.6448
218.0  0.9  0.2000  8.6012  64.2682
218.0  0.9  0.2000  8.8644  63.8311
218.0  0.9  0.2000  9.1356  63.8165
218.0  0.9  0.2000  9.4151  62.9133
218.0  0.9  0.2000  9.7031  63.5458
218.0  0.9  0.2000  10.0000  62.5776
218.0  0.9  0.2000  10.3060  63.1587
218.0  0.9  0.2000  10.6213  63.7537
218.0  0.9  0.2000  10.9462  62.4947
218.0  0.9  0.2000  11.2811  61.7126
218.0  0.9  0.2000  11.6263  62.1923
218.0  0.9  0.2000  11.9820  62.2457
218.0  0.9  0.2000  12.3486  62.8021
218.0  0.9  0.2000  12.7264  62.2833
218.0  0.9  0.2000  13.1158  62.8117
218.0  0.9  0.2000  13.5171  61.6976
218.0  0.9  0.2000  13.9306  61.9125
218.0  0.9  0.2000  14.3568  62.2251
218.0  0.9  0.2000  14.7961  61.1432
218.0  0.9  0.2000  15.2488  60.5763
218.0  0.9  0.2000  15.7153  60.2439
218.0  0.9  0.2000  16.1962  60.6076
218.0  0.9  0.2000  16.6917  60.3722
218.0  0.9  0.2000  17.2024  60.5863
218.0  0.9  0.2000  17.7287  60.8037
218.0  0.9  0.2000  18.2711  60.3303
218.0  0.9  0.2000  18.8301  60.5922
218.0  0.9  0.2000  19.4063  60.5308
218.0  0.9  0.2000  20.0000  60.8642
218.0  0.9  0.2000  20.6119  59.6344
218.0  0.9  0.2000  21.2425  59.8449
218.0  0.9  0.2000  21.8925  59.7947
218.0  0.9  0.2000  22.5623  59.4724
218.0  0.9  0.2000  23.2526  59.7251
218.0  0.9  0.2000  23.9640  58.8561
218.0  0.9  0.2000  24.6972  58.6343
218.0  0.9  0.2000  25.4528  58.8534
218.0  0.9  0.2000  26.2316  59.0695
218.0  0.9  0.2000  27.0341  57.5218
218.0  0.9  0.2000  27.8613  57.6362
218.0  0.9  0.2000  28.7137  57.7498
218.0  0.9  0.2000  29.5922  57.8624
218.0  0.9  0.2000  30.4976  57.9590
218.0  0.9  0.2000  31.4307  58.0839
218.0  0.9  0.2000  32.3923  58.1926
218.0  0.9  0.2000  33.3834  58.2996
218.0  0.9  0.2000  34.4048  58.4050
218.0  0.9  0.2000  35.4574  58.5085
218.0  0.9  0.2000  36.5422  57.0242
218.0  0.9  0.2000  37.6603  57.1195
218.0  0.9  0.2000  38.8125  57.2130
218.0  0.9  0.2000  40.0000  57.3046
218.0  0.9  0.2109  5.0000  64.6192
218.0  0.9  0.2109  5.1530  64.7613
218.0  0.9  0.2109  5.3106  64.5154
218.0  0.9  0.2109  5.4731  65.2946
218.0  0.9  0.2109  5.6406  66.2920
218.0  0.9  0.2109  5.8131  64.5702
218.0  0.9  0.2109  5.9910  64.0923
218.0  0.9  0.2109  6.1743  63.6354
218.0  0.9  0.2109  6.3632  64.6217
218.0  0.9  0.2109  6.5579  63.6366
218.0  0.9  0.2109  6.7585  63.6429
218.0  0.9  0.2109  6.9653  62.8915
218.0  0.9  0.2109  7.1784  62.8762
218.0  0.9  0.2109  7.3981  62.3693
218.0  0.9  0.2109  7.6244  63.3264
218.0  0.9  0.2109  7.8577  62.4183
218.0  0.9  0.2109  8.0981  62.2954
218.0  0.9  0.2109  8.3458  62.3151
218.0  0.9  0.2109  8.6012  63.0954
218.0  0.9  0.2109  8.8644  61.6944
218.0  0.9  0.2109  9.1356  62.3870
218.0  0.9  0.2109  9.4151  61.3719
218.0  0.9  0.2109  9.7031  61.6095
218.0  0.9  0.2109  10.0000  61.4207
218.0  0.9  0.2109  10.3060  61.4005
218.0  0.9  0.2109  10.6213  60.9268
218.0  0.9  0.2109  10.9462  61.1245
218.0  0.9  0.2109  11.2811  61.5976
218.0  0.9  0.2109  11.6263  60.7274
218.0  0.9  0.2109  11.9820  61.3363
218.0  0.9  0.2109  12.3486  60.1528
218.0  0.9  0.2109  12.7264  60.7042
218.0  0.9  0.2109  13.1158  61.2623
218.0  0.9  0.2109  13.5171  59.7291
218.0  0.9  0.2109  13.9306  58.8432
218.0  0.9  0.2109  14.3568  59.2851
218.0  0.9  0.2109  14.7961  59.7111
218.0  0.9  0.2109  15.2488  60.0263
218.0  0.9  0.2109  15.7153  59.1437
218.0  0.9  0.2109  16.1962  59.4747
218.0  0.9  0.2109  16.6917  59.8092
218.0  0.9  0.2109  17.2024  59.0134
218.0  0.9  0.2109  17.7287  58.6314
218.0  0.9  0.2109  18.2711  58.9059
218.0  0.9  0.2109  18.8301  58.0994
218.0  0.9  0.2109  19.4063  58.4463
218.0  0.9  0.2109  20.0000  57.6887
218.0  0.9  0.2109  20.6119  57.3130
218.0  0.9  0.2109  21.2425  57.6175
218.0  0.9  0.2109  21.8925  56.8047
218.0  0.9  0.2109  22.5623  56.9816
218.0  0.9  0.2109  23.2526  57.1590
218.0  0.9  0.2109  23.9640  56.8347
218.0  0.9  0.2109  24.6972  57.0444
218.0  0.9  0.2109  25.4528  57.2524
218.0  0.9  0.2109  26.2316  57.4587
218.0  0.9  0.2109  27.0341  57.6628
218.0  0.9  0.2109  27.8613  56.0114
218.0  0.9  0.2109  28.7137  56.1717
218.0  0.9  0.2109  29.5922  56.3303
218.0  0.9  0.2109  30.4976  56.4870
218.0  0.9  0.2109  31.4307  56.1045
218.0  0.9  0.2109  32.3923  56.2911
218.0  0.9  0.2109  33.3834  56.4387
218.0  0.9  0.2109  34.4048  55.0725
218.0  0.9  0.2109  35.4574  55.1735
218.0  0.9  0.2109  36.5422  55.2732
218.0  0.9  0.2109  37.6603  55.3714
218.0  0.9  0.2109  38.8125  55.4680
218.0  0.9  0.2109  40.0000  55.2720
218.0  0.9  0.2217  5.0000  64.4216
218.0  0.9  0.2217  5.1530  64.4418
218.0  0.9  0.2217  5.3106  64.1319
218.0  0.9  0.2217  5.4731  64.4759
218.0  0.9  0.2217  5.6406  64.2706
218.0  0.9  0.2217  5.8131  63.3239
218.0  0.9  0.2217  5.9910  63.4343
218.0  0.9  0.2217  6.1743  62.4854
218.0  0.9  0.2217  6.3632  63.0839
218.0  0.9  0.2217  6.5579  64.0574
218.0  0.9  0.2217  6.7585  62.6550
218.0  0.9  0.2217  6.9653  62.0219
218.0  0.9  0.2217  7.1784  61.4269
218.0  0.9  0.2217  7.3981  62.4404
218.0  0.9  0.2217  7.6244  61.2593
218.0  0.9  0.2217  7.8577  61.0663
218.0  0.9  0.2217  8.0981  61.9210
218.0  0.9  0.2217  8.3458  61.7318
218.0  0.9  0.2217  8.6012  61.5037
218.0  0.9  0.2217  8.8644  60.9056
218.0  0.9  0.2217  9.1356  61.1561
218.0  0.9  0.2217  9.4151  60.0937
218.0  0.9  0.2217  9.7031  60.3887
218.0  0.9  0.2217  10.0000  60.2067
218.0  0.9  0.2217  10.3060  60.9780
218.0  0.9  0.2217  10.6213  59.3054
218.0  0.9  0.2217  10.9462  59.9832
218.0  0.9  0.2217  11.2811  60.6760
218.0  0.9  0.2217  11.6263  59.3919
218.0  0.9  0.2217  11.9820  59.5087
218.0  0.9  0.2217  12.3486  58.5136
218.0  0.9  0.2217  12.7264  57.9916
218.0  0.9  0.2217  13.1158  58.4867
218.0  0.9  0.2217  13.5171  58.4279
218.0  0.9  0.2217  13.9306  58.8802
218.0  0.9  0.2217  14.3568  58.3738
218.0  0.9  0.2217  14.7961  58.9339
218.0  0.9  0.2217  15.2488  57.5539
218.0  0.9  0.2217  15.7153  58.0161
