# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.3  0.2000  5.0000  64.2659
218.0  0.3  0.2000  5.1530  63.7242
218.0  0.3  0.2000  5.3106  64.7229
218.0  0.3  0.2000  5.4731  63.9003
218.0  0.3  0.2000  5.6406  64.8594
218.0  0.3  0.2000  5.8131  63.5811
218.0  0.3  0.2000  5.9910  63.1023
218.0  0.3  0.2000  6.1743  63.7362
218.0  0.3  0.2000  6.3632  63.2105
218.0  0.3  0.2000  6.5579  63.8921
218.0  0.3  0.2000  6.7585  62.7038
218.0  0.3  0.2000  6.9653  62.3471
218.0  0.3  0.2000  7.1784  63.1072
218.0  0.3  0.2000  7.3981  62.0062
218.0  0.3  0.2000  7.6244  62.7236
218.0  0.3  0.2000  7.8577  61.8839
218.0  0.3  0.2000  8.0981  62.0011
218.0  0.3  0.2000  8.3458  62.5813
218.0  0.3  0.2000  8.6012  61.2358
218.0  0.3  0.2000  8.8644  61.7457
218.0  0.3  0.2000  9.1356  61.8823
218.0  0.3  0.2000  9.4151  60.6868
218.0  0.3  0.2000  9.7031  61.1037
218.0  0.3  0.2000  10.0000  61.3460
218.0  0.3  0.2000  10.3060  59.8418
218.0  0.3  0.2000  10.6213  60.2177
218.0  0.3  0.2000  10.9462  60.5965
218.0  0.3  0.2000  11.2811  60.9770
218.0  0.3  0.2000  11.6263  59.8718
218.0  0.3  0.2000  11.9820  60.1942
218.0  0.3  0.2000  12.3486  60.4194
218.0  0.3  0.2000  12.7264  58.8124
218.0  0.3  0.2000  13.1158  59.0972
218.0  0.3  0.2000  13.5171  59.3807
218.0  0.3  0.2000  13.9306  58.2981
218.0  0.3  0.2000  14.3568  57.4552
218.0  0.3  0.2000  14.7961  57.6808
218.0  0.3  0.2000  15.2488  57.7349
218.0  0.3  0.2000  15.7153  57.8358
218.0  0.3  0.2000  16.1962  57.9371
218.0  0.3  0.2000  16.6917  58.0381
218.0  0.3  0.2000  17.2024  58.0336
218.0  0.3  0.2000  17.7287  58.2361
218.0  0.3  0.2000  18.2711  57.2893
218.0  0.3  0.2000  18.8301  57.3893
218.0  0.3  0.2000  19.4063  56.6199
218.0  0.3  0.2000  20.0000  56.7557
218.0  0.3  0.2000  20.6119  56.8880
218.0  0.3  0.2000  21.2425  55.9587
218.0  0.3  0.2000  21.8925  55.9911
218.0  0.3  0.2000  22.5623  56.0223
218.0  0.3  0.2000  23.2526  54.4671
218.0  0.3  0.2000  23.9640  54.5420
218.0  0.3  0.2000  24.6972  54.6141
218.0  0.3  0.2000  25.4528  54.6832
218.0  0.3  0.2000  26.2316  53.6952
218.0  0.3  0.2000  27.0341  53.6896
218.0  0.3  0.2000  27.8613  53.6832
218.0  0.3  0.2000  28.7137  53.6759
218.0  0.3  0.2000  29.5922  53.6677
218.0  0.3  0.2000  30.4976  53.6586
218.0  0.3  0.2000  31.4307  53.6486
218.0  0.3  0.2000  32.3923  53.6378
218.0  0.3  0.2000  33.3834  53.2340
218.0  0.3  0.2000  34.4048  53.2258
218.0  0.3  0.2000  35.4574  53.2167
218.0  0.3  0.2000  36.5422  53.2066
218.0  0.3  0.2000  37.6603  53.1957
218.0  0.3  0.2000  38.8125  53.1838
218.0  0.3  0.2000  40.0000  53.1712
218.0  0.3  0.2109  5.0000  62.8783
218.0  0.3  0.2109  5.1530  63.9832
218.0  0.3  0.2109  5.3106  63.0575
218.0  0.3  0.2109  5.4731  61.9461
218.0  0.3  0.2109  5.6406  61.7815
218.0  0.3  0.2109  5.8131  62.0098
218.0  0.3  0.2109  5.9910  61.9944
218.0  0.3  0.2109  6.1743  62.9945
218.0  0.3  0.2109  6.3632  61.7760
218.0  0.3  0.2109  6.5579  60.6950
218.0  0.3  0.2109  6.7585  61.2617
218.0  0.3  0.2109  6.9653  60.7460
218.0  0.3  0.2109  7.1784  60.8711
218.0  0.3  0.2109  7.3981  60.5932
218.0  0.3  0.2109  7.6244  61.2697
218.0  0.3  0.2109  7.8577  61.3984
218.0  0.3  0.2109  8.0981  60.4969
218.0  0.3  0.2109  8.3458  60.6051
218.0  0.3  0.2109  8.6012  59.5266
218.0  0.3  0.2109  8.8644  60.0266
218.0  0.3  0.2109  9.1356  58.7232
218.0  0.3  0.2109  9.4151  59.1987
218.0  0.3  0.2109  9.7031  59.5511
218.0  0.3  0.2109  10.0000  60.0996
218.0  0.3  0.2109  10.3060  58.5400
218.0  0.3  0.2109  10.6213  59.0158
218.0  0.3  0.2109  10.9462  59.4068
218.0  0.3  0.2109  11.2811  57.6483
218.0  0.3  0.2109  11.6263  58.0286
218.0  0.3  0.2109  11.9820  58.4104
218.0  0.3  0.2109  12.3486  56.6063
218.0  0.3  0.2109  12.7264  56.9405
218.0  0.3  0.2109  13.1158  57.2745
218.0  0.3  0.2109  13.5171  57.6076
218.0  0.3  0.2109  13.9306  57.8753
218.0  0.3  0.2109  14.3568  56.8620
218.0  0.3  0.2109  14.7961  56.6727
218.0  0.3  0.2109  15.2488  56.8619
218.0  0.3  0.2109  15.7153  57.0506
218.0  0.3  0.2109  16.1962  55.6912
218.0  0.3  0.2109  16.6917  55.9238
218.0  0.3  0.2109  17.2024  55.6374
218.0  0.3  0.2109  17.7287  54.8632
218.0  0.3  0.2109  18.2711  53.9957
218.0  0.3  0.2109  18.8301  54.1711
218.0  0.3  0.2109  19.4063  53.7639
218.0  0.3  0.2109  20.0000  53.8334
218.0  0.3  0.2109  20.6119  53.9021
218.0  0.3  0.2109  21.2425  53.9697
218.0  0.3  0.2109  21.8925  54.0361
218.0  0.3  0.2109  22.5623  54.1011
218.0  0.3  0.2109  23.2526  54.1645
218.0  0.3  0.2109  23.9640  53.2854
218.0  0.3  0.2109  24.6972  53.3479
218.0  0.3  0.2109  25.4528  53.4085
218.0  0.3  0.2109  26.2316  52.8383
218.0  0.3  0.2109  27.0341  52.9255
218.0  0.3  0.2109  27.8613  53.0098
218.0  0.3  0.2109  28.7137  51.6538
218.0  0.3  0.2109  29.5922  51.6602
218.0  0.3  0.2109  30.4976  51.6658
218.0  0.3  0.2109  31.4307  51.6705
218.0  0.3  0.2109  32.3923  50.3676
218.0  0.3  0.2109  33.3834  50.4055
218.0  0.3  0.2109  34.4048  50.4414
218.0  0.3  0.2109  35.4574  50.4755
218.0  0.3  0.2109  36.5422  50.5077
218.0  0.3  0.2109  37.6603  49.1532
218.0  0.3  0.2109  38.8125  49.1316
218.0  0.3  0.2109  40.0000  49.1099
218.0  0.3  0.2217  5.0000  61.4724
218.0  0.3  0.2217  5.1530  61.3629
218.0  0.3  0.2217  5.3106  60.6195
218.0  0.3  0.2217  5.4731  61.6163
218.0  0.3  0.2217  5.6406  60.4895
218.0  0.3  0.2217  5.8131  61.6033
218.0  0.3  0.2217  5.9910  60.5493
218.0  0.3  0.2217  6.1743  61.6089
218.0  0.3  0.2217  6.3632  60.1759
218.0  0.3  0.2217  6.5579  59.9952
218.0  0.3  0.2217  6.7585  59.9583
218.0  0.3  0.2217  6.9653  60.0029
218.0  0.3  0.2217  7.1784  59.2961
218.0  0.3  0.2217  7.3981  59.3350
218.0  0.3  0.2217  7.6244  58.6458
218.0  0.3  0.2217  7.8577  59.0397
218.0  0.3  0.2217  8.0981  58.4720
218.0  0.3  0.2217  8.3458  58.1062
218.0  0.3  0.2217  8.6012  58.0422
218.0  0.3  0.2217  8.8644  58.6979
218.0  0.3  0.2217  9.1356  59.1522
218.0  0.3  0.2217  9.4151  57.7179
218.0  0.3  0.2217  9.7031  58.1007
218.0  0.3  0.2217  10.0000  57.3900
218.0  0.3  0.2217  10.3060  56.9571
218.0  0.3  0.2217  10.6213  57.4346
218.0  0.3  0.2217  10.9462  56.0269
218.0  0.3  0.2217  11.2811  56.3541
218.0  0.3  0.2217  11.6263  56.7231
218.0  0.3  0.2217  11.9820  57.0961
218.0  0.3  0.2217  12.3486  55.7597
218.0  0.3  0.2217  12.7264  56.1899
218.0  0.3  0.2217  13.1158  56.5671
218.0  0.3  0.2217  13.5171  54.5337
218.0  0.3  0.2217  13.9306  54.8700
218.0  0.3  0.2217  14.3568  55.2052
218.0  0.3  0.2217  14.7961  53.2957
218.0  0.3  0.2217  15.2488  53.5845
218.0  0.3  0.2217  15.7153  53.7717
218.0  0.3  0.2217  16.1962  53.9266
218.0  0.3  0.2217  16.6917  54.0821
218.0  0.3  0.2217  17.2024  54.2378
218.0  0.3  0.2217  17.7287  53.6653
