# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.6  0.2000  5.0000  64.4325
218.0  0.6  0.2000  5.1530  64.7404
218.0  0.6  0.2000  5.3106  65.6945
218.0  0.6  0.2000  5.4731  64.5798
218.0  0.6  0.2000  5.6406  64.7790
218.0  0.6  0.2000  5.8131  64.0517
218.0  0.6  0.2000  5.9910  64.1316
218.0  0.6  0.2000  6.1743  63.5428
218.0  0.6  0.2000  6.3632  63.8202
218.0  0.6  0.2000  6.5579  64.6719
218.0  0.6  0.2000  6.7585  63.8747
218.0  0.6  0.2000  6.9653  63.0177
218.0  0.6  0.2000  7.1784  63.7936
218.0  0.6  0.2000  7.3981  62.6714
218.0  0.6  0.2000  7.6244  63.3360
218.0  0.6  0.2000  7.8577  62.6939
218.0  0.6  0.2000  8.0981  63.1211
218.0  0.6  0.2000  8.3458  62.7799
218.0  0.6  0.2000  8.6012  63.2457
218.0  0.6  0.2000  8.8644  62.5349
218.0  0.6  0.2000  9.1356  62.5366
218.0  0.6  0.2000  9.4151  61.8370
218.0  0.6  0.2000  9.7031  62.4370
218.0  0.6  0.2000  10.0000  61.2490
218.0  0.6  0.2000  10.3060  61.8044
218.0  0.6  0.2000  10.6213  61.2501
218.0  0.6  0.2000  10.9462  61.6152
218.0  0.6  0.2000  11.2811  61.4798
218.0  0.6  0.2000  11.6263  61.8653
218.0  0.6  0.2000  11.9820  62.3533
218.0  0.6  0.2000  12.3486  60.8990
218.0  0.6  0.2000  12.7264  61.2725
218.0  0.6  0.2000  13.1158  61.1077
218.0  0.6  0.2000  13.5171  60.0419
218.0  0.6  0.2000  13.9306  60.3308
218.0  0.6  0.2000  14.3568  60.6215
218.0  0.6  0.2000  14.7961  58.8971
218.0  0.6  0.2000  15.2488  59.1465
218.0  0.6  0.2000  15.7153  59.3965
218.0  0.6  0.2000  16.1962  59.6465
218.0  0.6  0.2000  16.6917  59.8959
218.0  0.6  0.2000  17.2024  60.1441
218.0  0.6  0.2000  17.7287  58.8556
218.0  0.6  0.2000  18.2711  59.0915
218.0  0.6  0.2000  18.8301  59.3251
218.0  0.6  0.2000  19.4063  59.5558
218.0  0.6  0.2000  20.0000  57.7313
218.0  0.6  0.2000  20.6119  57.8983
218.0  0.6  0.2000  21.2425  58.0633
218.0  0.6  0.2000  21.8925  58.2259
218.0  0.6  0.2000  22.5623  57.1314
218.0  0.6  0.2000  23.2526  56.1599
218.0  0.6  0.2000  23.9640  56.2787
218.0  0.6  0.2000  24.6972  56.3955
218.0  0.6  0.2000  25.4528  56.5100
218.0  0.6  0.2000  26.2316  56.6222
218.0  0.6  0.2000  27.0341  56.7182
218.0  0.6  0.2000  27.8613  56.7471
218.0  0.6  0.2000  28.7137  56.7756
218.0  0.6  0.2000  29.5922  56.8036
218.0  0.6  0.2000  30.4976  56.3619
218.0  0.6  0.2000  31.4307  56.4567
218.0  0.6  0.2000  32.3923  55.7778
218.0  0.6  0.2000  33.3834  55.8058
218.0  0.6  0.2000  34.4048  55.8328
218.0  0.6  0.2000  35.4574  55.8589
218.0  0.6  0.2000  36.5422  55.8840
218.0  0.6  0.2000  37.6603  54.8746
218.0  0.6  0.2000  38.8125  54.9219
218.0  0.6  0.2000  40.0000  54.9674
218.0  0.6  0.2109  5.0000  63.7346
218.0  0.6  0.2109  5.1530  63.4789
218.0  0.6  0.2109  5.3106  63.6358
