# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.3  0.2000  5.0000  68.3208
218.0  1.3  0.2000  5.1530  68.1918
218.0  1.3  0.2000  5.3106  68.9265
218.0  1.3  0.2000  5.4731  69.2082
218.0  1.3  0.2000  5.6406  69.5757
218.0  1.3  0.2000  5.8131  68.2906
218.0  1.3  0.2000  5.9910  66.8385
218.0  1.3  0.2000  6.1743  67.3052
218.0  1.3  0.2000  6.3632  68.2679
218.0  1.3  0.2000  6.5579  68.6144
218.0  1.3  0.2000  6.7585  68.6391
218.0  1.3  0.2000  6.9653  65.9652
218.0  1.3  0.2000  7.1784  66.5977
218.0  1.3  0.2000  7.3981  66.5417
218.0  1.3  0.2000  7.6244  65.9692
218.0  1.3  0.2000  7.8577  66.7480
218.0  1.3  0.2000  8.0981  67.5756
218.0  1.3  0.2000  8.3458  66.0906
218.0  1.3  0.2000  8.6012  64.9102
218.0  1.3  0.2000  8.8644  64.8827
218.0  1.3  0.2000  9.1356  64.5578
218.0  1.3  0.2000  9.4151  65.2619
218.0  1.3  0.2000  9.7031  65.4851
218.0  1.3  0.2000  10.0000  66.0148
218.0  1.3  0.2000  10.3060  66.1485
218.0  1.3  0.2000  10.6213  64.1169
218.0  1.3  0.2000  10.9462  63.9245
218.0  1.3  0.2000  11.2811  64.5300
218.0  1.3  0.2000  11.6263  63.9290
218.0  1.3  0.2000  11.9820  64.5038
218.0  1.3  0.2000  12.3486  63.6788
218.0  1.3  0.2000  12.7264  63.5493
218.0  1.3  0.2000  13.1158  64.0181
218.0  1.3  0.2000  13.5171  64.0311
218.0  1.3  0.2000  13.9306  64.4625
218.0  1.3  0.2000  14.3568  62.7956
218.0  1.3  0.2000  14.7961  63.0495
218.0  1.3  0.2000  15.2488  63.5888
218.0  1.3  0.2000  15.7153  62.8812
218.0  1.3  0.2000  16.1962  63.3847
218.0  1.3  0.2000  16.6917  62.3111
218.0  1.3  0.2000  17.2024  62.3270
218.0  1.3  0.2000  17.7287  62.3673
218.0  1.3  0.2000  18.2711  62.7886
218.0  1.3  0.2000  18.8301  62.6890
218.0  1.3  0.2000  19.4063  61.8604
218.0  1.3  0.2000  20.0000  62.1919
218.0  1.3  0.2000  20.6119  62.5264
218.0  1.3  0.2000  21.2425  61.4623
218.0  1.3  0.2000  21.8925  61.7510
218.0  1.3  0.2000  22.5623  61.8503
218.0  1.3  0.2000  23.2526  62.2312
