# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.1  0.2000  5.0000  68.4153
218.0  1.1  0.2000  5.1530  68.5033
218.0  1.1  0.2000  5.3106  66.2496
218.0  1.1  0.2000  5.4731  66.1007
218.0  1.1  0.2000  5.6406  65.9341
218.0  1.1  0.2000  5.8131  66.5851
218.0  1.1  0.2000  5.9910  67.5929
218.0  1.1  0.2000  6.1743  66.1300
218.0  1.1  0.2000  6.3632  65.4130
218.0  1.1  0.2000  6.5579  65.5449
218.0  1.1  0.2000  6.7585  65.2370
218.0  1.1  0.2000  6.9653  65.6416
218.0  1.1  0.2000  7.1784  66.0526
218.0  1.1  0.2000  7.3981  66.2282
218.0  1.1  0.2000  7.6244  64.6330
218.0  1.1  0.2000  7.8577  64.5748
218.0  1.1  0.2000  8.0981  64.1119
218.0  1.1  0.2000  8.3458  64.8756
218.0  1.1  0.2000  8.6012  64.1388
218.0  1.1  0.2000  8.8644  64.0908
218.0  1.1  0.2000  9.1356  64.2227
218.0  1.1  0.2000  9.4151  64.8249
218.0  1.1  0.2000  9.7031  63.5869
218.0  1.1  0.2000  10.0000  64.0459
218.0  1.1  0.2000  10.3060  63.5010
218.0  1.1  0.2000  10.6213  63.8676
218.0  1.1  0.2000  10.9462  63.2458
218.0  1.1  0.2000  11.2811  63.0268
218.0  1.1  0.2000  11.6263  63.6539
218.0  1.1  0.2000  11.9820  63.3014
218.0  1.1  0.2000  12.3486  62.8940
218.0  1.1  0.2000  12.7264  63.4189
218.0  1.1  0.2000  13.1158  62.4262
218.0  1.1  0.2000  13.5171  62.8992
218.0  1.1  0.2000  13.9306  61.8700
218.0  1.1  0.2000  14.3568  62.2921
218.0  1.1  0.2000  14.7961  62.7214
218.0  1.1  0.2000  15.2488  61.4951
218.0  1.1  0.2000  15.7153  61.8487
218.0  1.1  0.2000  16.1962  60.9719
218.0  1.1  0.2000  16.6917  61.3037
218.0  1.1  0.2000  17.2024  61.6399
218.0  1.1  0.2000  17.7287  61.3982
218.0  1.1  0.2000  18.2711  61.7855
218.0  1.1  0.2000  18.8301  61.1573
218.0  1.1  0.2000  19.4063  61.5166
218.0  1.1  0.2000  20.0000  61.8758
218.0  1.1  0.2000  20.6119  60.6744
218.0  1.1  0.2000  21.2425  60.9896
218.0  1.1  0.2000  21.8925  61.3040
218.0  1.1  0.2000  22.5623  59.8030
218.0  1.1  0.2000  23.2526  60.0579
218.0  1.1  0.2000  23.9640  60.3121
218.0  1.1  0.2000  24.6972  59.6657
218.0  1.1  0.2000  25.4528  59.1765
218.0  1.1  0.2000  26.2316  59.3952
218.0  1.1  0.2000  27.0341  59.6125
218.0  1.1  0.2000  27.8613  59.5625
218.0  1.1  0.2000  28.7137  59.6736
218.0  1.1  0.2000  29.5922  59.7854
218.0  1.1  0.2000  30.4976  59.8974
218.0  1.1  0.2000  31.4307  59.1682
218.0  1.1  0.2000  32.3923  59.3067
218.0  1.1  0.2000  33.3834  59.4440
218.0  1.1  0.2000  34.4048  58.9971
218.0  1.1  0.2000  35.4574  59.1777
218.0  1.1  0.2000  36.5422  59.3555
218.0  1.1  0.2000  37.6603  58.3605
218.0  1.1  0.2000  38.8125  58.4595
218.0  1.1  0.2000  40.0000  58.5573
218.0  1.1  0.2109  5.0000  67.4912
218.0  1.1  0.2109  5.1530  67.3345
218.0  1.1  0.2109  5.3106  65.5399
218.0  1.1  0.2109  5.4731  65.5320
218.0  1.1  0.2109  5.6406  65.3391
218.0  1.1  0.2109  5.8131  65.6920
218.0  1.1  0.2109  5.9910  65.6375
218.0  1.1  0.2109  6.1743  66.5304
218.0  1.1  0.2109  6.3632  64.7540
218.0  1.1  0.2109  6.5579  64.7536
218.0  1.1  0.2109  6.7585  63.9844
218.0  1.1  0.2109  6.9653  65.0170
218.0  1.1  0.2109  7.1784  66.1037
218.0  1.1  0.2109  7.3981  64.1201
218.0  1.1  0.2109  7.6244  63.5701
218.0  1.1  0.2109  7.8577  64.1080
218.0  1.1  0.2109  8.0981  63.6083
218.0  1.1  0.2109  8.3458  63.1049
218.0  1.1  0.2109  8.6012  63.4908
218.0  1.1  0.2109  8.8644  63.5182
218.0  1.1  0.2109  9.1356  62.3736
218.0  1.1  0.2109  9.4151  62.2205
218.0  1.1  0.2109  9.7031  63.0329
218.0  1.1  0.2109  10.0000  62.3703
218.0  1.1  0.2109  10.3060  63.1493
218.0  1.1  0.2109  10.6213  61.5849
218.0  1.1  0.2109  10.9462  61.8875
218.0  1.1  0.2109  11.2811  61.8095
218.0  1.1  0.2109  11.6263  62.4108
218.0  1.1  0.2109  11.9820  61.5728
218.0  1.1  0.2109  12.3486  61.5198
218.0  1.1  0.2109  12.7264  61.2686
218.0  1.1  0.2109  13.1158  60.9505
218.0  1.1  0.2109  13.5171  60.7431
218.0  1.1  0.2109  13.9306  60.7957
218.0  1.1  0.2109  14.3568  60.6455
218.0  1.1  0.2109  14.7961  60.0480
218.0  1.1  0.2109  15.2488  60.4354
218.0  1.1  0.2109  15.7153  60.3487
218.0  1.1  0.2109  16.1962  60.8290
218.0  1.1  0.2109  16.6917  59.6314
218.0  1.1  0.2109  17.2024  60.0578
218.0  1.1  0.2109  17.7287  60.4871
218.0  1.1  0.2109  18.2711  59.2203
