# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.2  0.2000  5.0000  63.4292
218.0  0.2  0.2000  5.1530  64.4149
218.0  0.2  0.2000  5.3106  63.3225
218.0  0.2  0.2000  5.4731  62.8130
218.0  0.2  0.2000  5.6406  63.4854
218.0  0.2  0.2000  5.8131  64.0817
218.0  0.2  0.2000  5.9910  63.7003
218.0  0.2  0.2000  6.1743  63.5127
218.0  0.2  0.2000  6.3632  63.2000
218.0  0.2  0.2000  6.5579  63.0610
218.0  0.2  0.2000  6.7585  62.0013
218.0  0.2  0.2000  6.9653  62.7627
218.0  0.2  0.2000  7.1784  61.9048
218.0  0.2  0.2000  7.3981  62.0932
218.0  0.2  0.2000  7.6244  62.7158
218.0  0.2  0.2000  7.8577  61.3865
218.0  0.2  0.2000  8.0981  61.9380
218.0  0.2  0.2000  8.3458  62.1796
218.0  0.2  0.2000  8.6012  60.9122
218.0  0.2  0.2000  8.8644  61.3689
218.0  0.2  0.2000  9.1356  59.7423
218.0  0.2  0.2000  9.4151  60.1530
218.0  0.2  0.2000  9.7031  60.5686
218.0  0.2  0.2000  10.0000  60.9877
218.0  0.2  0.2000  10.3060  61.4090
218.0  0.2  0.2000  10.6213  60.3520
218.0  0.2  0.2000  10.9462  60.5349
218.0  0.2  0.2000  11.2811  60.7935
218.0  0.2  0.2000  11.6263  59.3168
218.0  0.2  0.2000  11.9820  59.6377
218.0  0.2  0.2000  12.3486  58.5643
218.0  0.2  0.2000  12.7264  57.7618
218.0  0.2  0.2000  13.1158  58.0217
218.0  0.2  0.2000  13.5171  58.0009
218.0  0.2  0.2000  13.9306  58.1270
218.0  0.2  0.2000  14.3568  58.2535
218.0  0.2  0.2000  14.7961  58.3799
218.0  0.2  0.2000  15.2488  58.5057
218.0  0.2  0.2000  15.7153  57.5991
218.0  0.2  0.2000  16.1962  57.7260
218.0  0.2  0.2000  16.6917  57.0289
218.0  0.2  0.2000  17.2024  57.1956
218.0  0.2  0.2000  17.7287  57.3584
218.0  0.2  0.2000  18.2711  56.3493
218.0  0.2  0.2000  18.8301  56.4011
218.0  0.2  0.2000  19.4063  56.4513
218.0  0.2  0.2000  20.0000  54.9999
218.0  0.2  0.2000  20.6119  55.0981
218.0  0.2  0.2000  21.2425  55.1928
218.0  0.2  0.2000  21.8925  54.1463
218.0  0.2  0.2000  22.5623  54.1550
218.0  0.2  0.2000  23.2526  54.1624
218.0  0.2  0.2000  23.9640  54.1685
218.0  0.2  0.2000  24.6972  54.1733
218.0  0.2  0.2000  25.4528  54.1766
218.0  0.2  0.2000  26.2316  54.1785
218.0  0.2  0.2000  27.0341  53.8042
218.0  0.2  0.2000  27.8613  53.8083
218.0  0.2  0.2000  28.7137  53.8108
218.0  0.2  0.2000  29.5922  53.8117
218.0  0.2  0.2000  30.4976  53.8110
218.0  0.2  0.2000  31.4307  53.8089
218.0  0.2  0.2000  32.3923  53.8054
218.0  0.2  0.2000  33.3834  53.8004
218.0  0.2  0.2000  34.4048  51.9344
218.0  0.2  0.2000  35.4574  51.8961
218.0  0.2  0.2000  36.5422  51.8575
218.0  0.2  0.2000  37.6603  51.8187
218.0  0.2  0.2000  38.8125  51.7796
218.0  0.2  0.2000  40.0000  51.7404
218.0  0.2  0.2109  5.0000  63.2682
218.0  0.2  0.2109  5.1530  62.4173
218.0  0.2  0.2109  5.3106  62.2976
218.0  0.2  0.2109  5.4731  62.4864
218.0  0.2  0.2109  5.6406  62.6926
218.0  0.2  0.2109  5.8131  61.7497
218.0  0.2  0.2109  5.9910  62.2483
218.0  0.2  0.2109  6.1743  61.3853
218.0  0.2  0.2109  6.3632  60.6309
218.0  0.2  0.2109  6.5579  60.7764
218.0  0.2  0.2109  6.7585  61.3951
218.0  0.2  0.2109  6.9653  61.2774
218.0  0.2  0.2109  7.1784  61.5034
218.0  0.2  0.2109  7.3981  60.5756
218.0  0.2  0.2109  7.6244  60.7917
218.0  0.2  0.2109  7.8577  59.6560
218.0  0.2  0.2109  8.0981  60.1982
218.0  0.2  0.2109  8.3458  58.9206
218.0  0.2  0.2109  8.6012  59.2992
218.0  0.2  0.2109  8.8644  59.8902
218.0  0.2  0.2109  9.1356  60.3703
218.0  0.2  0.2109  9.4151  58.9224
218.0  0.2  0.2109  9.7031  59.4446
218.0  0.2  0.2109  10.0000  59.0895
218.0  0.2  0.2109  10.3060  58.0815
218.0  0.2  0.2109  10.6213  58.5045
218.0  0.2  0.2109  10.9462  56.7399
218.0  0.2  0.2109  11.2811  57.1140
218.0  0.2  0.2109  11.6263  57.4890
218.0  0.2  0.2109  11.9820  57.8639
218.0  0.2  0.2109  12.3486  58.0898
218.0  0.2  0.2109  12.7264  57.2168
218.0  0.2  0.2109  13.1158  56.9667
218.0  0.2  0.2109  13.5171  57.1885
218.0  0.2  0.2109  13.9306  55.8818
218.0  0.2  0.2109  14.3568  56.1539
218.0  0.2  0.2109  14.7961  56.4231
218.0  0.2  0.2109  15.2488  55.1600
218.0  0.2  0.2109  15.7153  54.3336
218.0  0.2  0.2109  16.1962  54.5444
218.0  0.2  0.2109  16.6917  54.0962
218.0  0.2  0.2109  17.2024  54.1896
218.0  0.2  0.2109  17.7287  54.2823
218.0  0.2  0.2109  18.2711  54.3738
218.0  0.2  0.2109  18.8301  54.4639
218.0  0.2  0.2109  19.4063  54.5524
218.0  0.2  0.2109  20.0000  53.7130
218.0  0.2  0.2109  20.6119  53.8003
218.0  0.2  0.2109  21.2425  53.8852
218.0  0.2  0.2109  21.8925  53.3904
218.0  0.2  0.2109  22.5623  53.5054
218.0  0.2  0.2109  23.2526  53.6167
218.0  0.2  0.2109  23.9640  52.1597
218.0  0.2  0.2109  24.6972  52.1814
218.0  0.2  0.2109  25.4528  52.2017
218.0  0.2  0.2109  26.2316  50.9719
218.0  0.2  0.2109  27.0341  51.0306
218.0  0.2  0.2109  27.8613  51.0866
218.0  0.2  0.2109  28.7137  51.1400
218.0  0.2  0.2109  29.5922  49.7323
218.0  0.2  0.2109  30.4976  49.7195
218.0  0.2  0.2109  31.4307  49.7061
218.0  0.2  0.2109  32.3923  49.6920
218.0  0.2  0.2109  33.3834  49.6773
218.0  0.2  0.2109  34.4048  49.6620
218.0  0.2  0.2109  35.4574  49.6462
218.0  0.2  0.2109  36.5422  49.6298
218.0  0.2  0.2109  37.6603  49.6129
218.0  0.2  0.2109  38.8125  49.3318
218.0  0.2  0.2109  40.0000  49.3177
218.0  0.2  0.2217  5.0000  61.0776
218.0  0.2  0.2217  5.1530  62.1486
218.0  0.2  0.2217  5.3106  61.1384
218.0  0.2  0.2217  5.4731  60.1567
218.0  0.2  0.2217  5.6406  61.2549
218.0  0.2  0.2217  5.8131  59.8979
218.0  0.2  0.2217  5.9910  59.7644
218.0  0.2  0.2217  6.1743  59.7734
218.0  0.2  0.2217  6.3632  59.8652
218.0  0.2  0.2217  6.5579  60.6888
218.0  0.2  0.2217  6.7585  59.2798
218.0  0.2  0.2217  6.9653  60.0187
218.0  0.2  0.2217  7.1784  59.1099
218.0  0.2  0.2217  7.3981  58.5876
218.0  0.2  0.2217  7.6244  58.1994
218.0  0.2  0.2217  7.8577  58.2232
218.0  0.2  0.2217  8.0981  58.9300
218.0  0.2  0.2217  8.3458  59.5084
218.0  0.2  0.2217  8.6012  58.0085
218.0  0.2  0.2217  8.8644  58.5349
218.0  0.2  0.2217  9.1356  56.8036
218.0  0.2  0.2217  9.4151  57.3218
218.0  0.2  0.2217  9.7031  55.9681
218.0  0.2  0.2217  10.0000  56.4567
218.0  0.2  0.2217  10.3060  56.7480
218.0  0.2  0.2217  10.6213  57.1613
218.0  0.2  0.2217  10.9462  57.5792
218.0  0.2  0.2217  11.2811  56.3790
218.0  0.2  0.2217  11.6263  56.7400
218.0  0.2  0.2217  11.9820  56.2038
218.0  0.2  0.2217  12.3486  55.1718
218.0  0.2  0.2217  12.7264  55.5509
218.0  0.2  0.2217  13.1158  53.6600
218.0  0.2  0.2217  13.5171  53.9900
218.0  0.2  0.2217  13.9306  54.0867
218.0  0.2  0.2217  14.3568  54.2730
