# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.4  0.2000  5.0000  64.3381
218.0  0.4  0.2000  5.1530  64.3748
218.0  0.4  0.2000  5.3106  64.1703
218.0  0.4  0.2000  5.4731  64.6053
218.0  0.4  0.2000  5.6406  64.0402
218.0  0.4  0.2000  5.8131  65.0031
218.0  0.4  0.2000  5.9910  64.1263
218.0  0.4  0.2000  6.1743  63.0217
218.0  0.4  0.2000  6.3632  62.4521
218.0  0.4  0.2000  6.5579  63.2009
218.0  0.4  0.2000  6.7585  63.8277
218.0  0.4  0.2000  6.9653  63.2392
218.0  0.4  0.2000  7.1784  63.8799
218.0  0.4  0.2000  7.3981  62.6699
218.0  0.4  0.2000  7.6244  62.2065
218.0  0.4  0.2000  7.8577  62.9166
218.0  0.4  0.2000  8.0981  61.7880
218.0  0.4  0.2000  8.3458  62.4546
218.0  0.4  0.2000  8.6012  61.7015
218.0  0.4  0.2000  8.8644  61.7196
218.0  0.4  0.2000  9.1356  62.2520
218.0  0.4  0.2000  9.4151  62.7923
218.0  0.4  0.2000  9.7031  61.3772
218.0  0.4  0.2000  10.0000  61.8476
218.0  0.4  0.2000  10.3060  61.7715
218.0  0.4  0.2000  10.6213  60.6884
218.0  0.4  0.2000  10.9462  61.0669
218.0  0.4  0.2000  11.2811  59.3939
218.0  0.4  0.2000  11.6263  59.7277
218.0  0.4  0.2000  11.9820  60.0641
218.0  0.4  0.2000  12.3486  60.4021
218.0  0.4  0.2000  12.7264  60.7407
218.0  0.4  0.2000  13.1158  59.5776
218.0  0.4  0.2000  13.5171  59.9041
218.0  0.4  0.2000  13.9306  60.1517
218.0  0.4  0.2000  14.3568  60.3455
218.0  0.4  0.2000  14.7961  58.6904
218.0  0.4  0.2000  15.2488  58.9359
218.0  0.4  0.2000  15.7153  59.1793
218.0  0.4  0.2000  16.1962  58.0659
218.0  0.4  0.2000  16.6917  57.1809
218.0  0.4  0.2000  17.2024  57.3702
218.0  0.4  0.2000  17.7287  57.4580
218.0  0.4  0.2000  18.2711  57.5341
