# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.5  0.2000  5.0000  64.4570
218.0  0.5  0.2000  5.1530  64.7608
218.0  0.5  0.2000  5.3106  64.6236
218.0  0.5  0.2000  5.4731  64.2035
218.0  0.5  0.2000  5.6406  64.5780
218.0  0.5  0.2000  5.8131  63.9552
218.0  0.5  0.2000  5.9910  64.7432
218.0  0.5  0.2000  6.1743  64.0934
218.0  0.5  0.2000  6.3632  63.2549
218.0  0.5  0.2000  6.5579  64.0924
218.0  0.5  0.2000  6.7585  62.9626
218.0  0.5  0.2000  6.9653  62.3561
218.0  0.5  0.2000  7.1784  63.0765
218.0  0.5  0.2000  7.3981  63.6495
218.0  0.5  0.2000  7.6244  63.0713
218.0  0.5  0.2000  7.8577  63.6617
218.0  0.5  0.2000  8.0981  63.1609
218.0  0.5  0.2000  8.3458  62.9756
218.0  0.5  0.2000  8.6012  62.4901
218.0  0.5  0.2000  8.8644  62.0231
218.0  0.5  0.2000  9.1356  61.9591
218.0  0.5  0.2000  9.4151  61.3659
218.0  0.5  0.2000  9.7031  61.7751
218.0  0.5  0.2000  10.0000  61.7361
218.0  0.5  0.2000  10.3060  62.2229
218.0  0.5  0.2000  10.6213  60.8433
218.0  0.5  0.2000  10.9462  61.2629
218.0  0.5  0.2000  11.2811  61.1683
218.0  0.5  0.2000  11.6263  61.5997
218.0  0.5  0.2000  11.9820  60.4692
218.0  0.5  0.2000  12.3486  60.8045
218.0  0.5  0.2000  12.7264  59.1148
218.0  0.5  0.2000  13.1158  59.4069
218.0  0.5  0.2000  13.5171  59.7007
218.0  0.5  0.2000  13.9306  59.9954
218.0  0.5  0.2000  14.3568  60.2903
218.0  0.5  0.2000  14.7961  60.5845
218.0  0.5  0.2000  15.2488  59.3557
218.0  0.5  0.2000  15.7153  59.6370
218.0  0.5  0.2000  16.1962  59.9081
218.0  0.5  0.2000  16.6917  60.0681
218.0  0.5  0.2000  17.2024  58.3213
218.0  0.5  0.2000  17.7287  58.5271
218.0  0.5  0.2000  18.2711  58.7306
218.0  0.5  0.2000  18.8301  57.6265
218.0  0.5  0.2000  19.4063  56.6986
218.0  0.5  0.2000  20.0000  56.8527
218.0  0.5  0.2000  20.6119  57.0044
218.0  0.5  0.2000  21.2425  57.1209
218.0  0.5  0.2000  21.8925  57.1728
218.0  0.5  0.2000  22.5623  57.2245
218.0  0.5  0.2000  23.2526  57.2757
218.0  0.5  0.2000  23.9640  56.9567
218.0  0.5  0.2000  24.6972  57.0883
218.0  0.5  0.2000  25.4528  56.3384
218.0  0.5  0.2000  26.2316  56.3891
218.0  0.5  0.2000  27.0341  56.4386
218.0  0.5  0.2000  27.8613  56.4866
218.0  0.5  0.2000  28.7137  55.5613
218.0  0.5  0.2000  29.5922  55.6364
218.0  0.5  0.2000  30.4976  55.7089
218.0  0.5  0.2000  31.4307  55.7790
218.0  0.5  0.2000  32.3923  54.8404
218.0  0.5  0.2000  33.3834  54.8888
218.0  0.5  0.2000  34.4048  54.9352
218.0  0.5  0.2000  35.4574  54.9704
218.0  0.5  0.2000  36.5422  53.2542
218.0  0.5  0.2000  37.6603  53.2833
218.0  0.5  0.2000  38.8125  53.3109
218.0  0.5  0.2000  40.0000  53.3370
218.0  0.5  0.2109  5.0000  63.1663
218.0  0.5  0.2109  5.1530  63.8671
218.0  0.5  0.2109  5.3106  62.5153
218.0  0.5  0.2109  5.4731  62.7059
218.0  0.5  0.2109  5.6406  63.7658
218.0  0.5  0.2109  5.8131  62.4231
218.0  0.5  0.2109  5.9910  63.3500
218.0  0.5  0.2109  6.1743  62.4492
