# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.2000  5.0000  68.8124
218.0  1.5  0.2000  5.1530  68.2638
218.0  1.5  0.2000  5.3106  68.5838
218.0  1.5  0.2000  5.4731  68.9032
218.0  1.5  0.2000  5.6406  69.1620
218.0  1.5  0.2000  5.8131  68.4913
218.0  1.5  0.2000  5.9910  69.3079
218.0  1.5  0.2000  6.1743  68.4058
218.0  1.5  0.2000  6.3632  68.9251
218.0  1.5  0.2000  6.5579  69.3852
218.0  1.5  0.2000  6.7585  69.4492
218.0  1.5  0.2000  6.9653  68.1180
218.0  1.5  0.2000  7.1784  68.1751
218.0  1.5  0.2000  7.3981  68.9464
218.0  1.5  0.2000  7.6244  69.3559
218.0  1.5  0.2000  7.8577  70.0840
218.0  1.5  0.2000  8.0981  68.0871
218.0  1.5  0.2000  8.3458  66.7732
218.0  1.5  0.2000  8.6012  66.6807
218.0  1.5  0.2000  8.8644  67.0822
218.0  1.5  0.2000  9.1356  67.9619
218.0  1.5  0.2000  9.4151  68.5726
218.0  1.5  0.2000  9.7031  68.5557
218.0  1.5  0.2000  10.0000  68.9994
218.0  1.5  0.2000  10.3060  65.6925
218.0  1.5  0.2000  10.6213  65.5081
218.0  1.5  0.2000  10.9462  66.1118
218.0  1.5  0.2000  11.2811  65.6964
218.0  1.5  0.2000  11.6263  66.0405
218.0  1.5  0.2000  11.9820  66.6054
218.0  1.5  0.2000  12.3486  67.1963
218.0  1.5  0.2000  12.7264  65.7478
218.0  1.5  0.2000  13.1158  66.2005
218.0  1.5  0.2000  13.5171  64.1782
218.0  1.5  0.2000  13.9306  64.3137
218.0  1.5  0.2000  14.3568  64.9061
218.0  1.5  0.2000  14.7961  64.2769
218.0  1.5  0.2000  15.2488  64.8264
218.0  1.5  0.2000  15.7153  65.2717
218.0  1.5  0.2000  16.1962  65.6058
218.0  1.5  0.2000  16.6917  65.7326
218.0  1.5  0.2000  17.2024  66.0191
218.0  1.5  0.2000  17.7287  63.5014
218.0  1.5  0.2000  18.2711  63.1510
218.0  1.5  0.2000  18.8301  63.2589
218.0  1.5  0.2000  19.4063  63.1774
218.0  1.5  0.2000  20.0000  62.9806
218.0  1.5  0.2000  20.6119  63.4442
218.0  1.5  0.2000  21.2425  63.5531
218.0  1.5  0.2000  21.8925  62.9238
218.0  1.5  0.2000  22.5623  62.7729
218.0  1.5  0.2000  23.2526  62.9686
218.0  1.5  0.2000  23.9640  63.2285
218.0  1.5  0.2000  24.6972  63.1600
218.0  1.5  0.2000  25.4528  63.3843
218.0  1.5  0.2000  26.2316  63.6122
218.0  1.5  0.2000  27.0341  63.8432
218.0  1.5  0.2000  27.8613  61.6792
218.0  1.5  0.2000  28.7137  61.6958
218.0  1.5  0.2000  29.5922  61.9764
218.0  1.5  0.2000  30.4976  62.2566
218.0  1.5  0.2000  31.4307  61.4007
218.0  1.5  0.2000  32.3923  61.6504
218.0  1.5  0.2000  33.3834  61.8994
218.0  1.5  0.2000  34.4048  62.1472
218.0  1.5  0.2000  35.4574  60.9596
218.0  1.5  0.2000  36.5422  60.8192
218.0  1.5  0.2000  37.6603  61.0116
218.0  1.5  0.2000  38.8125  60.8208
218.0  1.5  0.2000  40.0000  61.0065
218.0  1.5  0.2109  5.0000  67.7192
