# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.7  0.2000  5.0000  65.1454
218.0  0.7  0.2000  5.1530  64.8515
218.0  0.7  0.2000  5.3106  65.9431
218.0  0.7  0.2000  5.4731  64.3966
218.0  0.7  0.2000  5.6406  64.6743
218.0  0.7  0.2000  5.8131  65.5674
218.0  0.7  0.2000  5.9910  64.4493
218.0  0.7  0.2000  6.1743  64.4595
218.0  0.7  0.2000  6.3632  64.4636
218.0  0.7  0.2000  6.5579  64.1209
218.0  0.7  0.2000  6.7585  64.3010
218.0  0.7  0.2000  6.9653  63.9662
218.0  0.7  0.2000  7.1784  64.2296
218.0  0.7  0.2000  7.3981  63.3878
218.0  0.7  0.2000  7.6244  64.1631
218.0  0.7  0.2000  7.8577  63.2377
218.0  0.7  0.2000  8.0981  63.9638
218.0  0.7  0.2000  8.3458  62.7772
218.0  0.7  0.2000  8.6012  62.0894
218.0  0.7  0.2000  8.8644  62.6972
218.0  0.7  0.2000  9.1356  63.0274
218.0  0.7  0.2000  9.4151  62.6334
218.0  0.7  0.2000  9.7031  63.1331
218.0  0.7  0.2000  10.0000  62.2852
218.0  0.7  0.2000  10.3060  62.3575
218.0  0.7  0.2000  10.6213  61.5078
218.0  0.7  0.2000  10.9462  62.0459
218.0  0.7  0.2000  11.2811  60.8346
218.0  0.7  0.2000  11.6263  61.3285
218.0  0.7  0.2000  11.9820  60.9202
218.0  0.7  0.2000  12.3486  61.2346
218.0  0.7  0.2000  12.7264  60.9642
218.0  0.7  0.2000  13.1158  61.3421
218.0  0.7  0.2000  13.5171  61.6132
218.0  0.7  0.2000  13.9306  60.3053
218.0  0.7  0.2000  14.3568  60.6248
218.0  0.7  0.2000  14.7961  60.8883
218.0  0.7  0.2000  15.2488  60.6527
218.0  0.7  0.2000  15.7153  59.6726
218.0  0.7  0.2000  16.1962  59.7826
218.0  0.7  0.2000  16.6917  60.1260
218.0  0.7  0.2000  17.2024  58.4321
218.0  0.7  0.2000  17.7287  58.6366
218.0  0.7  0.2000  18.2711  58.8413
218.0  0.7  0.2000  18.8301  59.0458
218.0  0.7  0.2000  19.4063  59.2494
218.0  0.7  0.2000  20.0000  59.4518
218.0  0.7  0.2000  20.6119  59.6527
218.0  0.7  0.2000  21.2425  58.3020
218.0  0.7  0.2000  21.8925  58.4914
218.0  0.7  0.2000  22.5623  58.6784
218.0  0.7  0.2000  23.2526  58.8629
218.0  0.7  0.2000  23.9640  59.0445
218.0  0.7  0.2000  24.6972  57.2169
218.0  0.7  0.2000  25.4528  57.3434
218.0  0.7  0.2000  26.2316  57.4680
218.0  0.7  0.2000  27.0341  57.5904
218.0  0.7  0.2000  27.8613  57.7106
218.0  0.7  0.2000  28.7137  56.6086
218.0  0.7  0.2000  29.5922  55.5934
218.0  0.7  0.2000  30.4976  55.6768
218.0  0.7  0.2000  31.4307  55.7584
218.0  0.7  0.2000  32.3923  55.8383
218.0  0.7  0.2000  33.3834  55.9162
218.0  0.7  0.2000  34.4048  55.9922
218.0  0.7  0.2000  35.4574  56.0663
218.0  0.7  0.2000  36.5422  56.1384
218.0  0.7  0.2000  37.6603  56.1883
218.0  0.7  0.2000  38.8125  56.1970
218.0  0.7  0.2000  40.0000  56.2053
218.0  0.7  0.2109  5.0000  64.9849
218.0  0.7  0.2109  5.1530  64.5684
218.0  0.7  0.2109  5.3106  63.6670
218.0  0.7  0.2109  5.4731  63.7196
218.0  0.7  0.2109  5.6406  63.3110
218.0  0.7  0.2109  5.8131  63.4144
218.0  0.7  0.2109  5.9910  62.9949
218.0  0.7  0.2109  6.1743  63.8171
218.0  0.7  0.2109  6.3632  62.6770
218.0  0.7  0.2109  6.5579  62.8815
218.0  0.7  0.2109  6.7585  63.2569
218.0  0.7  0.2109  6.9653  61.9155
218.0  0.7  0.2109  7.1784  62.7512
218.0  0.7  0.2109  7.3981  61.7926
218.0  0.7  0.2109  7.6244  61.8231
218.0  0.7  0.2109  7.8577  61.4193
218.0  0.7  0.2109  8.0981  61.0635
218.0  0.7  0.2109  8.3458  61.6011
218.0  0.7  0.2109  8.6012  61.9005
218.0  0.7  0.2109  8.8644  61.3721
218.0  0.7  0.2109  9.1356  62.1399
218.0  0.7  0.2109  9.4151  61.0132
218.0  0.7  0.2109  9.7031  61.7226
218.0  0.7  0.2109  10.0000  60.2631
218.0  0.7  0.2109  10.3060  59.4803
218.0  0.7  0.2109  10.6213  60.0070
218.0  0.7  0.2109  10.9462  60.3225
218.0  0.7  0.2109  11.2811  60.7091
218.0  0.7  0.2109  11.6263  60.0835
218.0  0.7  0.2109  11.9820  60.5472
218.0  0.7  0.2109  12.3486  60.1179
218.0  0.7  0.2109  12.7264  59.5022
218.0  0.7  0.2109  13.1158  59.0118
218.0  0.7  0.2109  13.5171  59.5037
218.0  0.7  0.2109  13.9306  58.1312
218.0  0.7  0.2109  14.3568  58.5761
218.0  0.7  0.2109  14.7961  57.5918
218.0  0.7  0.2109  15.2488  57.8739
218.0  0.7  0.2109  15.7153  58.1588
218.0  0.7  0.2109  16.1962  58.1005
218.0  0.7  0.2109  16.6917  58.4313
218.0  0.7  0.2109  17.2024  58.7614
218.0  0.7  0.2109  17.7287  57.1355
218.0  0.7  0.2109  18.2711  57.4076
218.0  0.7  0.2109  18.8301  57.6788
218.0  0.7  0.2109  19.4063  57.5930
218.0  0.7  0.2109  20.0000  57.5757
218.0  0.7  0.2109  20.6119  56.3181
218.0  0.7  0.2109  21.2425  56.5147
218.0  0.7  0.2109  21.8925  56.7100
218.0  0.7  0.2109  22.5623  54.8539
218.0  0.7  0.2109  23.2526  55.0141
218.0  0.7  0.2109  23.9640  55.1730
218.0  0.7  0.2109  24.6972  55.3301
218.0  0.7  0.2109  25.4528  55.4854
218.0  0.7  0.2109  26.2316  55.6386
218.0  0.7  0.2109  27.0341  55.7895
218.0  0.7  0.2109  27.8613  55.9380
218.0  0.7  0.2109  28.7137  56.0838
218.0  0.7  0.2109  29.5922  54.7633
218.0  0.7  0.2109  30.4976  54.8979
218.0  0.7  0.2109  31.4307  54.9633
218.0  0.7  0.2109  32.3923  55.0219
218.0  0.7  0.2109  33.3834  55.0797
218.0  0.7  0.2109  34.4048  55.1366
218.0  0.7  0.2109  35.4574  53.3536
218.0  0.7  0.2109  36.5422  53.4348
218.0  0.7  0.2109  37.6603  53.5141
218.0  0.7  0.2109  38.8125  53.5914
218.0  0.7  0.2109  40.0000  53.6668
218.0  0.7  0.2217  5.0000  62.9503
218.0  0.7  0.2217  5.1530  62.9595
218.0  0.7  0.2217  5.3106  64.0610
218.0  0.7  0.2217  5.4731  62.9480
218.0  0.7  0.2217  5.6406  62.4088
218.0  0.7  0.2217  5.8131  61.9030
218.0  0.7  0.2217  5.9910  63.0984
218.0  0.7  0.2217  6.1743  61.9581
218.0  0.7  0.2217  6.3632  61.7800
218.0  0.7  0.2217  6.5579  61.8902
218.0  0.7  0.2217  6.7585  61.5822
218.0  0.7  0.2217  6.9653  61.3430
218.0  0.7  0.2217  7.1784  61.4518
218.0  0.7  0.2217  7.3981  60.7779
218.0  0.7  0.2217  7.6244  60.2905
