# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.9  0.2000  5.0000  77.6068
218.0  0.9  0.2000  5.1794  78.3567
218.0  0.9  0.2000  5.3652  78.6535
218.0  0.9  0.2000  5.5576  77.5684
218.0  0.9  0.2000  5.7570  77.4269
218.0  0.9  0.2000  5.9635  75.9729
218.0  0.9  0.2000  6.1775  75.8377
218.0  0.9  0.2000  6.3991  74.5105
218.0  0.9  0.2000  6.6286  73.5563
218.0  0.9  0.2000  6.8664  73.9665
218.0  0.9  0.2000  7.1127  72.3070
218.0  0.9  0.2000  7.3679  71.3879
218.0  0.9  0.2000  7.6322  72.2559
218.0  0.9  0.2000  7.9060  71.2273
218.0  0.9  0.2000  8.1896  70.4200
218.0  0.9  0.2000  8.4834  69.5359
218.0  0.9  0.2000  8.7877  70.4295
218.0  0.9  0.2000  9.1030  69.5636
218.0  0.9  0.2000  9.4295  68.0189
218.0  0.9  0.2000  9.7678  66.5121
218.0  0.9  0.2000  10.1182  67.1334
218.0  0.9  0.2000  10.4811  66.3948
218.0  0.9  0.2000  10.8571  66.2320
218.0  0.9  0.2000  11.2466  65.1067
218.0  0.9  0.2000  11.6501  63.9600
218.0  0.9  0.2000  12.0680  63.2463
218.0  0.9  0.2000  12.5009  62.7767
218.0  0.9  0.2000  12.9494  62.8738
218.0  0.9  0.2000  13.4139  61.9654
218.0  0.9  0.2000  13.8951  62.0577
218.0  0.9  0.2000  14.3936  61.5339
218.0  0.9  0.2000  14.9099  60.2033
218.0  0.9  0.2000  15.4448  60.1728
218.0  0.9  0.2000  15.9988  58.8307
218.0  0.9  0.2000  16.5728  57.5434
218.0  0.9  0.2000  17.1673  57.4524
218.0  0.9  0.2000  17.7831  57.3614
218.0  0.9  0.2000  18.4211  57.2705
218.0  0.9  0.2000  19.0819  56.8288
218.0  0.9  0.2000  19.7664  56.7458
218.0  0.9  0.2000  20.4755  56.6624
218.0  0.9  0.2000  21.2100  56.5789
218.0  0.9  0.2000  21.9709  56.4953
218.0  0.9  0.2000  22.7591  54.4452
218.0  0.9  0.2000  23.5755  54.3097
218.0  0.9  0.2000  24.4212  54.1770
218.0  0.9  0.2000  25.2973  54.0471
218.0  0.9  0.2000  26.2048  53.9201
218.0  0.9  0.2000  27.1448  53.7961
218.0  0.9  0.2000  28.1186  52.5414
218.0  0.9  0.2000  29.1273  50.7676
218.0  0.9  0.2000  30.1722  50.6230
218.0  0.9  0.2000  31.2546  50.4828
218.0  0.9  0.2000  32.3758  50.3469
218.0  0.9  0.2000  33.5372  50.2153
218.0  0.9  0.2000  34.7403  50.0878
218.0  0.9  0.2000  35.9865  49.9644
218.0  0.9  0.2000  37.2775  49.8451
218.0  0.9  0.2000  38.6148  49.7298
218.0  0.9  0.2000  40.0000  49.6184
218.0  0.9  0.2119  5.0000  77.0904
218.0  0.9  0.2119  5.1794  77.9822
218.0  0.9  0.2119  5.3652  77.9721
218.0  0.9  0.2119  5.5576  76.9243
218.0  0.9  0.2119  5.7570  76.3054
218.0  0.9  0.2119  5.9635  74.9907
218.0  0.9  0.2119  6.1775  76.2012
218.0  0.9  0.2119  6.3991  73.7809
218.0  0.9  0.2119  6.6286  73.8595
218.0  0.9  0.2119  6.8664  72.3692
218.0  0.9  0.2119  7.1127  70.9786
218.0  0.9  0.2119  7.3679  70.9196
218.0  0.9  0.2119  7.6322  70.2817
218.0  0.9  0.2119  7.9060  69.0753
218.0  0.9  0.2119  8.1896  68.5902
218.0  0.9  0.2119  8.4834  67.6064
218.0  0.9  0.2119  8.7877  68.7420
218.0  0.9  0.2119  9.1030  65.3754
218.0  0.9  0.2119  9.4295  65.9975
218.0  0.9  0.2119  9.7678  65.1184
218.0  0.9  0.2119  10.1182  65.7168
218.0  0.9  0.2119  10.4811  64.1054
218.0  0.9  0.2119  10.8571  62.4101
218.0  0.9  0.2119  11.2466  62.6120
218.0  0.9  0.2119  11.6501  62.8802
218.0  0.9  0.2119  12.0680  61.6119
218.0  0.9  0.2119  12.5009  61.8678
218.0  0.9  0.2119  12.9494  60.8587
218.0  0.9  0.2119  13.4139  59.4903
218.0  0.9  0.2119  13.8951  58.6942
218.0  0.9  0.2119  14.3936  57.8394
218.0  0.9  0.2119  14.9099  57.8711
218.0  0.9  0.2119  15.4448  57.9009
