# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.0  0.2000  5.0000  80.5030
218.0  1.0  0.2000  5.1794  81.0543
218.0  1.0  0.2000  5.3652  79.3011
218.0  1.0  0.2000  5.5576  78.8596
218.0  1.0  0.2000  5.7570  78.9118
218.0  1.0  0.2000  5.9635  77.8744
218.0  1.0  0.2000  6.1775  76.3058
218.0  1.0  0.2000  6.3991  76.7794
218.0  1.0  0.2000  6.6286  75.0410
218.0  1.0  0.2000  6.8664  74.1995
218.0  1.0  0.2000  7.1127  73.3166
218.0  1.0  0.2000  7.3679  73.3680
218.0  1.0  0.2000  7.6322  72.7997
218.0  1.0  0.2000  7.9060  71.8625
218.0  1.0  0.2000  8.1896  71.0350
218.0  1.0  0.2000  8.4834  70.2577
218.0  1.0  0.2000  8.7877  70.3763
218.0  1.0  0.2000  9.1030  69.8513
218.0  1.0  0.2000  9.4295  68.3565
218.0  1.0  0.2000  9.7678  68.7766
218.0  1.0  0.2000  10.1182  67.5681
218.0  1.0  0.2000  10.4811  66.5151
218.0  1.0  0.2000  10.8571  65.3890
218.0  1.0  0.2000  11.2466  64.7106
218.0  1.0  0.2000  11.6501  64.1655
218.0  1.0  0.2000  12.0680  64.2653
218.0  1.0  0.2000  12.5009  63.3610
218.0  1.0  0.2000  12.9494  62.8305
218.0  1.0  0.2000  13.4139  62.9803
218.0  1.0  0.2000  13.8951  61.4680
218.0  1.0  0.2000  14.3936  60.1152
218.0  1.0  0.2000  14.9099  60.1455
218.0  1.0  0.2000  15.4448  58.6563
218.0  1.0  0.2000  15.9988  58.5329
218.0  1.0  0.2000  16.5728  58.4084
218.0  1.0  0.2000  17.1673  57.9362
218.0  1.0  0.2000  17.7831  57.8181
218.0  1.0  0.2000  18.4211  57.6990
218.0  1.0  0.2000  19.0819  57.5792
218.0  1.0  0.2000  19.7664  55.4869
218.0  1.0  0.2000  20.4755  55.3091
218.0  1.0  0.2000  21.2100  55.1346
218.0  1.0  0.2000  21.9709  54.9635
218.0  1.0  0.2000  22.7591  54.7960
218.0  1.0  0.2000  23.5755  53.5055
218.0  1.0  0.2000  24.4212  51.6859
218.0  1.0  0.2000  25.2973  51.4969
218.0  1.0  0.2000  26.2048  51.3135
218.0  1.0  0.2000  27.1448  51.1358
218.0  1.0  0.2000  28.1186  50.9637
218.0  1.0  0.2000  29.1273  50.7972
218.0  1.0  0.2000  30.1722  50.6362
218.0  1.0  0.2000  31.2546  50.4808
218.0  1.0  0.2000  32.3758  50.3307
218.0  1.0  0.2000  33.5372  50.1860
218.0  1.0  0.2000  34.7403  50.0466
218.0  1.0  0.2000  35.9865  49.9123
218.0  1.0  0.2000  37.2775  49.7831
218.0  1.0  0.2000  38.6148  49.6588
218.0  1.0  0.2000  40.0000  49.5394
