# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.2  0.2000  5.0000  82.5211
218.0  1.2  0.2000  5.1794  80.9633
218.0  1.2  0.2000  5.3652  82.1240
218.0  1.2  0.2000  5.5576  81.5240
218.0  1.2  0.2000  5.7570  81.1252
218.0  1.2  0.2000  5.9635  80.2896
218.0  1.2  0.2000  6.1775  79.7337
218.0  1.2  0.2000  6.3991  77.5639
218.0  1.2  0.2000  6.6286  78.5577
218.0  1.2  0.2000  6.8664  77.3181
218.0  1.2  0.2000  7.1127  76.3317
218.0  1.2  0.2000  7.3679  76.0128
218.0  1.2  0.2000  7.6322  73.3218
218.0  1.2  0.2000  7.9060  74.4776
218.0  1.2  0.2000  8.1896  73.9749
218.0  1.2  0.2000  8.4834  72.7858
218.0  1.2  0.2000  8.7877  71.2017
218.0  1.2  0.2000  9.1030  70.9369
218.0  1.2  0.2000  9.4295  70.6589
218.0  1.2  0.2000  9.7678  68.9730
218.0  1.2  0.2000  10.1182  67.6040
218.0  1.2  0.2000  10.4811  66.9518
218.0  1.2  0.2000  10.8571  67.0637
218.0  1.2  0.2000  11.2466  66.1652
218.0  1.2  0.2000  11.6501  65.7289
218.0  1.2  0.2000  12.0680  64.1159
218.0  1.2  0.2000  12.5009  62.7821
218.0  1.2  0.2000  12.9494  61.2694
218.0  1.2  0.2000  13.4139  61.0792
218.0  1.2  0.2000  13.8951  60.8827
218.0  1.2  0.2000  14.3936  60.3339
218.0  1.2  0.2000  14.9099  60.1363
218.0  1.2  0.2000  15.4448  59.9347
218.0  1.2  0.2000  15.9988  59.7300
218.0  1.2  0.2000  16.5728  57.4756
218.0  1.2  0.2000  17.1673  57.2032
218.0  1.2  0.2000  17.7831  56.9347
218.0  1.2  0.2000  18.4211  56.6707
218.0  1.2  0.2000  19.0819  55.2351
218.0  1.2  0.2000  19.7664  53.3208
218.0  1.2  0.2000  20.4755  53.0367
218.0  1.2  0.2000  21.2100  52.7612
218.0  1.2  0.2000  21.9709  52.4945
218.0  1.2  0.2000  22.7591  52.2366
218.0  1.2  0.2000  23.5755  51.9878
218.0  1.2  0.2000  24.4212  51.7480
218.0  1.2  0.2000  25.2973  51.5172
218.0  1.2  0.2000  26.2048  51.2954
218.0  1.2  0.2000  27.1448  51.0825
218.0  1.2  0.2000  28.1186  50.8784
218.0  1.2  0.2000  29.1273  50.6829
218.0  1.2  0.2000  30.1722  50.4958
218.0  1.2  0.2000  31.2546  50.3170
218.0  1.2  0.2000  32.3758  50.1462
218.0  1.2  0.2000  33.5372  49.9833
218.0  1.2  0.2000  34.7403  49.8279
218.0  1.2  0.2000  35.9865  49.6799
218.0  1.2  0.2000  37.2775  49.5390
218.0  1.2  0.2000  38.6148  49.4048
218.0  1.2  0.2000  40.0000  48.4295
218.0  1.2  0.2119  5.0000  81.0854
218.0  1.2  0.2119  5.1794  81.9719
218.0  1.2  0.2119  5.3652  82.4182
218.0  1.2  0.2119  5.5576  81.6794
218.0  1.2  0.2119  5.7570  80.6015
218.0  1.2  0.2119  5.9635  80.8810
218.0  1.2  0.2119  6.1775  79.5694
218.0  1.2  0.2119  6.3991  78.1207
218.0  1.2  0.2119  6.6286  76.5741
218.0  1.2  0.2119  6.8664  75.2958
218.0  1.2  0.2119  7.1127  76.3558
218.0  1.2  0.2119  7.3679  73.9234
218.0  1.2  0.2119  7.6322  73.1996
218.0  1.2  0.2119  7.9060  73.0285
218.0  1.2  0.2119  8.1896  72.0064
218.0  1.2  0.2119  8.4834  70.7824
218.0  1.2  0.2119  8.7877  69.9616
218.0  1.2  0.2119  9.1030  68.7330
218.0  1.2  0.2119  9.4295  67.1614
218.0  1.2  0.2119  9.7678  67.1154
218.0  1.2  0.2119  10.1182  67.1708
218.0  1.2  0.2119  10.4811  66.2806
218.0  1.2  0.2119  10.8571  65.4701
218.0  1.2  0.2119  11.2466  62.9745
218.0  1.2  0.2119  11.6501  61.9111
218.0  1.2  0.2119  12.0680  61.8996
218.0  1.2  0.2119  12.5009  61.8743
218.0  1.2  0.2119  12.9494  60.9473
218.0  1.2  0.2119  13.4139  60.5772
218.0  1.2  0.2119  13.8951  58.5475
218.0  1.2  0.2119  14.3936  58.3727
218.0  1.2  0.2119  14.9099  57.2481
218.0  1.2  0.2119  15.4448  55.3153
218.0  1.2  0.2119  15.9988  55.0818
218.0  1.2  0.2119  16.5728  54.8503
218.0  1.2  0.2119  17.1673  54.6217
218.0  1.2  0.2119  17.7831  54.1665
218.0  1.2  0.2119  18.4211  53.9526
218.0  1.2  0.2119  19.0819  53.7429
218.0  1.2  0.2119  19.7664  53.5380
218.0  1.2  0.2119  20.4755  53.2182
218.0  1.2  0.2119  21.2100  50.9852
218.0  1.2  0.2119  21.9709  50.7519
218.0  1.2  0.2119  22.7591  50.5272
218.0  1.2  0.2119  23.5755  50.3113
218.0  1.2  0.2119  24.4212  50.1041
218.0  1.2  0.2119  25.2973  49.9056
218.0  1.2  0.2119  26.2048  48.4663
218.0  1.2  0.2119  27.1448  46.6633
218.0  1.2  0.2119  28.1186  46.4669
218.0  1.2  0.2119  29.1273  46.2799
218.0  1.2  0.2119  30.1722  46.1021
218.0  1.2  0.2119  31.2546  45.9331
218.0  1.2  0.2119  32.3758  45.7726
218.0  1.2  0.2119  33.5372  45.6204
218.0  1.2  0.2119  34.7403  45.4762
218.0  1.2  0.2119  35.9865  45.3395
218.0  1.2  0.2119  37.2775  45.2103
218.0  1.2  0.2119  38.6148  45.0880
218.0  1.2  0.2119  40.0000  44.9724
218.0  1.2  0.2237  5.0000  80.6635
218.0  1.2  0.2237  5.1794  80.6230
218.0  1.2  0.2237  5.3652  80.9067
218.0  1.2  0.2237  5.5576  81.0489
218.0  1.2  0.2237  5.7570  80.2612
218.0  1.2  0.2237  5.9635  80.4988
218.0  1.2  0.2237  6.1775  78.1738
218.0  1.2  0.2237  6.3991  78.6789
218.0  1.2  0.2237  6.6286  77.2296
218.0  1.2  0.2237  6.8664  75.3599
218.0  1.2  0.2237  7.1127  74.0479
218.0  1.2  0.2237  7.3679  73.4519
218.0  1.2  0.2237  7.6322  72.2939
218.0  1.2  0.2237  7.9060  71.2509
218.0  1.2  0.2237  8.1896  70.0023
218.0  1.2  0.2237  8.4834  69.7267
218.0  1.2  0.2237  8.7877  68.4238
218.0  1.2  0.2237  9.1030  66.8547
218.0  1.2  0.2237  9.4295  67.7232
218.0  1.2  0.2237  9.7678  66.3701
218.0  1.2  0.2237  10.1182  65.1627
218.0  1.2  0.2237  10.4811  63.2738
218.0  1.2  0.2237  10.8571  62.6360
218.0  1.2  0.2237  11.2466  62.8440
218.0  1.2  0.2237  11.6501  61.5827
218.0  1.2  0.2237  12.0680  60.7829
218.0  1.2  0.2237  12.5009  59.1128
218.0  1.2  0.2237  12.9494  58.2252
218.0  1.2  0.2237  13.4139  56.6687
218.0  1.2  0.2237  13.8951  56.5691
218.0  1.2  0.2237  14.3936  56.4640
218.0  1.2  0.2237  14.9099  55.5657
218.0  1.2  0.2237  15.4448  55.2763
218.0  1.2  0.2237  15.9988  55.2140
218.0  1.2  0.2237  16.5728  52.7964
218.0  1.2  0.2237  17.1673  52.5996
218.0  1.2  0.2237  17.7831  51.6641
218.0  1.2  0.2237  18.4211  51.5359
218.0  1.2  0.2237  19.0819  49.2916
218.0  1.2  0.2237  19.7664  49.0768
218.0  1.2  0.2237  20.4755  48.8697
218.0  1.2  0.2237  21.2100  48.6705
218.0  1.2  0.2237  21.9709  48.4794
218.0  1.2  0.2237  22.7591  48.1784
218.0  1.2  0.2237  23.5755  48.0090
218.0  1.2  0.2237  24.4212  47.8475
218.0  1.2  0.2237  25.2973  47.6938
218.0  1.2  0.2237  26.2048  47.5478
218.0  1.2  0.2237  27.1448  47.2139
218.0  1.2  0.2237  28.1186  47.0546
218.0  1.2  0.2237  29.1273  44.9161
218.0  1.2  0.2237  30.1722  44.7703
218.0  1.2  0.2237  31.2546  44.6328
