# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.1  0.2000  5.0000  80.0053
218.0  1.1  0.2000  5.1794  80.7525
218.0  1.1  0.2000  5.3652  81.7187
218.0  1.1  0.2000  5.5576  80.9840
218.0  1.1  0.2000  5.7570  80.1285
218.0  1.1  0.2000  5.9635  78.8911
218.0  1.1  0.2000  6.1775  78.0740
218.0  1.1  0.2000  6.3991  76.7195
218.0  1.1  0.2000  6.6286  76.4355
218.0  1.1  0.2000  6.8664  75.4820
218.0  1.1  0.2000  7.1127  74.5433
218.0  1.1  0.2000  7.3679  75.6706
218.0  1.1  0.2000  7.6322  72.9377
218.0  1.1  0.2000  7.9060  72.4415
218.0  1.1  0.2000  8.1896  73.4195
218.0  1.1  0.2000  8.4834  71.8641
218.0  1.1  0.2000  8.7877  71.4539
218.0  1.1  0.2000  9.1030  69.8398
218.0  1.1  0.2000  9.4295  69.3960
218.0  1.1  0.2000  9.7678  69.1662
218.0  1.1  0.2000  10.1182  68.2451
218.0  1.1  0.2000  10.4811  66.0246
218.0  1.1  0.2000  10.8571  65.5184
218.0  1.1  0.2000  11.2466  65.6272
218.0  1.1  0.2000  11.6501  64.7297
218.0  1.1  0.2000  12.0680  64.2253
218.0  1.1  0.2000  12.5009  64.3732
218.0  1.1  0.2000  12.9494  62.7672
218.0  1.1  0.2000  13.4139  61.4419
218.0  1.1  0.2000  13.8951  59.9832
218.0  1.1  0.2000  14.3936  59.8271
218.0  1.1  0.2000  14.9099  59.6677
218.0  1.1  0.2000  15.4448  59.5053
218.0  1.1  0.2000  15.9988  59.0008
218.0  1.1  0.2000  16.5728  58.8426
218.0  1.1  0.2000  17.1673  58.6826
218.0  1.1  0.2000  17.7831  56.5277
218.0  1.1  0.2000  18.4211  56.3038
218.0  1.1  0.2000  19.0819  56.0835
218.0  1.1  0.2000  19.7664  55.8671
218.0  1.1  0.2000  20.4755  55.6550
218.0  1.1  0.2000  21.2100  54.2842
218.0  1.1  0.2000  21.9709  52.4223
218.0  1.1  0.2000  22.7591  52.1902
218.0  1.1  0.2000  23.5755  51.9650
218.0  1.1  0.2000  24.4212  51.7471
218.0  1.1  0.2000  25.2973  51.5363
218.0  1.1  0.2000  26.2048  51.3327
218.0  1.1  0.2000  27.1448  51.1363
218.0  1.1  0.2000  28.1186  50.9469
218.0  1.1  0.2000  29.1273  50.7646
218.0  1.1  0.2000  30.1722  50.5893
218.0  1.1  0.2000  31.2546  50.4208
218.0  1.1  0.2000  32.3758  50.2590
218.0  1.1  0.2000  33.5372  50.1037
218.0  1.1  0.2000  34.7403  49.9550
218.0  1.1  0.2000  35.9865  49.8124
218.0  1.1  0.2000  37.2775  49.6760
218.0  1.1  0.2000  38.6148  49.5455
218.0  1.1  0.2000  40.0000  49.4207
218.0  1.1  0.2119  5.0000  79.3773
218.0  1.1  0.2119  5.1794  79.8188
218.0  1.1  0.2119  5.3652  79.7771
218.0  1.1  0.2119  5.5576  79.6395
218.0  1.1  0.2119  5.7570  79.4318
218.0  1.1  0.2119  5.9635  79.0846
218.0  1.1  0.2119  6.1775  77.8650
