# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.7  0.2000  5.0000  75.4432
218.0  0.7  0.2000  5.1794  74.8896
218.0  0.7  0.2000  5.3652  74.3248
218.0  0.7  0.2000  5.5576  74.0110
218.0  0.7  0.2000  5.7570  73.2953
218.0  0.7  0.2000  5.9635  72.7590
218.0  0.7  0.2000  6.1775  71.8901
218.0  0.7  0.2000  6.3991  72.0078
218.0  0.7  0.2000  6.6286  71.0987
218.0  0.7  0.2000  6.8664  69.7424
218.0  0.7  0.2000  7.1127  69.9571
218.0  0.7  0.2000  7.3679  69.8307
218.0  0.7  0.2000  7.6322  69.2131
218.0  0.7  0.2000  7.9060  68.3233
218.0  0.7  0.2000  8.1896  68.5817
218.0  0.7  0.2000  8.4834  67.6422
218.0  0.7  0.2000  8.7877  68.2725
218.0  0.7  0.2000  9.1030  67.4090
218.0  0.7  0.2000  9.4295  66.1739
218.0  0.7  0.2000  9.7678  67.0816
218.0  0.7  0.2000  10.1182  65.8071
218.0  0.7  0.2000  10.4811  64.3179
218.0  0.7  0.2000  10.8571  64.9214
218.0  0.7  0.2000  11.2466  63.3163
218.0  0.7  0.2000  11.6501  63.8398
218.0  0.7  0.2000  12.0680  64.3624
218.0  0.7  0.2000  12.5009  63.4051
218.0  0.7  0.2000  12.9494  63.3293
218.0  0.7  0.2000  13.4139  61.9991
218.0  0.7  0.2000  13.8951  61.9736
218.0  0.7  0.2000  14.3936  60.1200
218.0  0.7  0.2000  14.9099  60.3923
218.0  0.7  0.2000  15.4448  60.0661
218.0  0.7  0.2000  15.9988  60.1581
218.0  0.7  0.2000  16.5728  60.2510
218.0  0.7  0.2000  17.1673  59.3306
218.0  0.7  0.2000  17.7831  59.4271
218.0  0.7  0.2000  18.4211  58.8266
218.0  0.7  0.2000  19.0819  57.8708
218.0  0.7  0.2000  19.7664  57.7145
218.0  0.7  0.2000  20.4755  56.2671
218.0  0.7  0.2000  21.2100  56.3432
218.0  0.7  0.2000  21.9709  56.4165
218.0  0.7  0.2000  22.7591  55.1933
218.0  0.7  0.2000  23.5755  55.1562
218.0  0.7  0.2000  24.4212  55.1202
218.0  0.7  0.2000  25.2973  55.0849
218.0  0.7  0.2000  26.2048  55.0504
218.0  0.7  0.2000  27.1448  54.6630
218.0  0.7  0.2000  28.1186  54.6364
218.0  0.7  0.2000  29.1273  54.6099
218.0  0.7  0.2000  30.1722  54.5836
218.0  0.7  0.2000  31.2546  54.5575
218.0  0.7  0.2000  32.3758  52.6428
218.0  0.7  0.2000  33.5372  52.5734
218.0  0.7  0.2000  34.7403  52.5056
218.0  0.7  0.2000  35.9865  52.4395
218.0  0.7  0.2000  37.2775  52.3751
218.0  0.7  0.2000  38.6148  52.3122
218.0  0.7  0.2000  40.0000  52.2508
218.0  0.7  0.2119  5.0000  74.4971
218.0  0.7  0.2119  5.1794  73.5378
218.0  0.7  0.2119  5.3652  74.3800
218.0  0.7  0.2119  5.5576  73.2736
218.0  0.7  0.2119  5.7570  72.1577
218.0  0.7  0.2119  5.9635  71.9792
218.0  0.7  0.2119  6.1775  70.7686
218.0  0.7  0.2119  6.3991  70.7748
218.0  0.7  0.2119  6.6286  70.4270
218.0  0.7  0.2119  6.8664  69.8224
218.0  0.7  0.2119  7.1127  69.8786
218.0  0.7  0.2119  7.3679  69.5256
218.0  0.7  0.2119  7.6322  67.7945
218.0  0.7  0.2119  7.9060  67.4891
218.0  0.7  0.2119  8.1896  66.5883
218.0  0.7  0.2119  8.4834  66.6388
218.0  0.7  0.2119  8.7877  64.9699
218.0  0.7  0.2119  9.1030  65.3566
218.0  0.7  0.2119  9.4295  64.1672
