# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.3  0.2000  5.0000  69.4357
218.0  0.3  0.2000  5.1794  67.1489
218.0  0.3  0.2000  5.3652  66.9213
218.0  0.3  0.2000  5.5576  68.5054
218.0  0.3  0.2000  5.7570  67.0455
218.0  0.3  0.2000  5.9635  66.5407
218.0  0.3  0.2000  6.1775  66.5417
218.0  0.3  0.2000  6.3991  66.0907
218.0  0.3  0.2000  6.6286  66.3827
218.0  0.3  0.2000  6.8664  64.7624
218.0  0.3  0.2000  7.1127  64.5551
218.0  0.3  0.2000  7.3679  65.7401
218.0  0.3  0.2000  7.6322  64.1946
218.0  0.3  0.2000  7.9060  64.4879
218.0  0.3  0.2000  8.1896  65.4455
218.0  0.3  0.2000  8.4834  64.2806
218.0  0.3  0.2000  8.7877  63.5164
218.0  0.3  0.2000  9.1030  63.1566
218.0  0.3  0.2000  9.4295  63.3683
218.0  0.3  0.2000  9.7678  63.0331
218.0  0.3  0.2000  10.1182  63.3018
218.0  0.3  0.2000  10.4811  62.4557
218.0  0.3  0.2000  10.8571  63.2299
218.0  0.3  0.2000  11.2466  62.2857
218.0  0.3  0.2000  11.6501  63.0069
218.0  0.3  0.2000  12.0680  61.7740
218.0  0.3  0.2000  12.5009  61.0647
218.0  0.3  0.2000  12.9494  61.6627
218.0  0.3  0.2000  13.4139  62.0256
218.0  0.3  0.2000  13.8951  61.5196
218.0  0.3  0.2000  14.3936  61.9889
218.0  0.3  0.2000  14.9099  61.2127
218.0  0.3  0.2000  15.4448  61.1437
218.0  0.3  0.2000  15.9988  60.3660
218.0  0.3  0.2000  16.5728  60.8990
218.0  0.3  0.2000  17.1673  59.6514
218.0  0.3  0.2000  17.7831  60.1427
218.0  0.3  0.2000  18.4211  59.5673
218.0  0.3  0.2000  19.0819  59.8781
218.0  0.3  0.2000  19.7664  59.6736
218.0  0.3  0.2000  20.4755  60.0547
218.0  0.3  0.2000  21.2100  60.4414
218.0  0.3  0.2000  21.9709  58.9726
218.0  0.3  0.2000  22.7591  59.2835
218.0  0.3  0.2000  23.5755  59.0625
218.0  0.3  0.2000  24.4212  58.0406
218.0  0.3  0.2000  25.2973  58.2331
