# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.4  0.2000  5.0000  84.3596
218.0  1.4  0.2000  5.1794  85.3558
218.0  1.4  0.2000  5.3652  85.2862
218.0  1.4  0.2000  5.5576  84.7163
218.0  1.4  0.2000  5.7570  82.9487
218.0  1.4  0.2000  5.9635  83.3093
218.0  1.4  0.2000  6.1775  82.5281
218.0  1.4  0.2000  6.3991  81.1659
218.0  1.4  0.2000  6.6286  79.7491
218.0  1.4  0.2000  6.8664  78.3745
218.0  1.4  0.2000  7.1127  78.2085
218.0  1.4  0.2000  7.3679  77.8062
218.0  1.4  0.2000  7.6322  77.2077
218.0  1.4  0.2000  7.9060  76.8459
218.0  1.4  0.2000  8.1896  73.6551
218.0  1.4  0.2000  8.4834  74.1859
218.0  1.4  0.2000  8.7877  73.2667
218.0  1.4  0.2000  9.1030  72.6471
218.0  1.4  0.2000  9.4295  70.4683
218.0  1.4  0.2000  9.7678  69.7209
218.0  1.4  0.2000  10.1182  69.8585
218.0  1.4  0.2000  10.4811  68.4693
218.0  1.4  0.2000  10.8571  66.8388
218.0  1.4  0.2000  11.2466  65.5058
218.0  1.4  0.2000  11.6501  65.4635
218.0  1.4  0.2000  12.0680  63.6204
218.0  1.4  0.2000  12.5009  63.3480
218.0  1.4  0.2000  12.9494  62.7173
218.0  1.4  0.2000  13.4139  62.4290
218.0  1.4  0.2000  13.8951  62.1254
218.0  1.4  0.2000  14.3936  59.7438
218.0  1.4  0.2000  14.9099  59.3607
218.0  1.4  0.2000  15.4448  58.9803
218.0  1.4  0.2000  15.9988  58.6040
218.0  1.4  0.2000  16.5728  55.3793
218.0  1.4  0.2000  17.1673  54.9735
218.0  1.4  0.2000  17.7831  54.5787
218.0  1.4  0.2000  18.4211  54.1958
218.0  1.4  0.2000  19.0819  53.8255
218.0  1.4  0.2000  19.7664  53.4681
218.0  1.4  0.2000  20.4755  53.1240
218.0  1.4  0.2000  21.2100  52.7935
218.0  1.4  0.2000  21.9709  52.4767
218.0  1.4  0.2000  22.7591  52.1735
218.0  1.4  0.2000  23.5755  51.8839
218.0  1.4  0.2000  24.4212  51.6078
218.0  1.4  0.2000  25.2973  51.3449
218.0  1.4  0.2000  26.2048  51.0949
218.0  1.4  0.2000  27.1448  50.8574
218.0  1.4  0.2000  28.1186  50.6322
218.0  1.4  0.2000  29.1273  50.4189
218.0  1.4  0.2000  30.1722  50.2169
218.0  1.4  0.2000  31.2546  49.1231
218.0  1.4  0.2000  32.3758  48.9011
218.0  1.4  0.2000  33.5372  48.6915
218.0  1.4  0.2000  34.7403  48.4937
218.0  1.4  0.2000  35.9865  48.3071
218.0  1.4  0.2000  37.2775  48.1311
218.0  1.4  0.2000  38.6148  47.9652
218.0  1.4  0.2000  40.0000  47.8088
218.0  1.4  0.2119  5.0000  83.4335
218.0  1.4  0.2119  5.1794  83.5571
218.0  1.4  0.2119  5.3652  83.0535
218.0  1.4  0.2119  5.5576  84.7111
218.0  1.4  0.2119  5.7570  84.1073
218.0  1.4  0.2119  5.9635  83.7464
218.0  1.4  0.2119  6.1775  82.5290
218.0  1.4  0.2119  6.3991  79.5012
218.0  1.4  0.2119  6.6286  79.1377
218.0  1.4  0.2119  6.8664  78.7662
218.0  1.4  0.2119  7.1127  77.8057
218.0  1.4  0.2119  7.3679  76.6445
218.0  1.4  0.2119  7.6322  75.9656
218.0  1.4  0.2119  7.9060  73.1517
218.0  1.4  0.2119  8.1896  74.0621
218.0  1.4  0.2119  8.4834  73.2321
218.0  1.4  0.2119  8.7877  71.6222
218.0  1.4  0.2119  9.1030  69.8882
218.0  1.4  0.2119  9.4295  70.1868
218.0  1.4  0.2119  9.7678  68.0972
218.0  1.4  0.2119  10.1182  67.0918
218.0  1.4  0.2119  10.4811  65.9866
218.0  1.4  0.2119  10.8571  64.6724
218.0  1.4  0.2119  11.2466  64.6248
218.0  1.4  0.2119  11.6501  63.6578
218.0  1.4  0.2119  12.0680  63.2842
218.0  1.4  0.2119  12.5009  61.0608
218.0  1.4  0.2119  12.9494  59.8501
218.0  1.4  0.2119  13.4139  59.6702
218.0  1.4  0.2119  13.8951  57.4823
218.0  1.4  0.2119  14.3936  57.1451
218.0  1.4  0.2119  14.9099  56.8083
218.0  1.4  0.2119  15.4448  56.2408
218.0  1.4  0.2119  15.9988  55.9176
218.0  1.4  0.2119  16.5728  55.5992
218.0  1.4  0.2119  17.1673  55.1518
218.0  1.4  0.2119  17.7831  52.7969
218.0  1.4  0.2119  18.4211  52.4492
218.0  1.4  0.2119  19.0819  52.1140
218.0  1.4  0.2119  19.7664  51.7917
218.0  1.4  0.2119  20.4755  51.4825
218.0  1.4  0.2119  21.2100  49.9193
218.0  1.4  0.2119  21.9709  48.0123
218.0  1.4  0.2119  22.7591  47.7170
218.0  1.4  0.2119  23.5755  47.4366
218.0  1.4  0.2119  24.4212  47.1707
218.0  1.4  0.2119  25.2973  46.9190
218.0  1.4  0.2119  26.2048  46.6810
218.0  1.4  0.2119  27.1448  46.4563
218.0  1.4  0.2119  28.1186  46.2443
218.0  1.4  0.2119  29.1273  46.0447
218.0  1.4  0.2119  30.1722  45.8568
218.0  1.4  0.2119  31.2546  45.6802
218.0  1.4  0.2119  32.3758  45.5143
218.0  1.4  0.2119  33.5372  45.3586
218.0  1.4  0.2119  34.7403  45.2125
218.0  1.4  0.2119  35.9865  45.0756
218.0  1.4  0.2119  37.2775  44.9474
218.0  1.4  0.2119  38.6148  44.8273
218.0  1.4  0.2119  40.0000  44.7149
218.0  1.4  0.2237  5.0000  83.5878
218.0  1.4  0.2237  5.1794  83.9306
218.0  1.4  0.2237  5.3652  83.5022
218.0  1.4  0.2237  5.5576  83.3158
218.0  1.4  0.2237  5.7570  83.9691
218.0  1.4  0.2237  5.9635  82.4083
218.0  1.4  0.2237  6.1775  81.6959
218.0  1.4  0.2237  6.3991  79.7380
218.0  1.4  0.2237  6.6286  78.5871
218.0  1.4  0.2237  6.8664  78.7732
218.0  1.4  0.2237  7.1127  75.6766
