# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.2  0.0800  48.0154  1063.4702
7.5  0.2  0.0800  51.0425  1323.6398
7.5  0.2  0.0800  54.2605  1622.7976
7.5  0.2  0.0800  57.6813  1963.9033
7.5  0.2  0.0800  61.3179  2350.0152
7.5  0.2  0.0800  65.1836  2784.2892
7.5  0.2  0.0800  69.2931  3269.9770
7.5  0.2  0.0800  73.6617  3810.4246
7.5  0.2  0.0800  78.3057  4409.0701
7.5  0.2  0.0800  83.2425  5069.4417
7.5  0.2  0.0800  88.4905  5795.1560
7.5  0.2  0.0800  94.0694  6589.9152
7.5  0.2  0.0800  100.0000  7457.5049
7.5  0.2  0.1200  5.0000  73.7738
7.5  0.2  0.1200  5.3152  71.2382
7.5  0.2  0.1200  5.6503  68.8347
7.5  0.2  0.1200  6.0065  64.9727
7.5  0.2  0.1200  6.3852  61.2798
7.5  0.2  0.1200  6.7878  57.9601
7.5  0.2  0.1200  7.2157  54.5220
7.5  0.2  0.1200  7.6706  50.1689
7.5  0.2  0.1200  8.1542  46.1144
7.5  0.2  0.1200  8.6683  42.2601
7.5  0.2  0.1200  9.2148  38.2999
7.5  0.2  0.1200  9.7958  33.9647
7.5  0.2  0.1200  10.4133  29.8809
7.5  0.2  0.1200  11.0698  26.1395
7.5  0.2  0.1200  11.7677  22.5286
7.5  0.2  0.1200  12.5096  19.4093
7.5  0.2  0.1200  13.2983  15.9299
7.5  0.2  0.1200  14.1367  12.4470
7.5  0.2  0.1200  15.0279  10.1224
7.5  0.2  0.1200  15.9754  8.7913
7.5  0.2  0.1200  16.9825  9.0719
7.5  0.2  0.1200  18.0532  12.1452
7.5  0.2  0.1200  19.1914  18.9113
7.5  0.2  0.1200  20.4013  30.3572
7.5  0.2  0.1200  21.6875  54.5805
7.5  0.2  0.1200  23.0548  97.5348
7.5  0.2  0.1200  24.5083  161.6391
7.5  0.2  0.1200  26.0534  249.4579
7.5  0.2  0.1200  27.6959  363.7017
7.5  0.2  0.1200  29.4420  507.2273
7.5  0.2  0.1200  31.2982  683.0380
7.5  0.2  0.1200  33.2714  894.2844
7.5  0.2  0.1200  35.3690  1144.2636
7.5  0.2  0.1200  37.5988  1436.4195
7.5  0.2  0.1200  39.9692  1774.3429
7.5  0.2  0.1200  42.4891  2161.7705
7.5  0.2  0.1200  45.1678  2602.5849
7.5  0.2  0.1200  48.0154  3100.8138
7.5  0.2  0.1200  51.0425  3660.6291
7.5  0.2  0.1200  54.2605  4286.3462
7.5  0.2  0.1200  57.6813  4982.4226
7.5  0.2  0.1200  61.3179  5753.4564
7.5  0.2  0.1200  65.1836  6604.1850
7.5  0.2  0.1200  69.2931  7539.4833
7.5  0.2  0.1200  73.6617  8564.3614
7.5  0.2  0.1200  78.3057  9683.9622
7.5  0.2  0.1200  83.2425  10903.5594
7.5  0.2  0.1200  88.4905  12228.5542
7.5  0.2  0.1200  94.0694  13664.4724
7.5  0.2  0.1200  100.0000  15216.9608
7.5  0.2  0.1600  5.0000  67.6290
7.5  0.2  0.1600  5.3152  63.8870
7.5  0.2  0.1600  5.6503  60.4932
7.5  0.2  0.1600  6.0065  57.1740
7.5  0.2  0.1600  6.3852  52.9079
7.5  0.2  0.1600  6.7878  48.7802
7.5  0.2  0.1600  7.2157  45.0096
7.5  0.2  0.1600  7.6706  40.9508
7.5  0.2  0.1600  8.1542  36.5021
7.5  0.2  0.1600  8.6683  32.3646
7.5  0.2  0.1600  9.2148  28.5849
7.5  0.2  0.1600  9.7958  24.7526
7.5  0.2  0.1600  10.4133  21.4402
7.5  0.2  0.1600  11.0698  17.6605
7.5  0.2  0.1600  11.7677  13.8618
7.5  0.2  0.1600  12.5096  11.1968
7.5  0.2  0.1600  13.2983  9.6013
7.5  0.2  0.1600  14.1367  9.4705
7.5  0.2  0.1600  15.0279  12.5847
7.5  0.2  0.1600  15.9754  19.4331
7.5  0.2  0.1600  16.9825  32.6851
7.5  0.2  0.1600  18.0532  63.3809
7.5  0.2  0.1600  19.1914  115.1044
7.5  0.2  0.1600  20.4013  190.6522
7.5  0.2  0.1600  21.6875  292.9988
7.5  0.2  0.1600  23.0548  425.2987
7.5  0.2  0.1600  24.5083  590.8872
7.5  0.2  0.1600  26.0534  793.2826
7.5  0.2  0.1600  27.6959  1036.1866
7.5  0.2  0.1600  29.4420  1323.4858
7.5  0.2  0.1600  31.2982  1659.2527
7.5  0.2  0.1600  33.2714  2047.7464
7.5  0.2  0.1600  35.3690  2493.4130
7.5  0.2  0.1600  37.5988  3000.8868
7.5  0.2  0.1600  39.9692  3574.9897
7.5  0.2  0.1600  42.4891  4220.7324
7.5  0.2  0.1600  45.1678  4943.3133
7.5  0.2  0.1600  48.0154  5748.1189
7.5  0.2  0.1600  51.0425  6640.7228
7.5  0.2  0.1600  54.2605  7626.8850
7.5  0.2  0.1600  57.6813  8712.5510
7.5  0.2  0.1600  61.3179  9903.8500
7.5  0.2  0.1600  65.1836  11207.0929
7.5  0.2  0.1600  69.2931  12628.7711
7.5  0.2  0.1600  73.6617  14175.5530
7.5  0.2  0.1600  78.3057  15854.2819
7.5  0.2  0.1600  83.2425  17671.9722
7.5  0.2  0.1600  88.4905  19635.8064
7.5  0.2  0.1600  94.0694  21753.1307
7.5  0.2  0.1600  100.0000  24031.4510
7.5  0.2  0.2000  5.0000  61.5713
7.5  0.2  0.2000  5.3152  58.2436
7.5  0.2  0.2000  5.6503  53.8835
7.5  0.2  0.2000  6.0065  49.8004
7.5  0.2  0.2000  6.3852  46.0570
7.5  0.2  0.2000  6.7878  41.7650
7.5  0.2  0.2000  7.2157  37.4331
7.5  0.2  0.2000  7.6706  33.4568
7.5  0.2  0.2000  8.1542  29.3613
7.5  0.2  0.2000  8.6683  25.4301
7.5  0.2  0.2000  9.2148  22.4154
7.5  0.2  0.2000  9.7958  17.8794
7.5  0.2  0.2000  10.4133  14.1709
7.5  0.2  0.2000  11.0698  11.2431
7.5  0.2  0.2000  11.7677  9.6511
7.5  0.2  0.2000  12.5096  10.1681
7.5  0.2  0.2000  13.2983  14.1623
7.5  0.2  0.2000  14.1367  22.2965
7.5  0.2  0.2000  15.0279  43.4631
7.5  0.2  0.2000  15.9754  85.4167
7.5  0.2  0.2000  16.9825  151.1258
7.5  0.2  0.2000  18.0532  243.7644
7.5  0.2  0.2000  19.1914  366.7145
7.5  0.2  0.2000  20.4013  523.5686
7.5  0.2  0.2000  21.6875  718.1327
7.5  0.2  0.2000  23.0548  954.4280
7.5  0.2  0.2000  24.5083  1236.6939
7.5  0.2  0.2000  26.0534  1569.3896
7.5  0.2  0.2000  27.6959  1957.1965
7.5  0.2  0.2000  29.4420  2405.0197
7.5  0.2  0.2000  31.2982  2917.9900
7.5  0.2  0.2000  33.2714  3501.4655
7.5  0.2  0.2000  35.3690  4161.0328
7.5  0.2  0.2000  37.5988  4902.5081
7.5  0.2  0.2000  39.9692  5731.9382
7.5  0.2  0.2000  42.4891  6655.6011
7.5  0.2  0.2000  45.1678  7680.0061
7.5  0.2  0.2000  48.0154  8811.8939
7.5  0.2  0.2000  51.0425  10058.2361
7.5  0.2  0.2000  54.2605  11426.2347
7.5  0.2  0.2000  57.6813  12923.3206
7.5  0.2  0.2000  61.3179  14557.1519
7.5  0.2  0.2000  65.1836  16335.6123
7.5  0.2  0.2000  69.2931  18266.8083
7.5  0.2  0.2000  73.6617  20359.0663
7.5  0.2  0.2000  78.3057  22620.9292
7.5  0.2  0.2000  83.2425  25061.1525
7.5  0.2  0.2000  88.4905  27688.7000
7.5  0.2  0.2000  94.0694  30512.7386
7.5  0.2  0.2000  100.0000  33542.6333
7.5  0.2  0.2400  5.0000  56.3463
7.5  0.2  0.2400  5.3152  52.1671
7.5  0.2  0.2400  5.6503  48.4831
7.5  0.2  0.2400  6.0065  44.1674
7.5  0.2  0.2400  6.3852  39.7591
7.5  0.2  0.2400  6.7878  35.6696
7.5  0.2  0.2400  7.2157  31.6145
7.5  0.2  0.2400  7.6706  27.6670
7.5  0.2  0.2400  8.1542  24.3251
7.5  0.2  0.2400  8.6683  20.0300
7.5  0.2  0.2400  9.2148  15.7831
7.5  0.2  0.2400  9.7958  12.3750
7.5  0.2  0.2400  10.4133  10.3394
7.5  0.2  0.2400  11.0698  10.2650
7.5  0.2  0.2400  11.7677  13.4237
7.5  0.2  0.2400  12.5096  20.8876
7.5  0.2  0.2400  13.2983  41.9344
7.5  0.2  0.2400  14.1367  84.6585
7.5  0.2  0.2400  15.0279  152.2514
7.5  0.2  0.2400  15.9754  248.1348
7.5  0.2  0.2400  16.9825  375.9643
7.5  0.2  0.2400  18.0532  539.6337
7.5  0.2  0.2400  19.1914  743.2783
7.5  0.2  0.2400  20.4013  991.2783
7.5  0.2  0.2400  21.6875  1288.2626
7.5  0.2  0.2400  23.0548  1639.1116
7.5  0.2  0.2400  24.5083  2048.9608
7.5  0.2  0.2400  26.0534  2523.2035
7.5  0.2  0.2400  27.6959  3067.4942
7.5  0.2  0.2400  29.4420  3687.7508
7.5  0.2  0.2400  31.2982  4390.1573
7.5  0.2  0.2400  33.2714  5181.1666
7.5  0.2  0.2400  35.3690  6067.5016
7.5  0.2  0.2400  37.5988  7056.1576
7.5  0.2  0.2400  39.9692  8154.4034
7.5  0.2  0.2400  42.4891  9369.7826
7.5  0.2  0.2400  45.1678  10710.1136
7.5  0.2  0.2400  48.0154  12183.4905
7.5  0.2  0.2400  51.0425  13798.2823
7.5  0.2  0.2400  54.2605  15563.1322
7.5  0.2  0.2400  57.6813  17486.9567
7.5  0.2  0.2400  61.3179  19578.9434
7.5  0.2  0.2400  65.1836  21848.5486
7.5  0.2  0.2400  69.2931  24305.4950
7.5  0.2  0.2400  73.6617  26959.7674
7.5  0.2  0.2400  78.3057  29821.6093
7.5  0.2  0.2400  83.2425  32901.5180
7.5  0.2  0.2400  88.4905  36210.2393
7.5  0.2  0.2400  94.0694  39758.7617
7.5  0.2  0.2400  100.0000  43558.3102
7.5  0.2  0.2800  5.0000  51.5928
7.5  0.2  0.2800  5.3152  47.7031
7.5  0.2  0.2800  5.6503  43.3184
7.5  0.2  0.2800  6.0065  39.0769
7.5  0.2  0.2800  6.3852  35.1143
7.5  0.2  0.2800  6.7878  30.6889
7.5  0.2  0.2800  7.2157  27.1345
7.5  0.2  0.2800  7.6706  23.4989
7.5  0.2  0.2800  8.1542  18.7008
7.5  0.2  0.2800  8.6683  14.6168
7.5  0.2  0.2800  9.2148  12.1497
7.5  0.2  0.2800  9.7958  10.6350
7.5  0.2  0.2800  10.4133  11.8230
7.5  0.2  0.2800  11.0698  16.9383
7.5  0.2  0.2800  11.7677  31.3852
7.5  0.2  0.2800  12.5096  66.7376
7.5  0.2  0.2800  13.2983  126.7324
7.5  0.2  0.2800  14.1367  214.9230
7.5  0.2  0.2800  15.0279  335.1191
7.5  0.2  0.2800  15.9754  491.3915
7.5  0.2  0.2800  16.9825  688.0772
7.5  0.2  0.2800  18.0532  929.7836
7.5  0.2  0.2800  19.1914  1221.3934
7.5  0.2  0.2800  20.4013  1568.0689
7.5  0.2  0.2800  21.6875  1975.2565
7.5  0.2  0.2800  23.0548  2448.6908
7.5  0.2  0.2800  24.5083  2994.3991
7.5  0.2  0.2800  26.0534  3618.7049
7.5  0.2  0.2800  27.6959  4328.2324
7.5  0.2  0.2800  29.4420  5129.9092
7.5  0.2  0.2800  31.2982  6030.9707
7.5  0.2  0.2800  33.2714  7038.9619
7.5  0.2  0.2800  35.3690  8161.7411
7.5  0.2  0.2800  37.5988  9407.4814
7.5  0.2  0.2800  39.9692  10784.6733
7.5  0.2  0.2800  42.4891  12302.1251
7.5  0.2  0.2800  45.1678  13968.9648
7.5  0.2  0.2800  48.0154  15794.6397
7.5  0.2  0.2800  51.0425  17788.9166
7.5  0.2  0.2800  54.2605  19961.8809
7.5  0.2  0.2800  57.6813  22323.9351
7.5  0.2  0.2800  61.3179  24885.7971
7.5  0.2  0.2800  65.1836  27658.4970
7.5  0.2  0.2800  69.2931  30653.3743
7.5  0.2  0.2800  73.6617  33882.0735
7.5  0.2  0.2800  78.3057  37356.5396
7.5  0.2  0.2800  83.2425  41089.0127
7.5  0.2  0.2800  88.4905  45092.0215
7.5  0.2  0.2800  94.0694  49378.3772
7.5  0.2  0.2800  100.0000  53961.1652
7.5  0.2  0.3200  5.0000  47.5459
7.5  0.2  0.3200  5.3152  43.1795
7.5  0.2  0.3200  5.6503  39.0445
7.5  0.2  0.3200  6.0065  34.8540
7.5  0.2  0.3200  6.3852  30.6635
7.5  0.2  0.3200  6.7878  27.4283
7.5  0.2  0.3200  7.2157  23.0635
7.5  0.2  0.3200  7.6706  18.4797
7.5  0.2  0.3200  8.1542  14.4162
7.5  0.2  0.3200  8.6683  11.7844
7.5  0.2  0.3200  9.2148  10.9088
7.5  0.2  0.3200  9.7958  13.2639
7.5  0.2  0.3200  10.4133  20.1324
7.5  0.2  0.3200  11.0698  42.5379
7.5  0.2  0.3200  11.7677  88.2990
7.5  0.2  0.3200  12.5096  160.9978
7.5  0.2  0.3200  13.2983  264.4910
7.5  0.2  0.3200  14.1367  402.9157
7.5  0.2  0.3200  15.0279  580.6953
7.5  0.2  0.3200  15.9754  802.5457
7.5  0.2  0.3200  16.9825  1073.4802
7.5  0.2  0.3200  18.0532  1398.8157
7.5  0.2  0.3200  19.1914  1784.1784
7.5  0.2  0.3200  20.4013  2235.5087
7.5  0.2  0.3200  21.6875  2759.0672
7.5  0.2  0.3200  23.0548  3361.4400
7.5  0.2  0.3200  24.5083  4049.5433
7.5  0.2  0.3200  26.0534  4830.6290
7.5  0.2  0.3200  27.6959  5712.2891
7.5  0.2  0.3200  29.4420  6702.4599
