# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.2237  8.7877  71.5648
218.0  1.5  0.2237  9.1030  69.5560
218.0  1.5  0.2237  9.4295  67.7955
218.0  1.5  0.2237  9.7678  67.0306
218.0  1.5  0.2237  10.1182  65.8330
218.0  1.5  0.2237  10.4811  65.1106
218.0  1.5  0.2237  10.8571  63.3833
218.0  1.5  0.2237  11.2466  62.4641
218.0  1.5  0.2237  11.6501  60.6386
218.0  1.5  0.2237  12.0680  60.4313
218.0  1.5  0.2237  12.5009  59.4060
218.0  1.5  0.2237  12.9494  59.0386
218.0  1.5  0.2237  13.4139  58.8434
218.0  1.5  0.2237  13.8951  56.1022
218.0  1.5  0.2237  14.3936  55.0301
218.0  1.5  0.2237  14.9099  54.7421
218.0  1.5  0.2237  15.4448  52.2238
218.0  1.5  0.2237  15.9988  51.8335
218.0  1.5  0.2237  16.5728  51.4547
218.0  1.5  0.2237  17.1673  51.0886
218.0  1.5  0.2237  17.7831  50.6110
218.0  1.5  0.2237  18.4211  50.2798
218.0  1.5  0.2237  19.0819  49.9632
218.0  1.5  0.2237  19.7664  49.6617
218.0  1.5  0.2237  20.4755  49.1431
218.0  1.5  0.2237  21.2100  46.8461
218.0  1.5  0.2237  21.9709  46.5549
218.0  1.5  0.2237  22.7591  46.2811
218.0  1.5  0.2237  23.5755  46.0239
218.0  1.5  0.2237  24.4212  45.7829
218.0  1.5  0.2237  25.2973  45.5576
218.0  1.5  0.2237  26.2048  45.3471
218.0  1.5  0.2237  27.1448  45.1510
218.0  1.5  0.2237  28.1186  43.6598
218.0  1.5  0.2237  29.1273  43.4735
218.0  1.5  0.2237  30.1722  41.7282
218.0  1.5  0.2237  31.2546  41.5683
218.0  1.5  0.2237  32.3758  41.4201
218.0  1.5  0.2237  33.5372  41.2829
218.0  1.5  0.2237  34.7403  41.1558
218.0  1.5  0.2237  35.9865  41.0383
218.0  1.5  0.2237  37.2775  40.9297
218.0  1.5  0.2237  38.6148  40.8294
218.0  1.5  0.2237  40.0000  40.7368
218.0  1.5  0.2356  5.0000  87.8537
218.0  1.5  0.2356  5.1794  87.9644
218.0  1.5  0.2356  5.3652  85.6409
218.0  1.5  0.2356  5.5576  84.7061
218.0  1.5  0.2356  5.7570  83.7271
218.0  1.5  0.2356  5.9635  84.1843
218.0  1.5  0.2356  6.1775  83.1737
218.0  1.5  0.2356  6.3991  81.4290
218.0  1.5  0.2356  6.6286  79.8444
218.0  1.5  0.2356  6.8664  78.4032
218.0  1.5  0.2356  7.1127  77.5606
218.0  1.5  0.2356  7.3679  75.5821
218.0  1.5  0.2356  7.6322  74.5411
218.0  1.5  0.2356  7.9060  72.5125
218.0  1.5  0.2356  8.1896  72.3020
218.0  1.5  0.2356  8.4834  70.9815
218.0  1.5  0.2356  8.7877  69.8144
218.0  1.5  0.2356  9.1030  67.7711
218.0  1.5  0.2356  9.4295  67.7681
218.0  1.5  0.2356  9.7678  65.3685
218.0  1.5  0.2356  10.1182  64.4117
