# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.3  0.2000  5.0000  81.9587
218.0  1.3  0.2000  5.1794  83.1509
218.0  1.3  0.2000  5.3652  83.3584
218.0  1.3  0.2000  5.5576  83.6391
218.0  1.3  0.2000  5.7570  81.9008
218.0  1.3  0.2000  5.9635  81.5015
218.0  1.3  0.2000  6.1775  81.2053
218.0  1.3  0.2000  6.3991  79.4568
218.0  1.3  0.2000  6.6286  79.7147
218.0  1.3  0.2000  6.8664  78.1177
218.0  1.3  0.2000  7.1127  78.0110
218.0  1.3  0.2000  7.3679  75.7348
218.0  1.3  0.2000  7.6322  75.1994
218.0  1.3  0.2000  7.9060  75.0794
218.0  1.3  0.2000  8.1896  73.8994
218.0  1.3  0.2000  8.4834  72.6851
218.0  1.3  0.2000  8.7877  73.0489
218.0  1.3  0.2000  9.1030  72.0322
218.0  1.3  0.2000  9.4295  70.3568
218.0  1.3  0.2000  9.7678  69.0875
218.0  1.3  0.2000  10.1182  68.3549
218.0  1.3  0.2000  10.4811  68.4748
218.0  1.3  0.2000  10.8571  67.5769
218.0  1.3  0.2000  11.2466  67.1893
218.0  1.3  0.2000  11.6501  65.4041
218.0  1.3  0.2000  12.0680  64.1252
218.0  1.3  0.2000  12.5009  62.4278
218.0  1.3  0.2000  12.9494  62.1970
218.0  1.3  0.2000  13.4139  61.9565
218.0  1.3  0.2000  13.8951  61.3686
218.0  1.3  0.2000  14.3936  61.1224
218.0  1.3  0.2000  14.9099  60.8643
218.0  1.3  0.2000  15.4448  58.5387
218.0  1.3  0.2000  15.9988  58.2128
218.0  1.3  0.2000  16.5728  57.8907
218.0  1.3  0.2000  17.1673  57.5732
218.0  1.3  0.2000  17.7831  54.4281
218.0  1.3  0.2000  18.4211  54.0825
218.0  1.3  0.2000  19.0819  53.7468
218.0  1.3  0.2000  19.7664  53.4213
218.0  1.3  0.2000  20.4755  53.1065
218.0  1.3  0.2000  21.2100  52.8025
218.0  1.3  0.2000  21.9709  52.5097
218.0  1.3  0.2000  22.7591  52.2280
218.0  1.3  0.2000  23.5755  51.9575
218.0  1.3  0.2000  24.4212  51.6982
218.0  1.3  0.2000  25.2973  51.4499
218.0  1.3  0.2000  26.2048  51.2126
218.0  1.3  0.2000  27.1448  50.9860
218.0  1.3  0.2000  28.1186  50.7699
218.0  1.3  0.2000  29.1273  50.5640
218.0  1.3  0.2000  30.1722  50.3681
218.0  1.3  0.2000  31.2546  50.1819
218.0  1.3  0.2000  32.3758  50.0049
218.0  1.3  0.2000  33.5372  49.8370
218.0  1.3  0.2000  34.7403  48.8115
218.0  1.3  0.2000  35.9865  48.6201
218.0  1.3  0.2000  37.2775  48.4388
218.0  1.3  0.2000  38.6148  48.2671
218.0  1.3  0.2000  40.0000  48.1046
218.0  1.3  0.2119  5.0000  82.8978
218.0  1.3  0.2119  5.1794  82.0735
218.0  1.3  0.2119  5.3652  82.0624
218.0  1.3  0.2119  5.5576  82.2222
218.0  1.3  0.2119  5.7570  82.4078
218.0  1.3  0.2119  5.9635  82.4322
218.0  1.3  0.2119  6.1775  81.1253
218.0  1.3  0.2119  6.3991  79.1462
218.0  1.3  0.2119  6.6286  78.5996
218.0  1.3  0.2119  6.8664  77.4156
218.0  1.3  0.2119  7.1127  76.7628
218.0  1.3  0.2119  7.3679  74.5684
218.0  1.3  0.2119  7.6322  73.8957
218.0  1.3  0.2119  7.9060  72.9193
218.0  1.3  0.2119  8.1896  71.8871
218.0  1.3  0.2119  8.4834  71.6921
218.0  1.3  0.2119  8.7877  70.1043
218.0  1.3  0.2119  9.1030  68.6105
218.0  1.3  0.2119  9.4295  68.5519
218.0  1.3  0.2119  9.7678  68.7481
218.0  1.3  0.2119  10.1182  66.6317
218.0  1.3  0.2119  10.4811  65.6776
