# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.1  0.2000  5.0000  63.5983
218.0  0.1  0.2000  5.1794  64.2210
218.0  0.1  0.2000  5.3652  64.8734
218.0  0.1  0.2000  5.5576  65.4178
218.0  0.1  0.2000  5.7570  65.7729
218.0  0.1  0.2000  5.9635  65.6029
218.0  0.1  0.2000  6.1775  65.9265
218.0  0.1  0.2000  6.3991  66.2780
218.0  0.1  0.2000  6.6286  62.9590
218.0  0.1  0.2000  6.8664  63.4534
218.0  0.1  0.2000  7.1127  63.0834
218.0  0.1  0.2000  7.3679  63.5721
218.0  0.1  0.2000  7.6322  62.7548
218.0  0.1  0.2000  7.9060  63.1841
218.0  0.1  0.2000  8.1896  63.6346
218.0  0.1  0.2000  8.4834  64.1053
218.0  0.1  0.2000  8.7877  64.5954
218.0  0.1  0.2000  9.1030  62.9016
218.0  0.1  0.2000  9.4295  63.2778
218.0  0.1  0.2000  9.7678  61.6740
218.0  0.1  0.2000  10.1182  61.7918
218.0  0.1  0.2000  10.4811  61.8323
218.0  0.1  0.2000  10.8571  62.3471
218.0  0.1  0.2000  11.2466  61.5823
218.0  0.1  0.2000  11.6501  62.0659
218.0  0.1  0.2000  12.0680  62.4950
218.0  0.1  0.2000  12.5009  62.5246
218.0  0.1  0.2000  12.9494  62.8373
218.0  0.1  0.2000  13.4139  62.8318
218.0  0.1  0.2000  13.8951  63.1048
218.0  0.1  0.2000  14.3936  60.7728
218.0  0.1  0.2000  14.9099  61.1524
218.0  0.1  0.2000  15.4448  60.7338
218.0  0.1  0.2000  15.9988  61.1046
218.0  0.1  0.2000  16.5728  61.0950
218.0  0.1  0.2000  17.1673  60.6737
218.0  0.1  0.2000  17.7831  61.0300
218.0  0.1  0.2000  18.4211  61.3965
218.0  0.1  0.2000  19.0819  60.3757
218.0  0.1  0.2000  19.7664  60.2378
218.0  0.1  0.2000  20.4755  60.3976
218.0  0.1  0.2000  21.2100  60.6977
218.0  0.1  0.2000  21.9709  60.5721
218.0  0.1  0.2000  22.7591  60.8446
218.0  0.1  0.2000  23.5755  61.1259
218.0  0.1  0.2000  24.4212  61.4157
218.0  0.1  0.2000  25.2973  61.7137
218.0  0.1  0.2000  26.2048  59.7070
218.0  0.1  0.2000  27.1448  60.0736
218.0  0.1  0.2000  28.1186  60.4468
218.0  0.1  0.2000  29.1273  59.5846
218.0  0.1  0.2000  30.1722  59.9357
218.0  0.1  0.2000  31.2546  60.2728
218.0  0.1  0.2000  32.3758  59.0742
218.0  0.1  0.2000  33.5372  59.3925
218.0  0.1  0.2000  34.7403  59.2840
218.0  0.1  0.2000  35.9865  59.2130
218.0  0.1  0.2000  37.2775  59.5252
218.0  0.1  0.2000  38.6148  59.8425
218.0  0.1  0.2000  40.0000  59.5421
218.0  0.1  0.2119  5.0000  62.7300
218.0  0.1  0.2119  5.1794  63.3815
218.0  0.1  0.2119  5.3652  63.0358
