# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.6  0.2000  5.0000  73.7135
218.0  0.6  0.2000  5.1794  73.4068
218.0  0.6  0.2000  5.3652  72.4198
218.0  0.6  0.2000  5.5576  71.7467
218.0  0.6  0.2000  5.7570  71.5745
218.0  0.6  0.2000  5.9635  71.0158
218.0  0.6  0.2000  6.1775  71.1334
218.0  0.6  0.2000  6.3991  70.1355
218.0  0.6  0.2000  6.6286  69.6612
218.0  0.6  0.2000  6.8664  69.5319
218.0  0.6  0.2000  7.1127  67.9795
218.0  0.6  0.2000  7.3679  68.7602
218.0  0.6  0.2000  7.6322  69.4405
218.0  0.6  0.2000  7.9060  68.6036
218.0  0.6  0.2000  8.1896  66.4900
218.0  0.6  0.2000  8.4834  67.0851
218.0  0.6  0.2000  8.7877  67.1040
218.0  0.6  0.2000  9.1030  66.0435
218.0  0.6  0.2000  9.4295  66.3413
218.0  0.6  0.2000  9.7678  65.4324
218.0  0.6  0.2000  10.1182  64.5049
218.0  0.6  0.2000  10.4811  64.9468
218.0  0.6  0.2000  10.8571  63.6841
218.0  0.6  0.2000  11.2466  64.3440
218.0  0.6  0.2000  11.6501  62.7978
218.0  0.6  0.2000  12.0680  63.3126
218.0  0.6  0.2000  12.5009  61.6740
218.0  0.6  0.2000  12.9494  62.1232
218.0  0.6  0.2000  13.4139  62.5748
218.0  0.6  0.2000  13.8951  61.5544
218.0  0.6  0.2000  14.3936  61.6959
218.0  0.6  0.2000  14.9099  61.9388
218.0  0.6  0.2000  15.4448  60.5109
218.0  0.6  0.2000  15.9988  60.5935
218.0  0.6  0.2000  16.5728  58.6108
218.0  0.6  0.2000  17.1673  58.8561
218.0  0.6  0.2000  17.7831  58.7023
218.0  0.6  0.2000  18.4211  58.7886
218.0  0.6  0.2000  19.0819  58.8772
218.0  0.6  0.2000  19.7664  58.9675
218.0  0.6  0.2000  20.4755  58.0362
218.0  0.6  0.2000  21.2100  58.1320
218.0  0.6  0.2000  21.9709  57.4666
218.0  0.6  0.2000  22.7591  57.6127
218.0  0.6  0.2000  23.5755  56.5204
218.0  0.6  0.2000  24.4212  56.5391
218.0  0.6  0.2000  25.2973  55.0674
218.0  0.6  0.2000  26.2048  55.1494
218.0  0.6  0.2000  27.1448  55.2296
218.0  0.6  0.2000  28.1186  54.1151
218.0  0.6  0.2000  29.1273  54.0981
218.0  0.6  0.2000  30.1722  54.0822
218.0  0.6  0.2000  31.2546  54.0673
218.0  0.6  0.2000  32.3758  54.0531
218.0  0.6  0.2000  33.5372  54.0397
218.0  0.6  0.2000  34.7403  53.6670
218.0  0.6  0.2000  35.9865  53.6608
