# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  0.4  0.2000  5.0000  69.3138
218.0  0.4  0.2000  5.1794  68.8421
218.0  0.4  0.2000  5.3652  70.1731
218.0  0.4  0.2000  5.5576  69.3309
218.0  0.4  0.2000  5.7570  67.9835
218.0  0.4  0.2000  5.9635  67.6872
218.0  0.4  0.2000  6.1775  68.2316
218.0  0.4  0.2000  6.3991  67.3648
218.0  0.4  0.2000  6.6286  67.4350
218.0  0.4  0.2000  6.8664  66.1167
218.0  0.4  0.2000  7.1127  66.6687
218.0  0.4  0.2000  7.3679  65.7508
218.0  0.4  0.2000  7.6322  66.6004
218.0  0.4  0.2000  7.9060  65.4386
218.0  0.4  0.2000  8.1896  65.4507
218.0  0.4  0.2000  8.4834  64.9606
218.0  0.4  0.2000  8.7877  64.4634
218.0  0.4  0.2000  9.1030  65.5259
218.0  0.4  0.2000  9.4295  64.7120
218.0  0.4  0.2000  9.7678  63.6133
218.0  0.4  0.2000  10.1182  63.0693
218.0  0.4  0.2000  10.4811  63.7534
218.0  0.4  0.2000  10.8571  63.1615
218.0  0.4  0.2000  11.2466  63.8055
218.0  0.4  0.2000  11.6501  62.5864
218.0  0.4  0.2000  12.0680  62.1302
218.0  0.4  0.2000  12.5009  61.7105
218.0  0.4  0.2000  12.9494  61.6902
218.0  0.4  0.2000  13.4139  61.0510
218.0  0.4  0.2000  13.8951  61.4736
218.0  0.4  0.2000  14.3936  61.5032
218.0  0.4  0.2000  14.9099  62.0157
218.0  0.4  0.2000  15.4448  60.5969
218.0  0.4  0.2000  15.9988  61.0358
218.0  0.4  0.2000  16.5728  60.9464
218.0  0.4  0.2000  17.1673  59.8266
218.0  0.4  0.2000  17.7831  60.1716
218.0  0.4  0.2000  18.4211  58.4722
218.0  0.4  0.2000  19.0819  58.7734
218.0  0.4  0.2000  19.7664  59.0789
218.0  0.4  0.2000  20.4755  59.3876
218.0  0.4  0.2000  21.2100  59.6985
218.0  0.4  0.2000  21.9709  58.5143
218.0  0.4  0.2000  22.7591  58.8172
218.0  0.4  0.2000  23.5755  59.0210
218.0  0.4  0.2000  24.4212  57.3019
218.0  0.4  0.2000  25.2973  57.5302
218.0  0.4  0.2000  26.2048  57.7591
218.0  0.4  0.2000  27.1448  57.9882
218.0  0.4  0.2000  28.1186  55.7783
218.0  0.4  0.2000  29.1273  55.9593
218.0  0.4  0.2000  30.1722  56.1406
218.0  0.4  0.2000  31.2546  56.1737
218.0  0.4  0.2000  32.3758  56.2433
218.0  0.4  0.2000  33.5372  56.3153
218.0  0.4  0.2000  34.7403  56.3893
218.0  0.4  0.2000  35.9865  56.3087
218.0  0.4  0.2000  37.2775  56.4833
218.0  0.4  0.2000  38.6148  55.5739
218.0  0.4  0.2000  40.0000  55.6568
218.0  0.4  0.2119  5.0000  69.0001
218.0  0.4  0.2119  5.1794  69.0237
218.0  0.4  0.2119  5.3652  68.5831
218.0  0.4  0.2119  5.5576  69.2147
218.0  0.4  0.2119  5.7570  67.1720
218.0  0.4  0.2119  5.9635  67.1111
218.0  0.4  0.2119  6.1775  66.5163
218.0  0.4  0.2119  6.3991  66.5757
218.0  0.4  0.2119  6.6286  66.6008
218.0  0.4  0.2119  6.8664  65.4359
218.0  0.4  0.2119  7.1127  65.2570
218.0  0.4  0.2119  7.3679  65.4110
218.0  0.4  0.2119  7.6322  64.7648
218.0  0.4  0.2119  7.9060  63.8475
218.0  0.4  0.2119  8.1896  64.1820
218.0  0.4  0.2119  8.4834  62.9720
218.0  0.4  0.2119  8.7877  64.1452
218.0  0.4  0.2119  9.1030  63.2796
218.0  0.4  0.2119  9.4295  62.1781
218.0  0.4  0.2119  9.7678  62.0311
218.0  0.4  0.2119  10.1182  62.2380
218.0  0.4  0.2119  10.4811  62.2657
218.0  0.4  0.2119  10.8571  61.2924
218.0  0.4  0.2119  11.2466  61.8587
218.0  0.4  0.2119  11.6501  60.8010
218.0  0.4  0.2119  12.0680  60.0024
218.0  0.4  0.2119  12.5009  60.1541
218.0  0.4  0.2119  12.9494  59.7697
218.0  0.4  0.2119  13.4139  60.3783
218.0  0.4  0.2119  13.8951  60.3750
218.0  0.4  0.2119  14.3936  59.4898
218.0  0.4  0.2119  14.9099  59.4581
218.0  0.4  0.2119  15.4448  58.3940
218.0  0.4  0.2119  15.9988  58.7768
218.0  0.4  0.2119  16.5728  57.4483
218.0  0.4  0.2119  17.1673  57.8435
218.0  0.4  0.2119  17.7831  58.0785
218.0  0.4  0.2119  18.4211  58.5442
218.0  0.4  0.2119  19.0819  56.9422
218.0  0.4  0.2119  19.7664  57.3380
218.0  0.4  0.2119  20.4755  57.5911
218.0  0.4  0.2119  21.2100  57.3093
218.0  0.4  0.2119  21.9709  56.1790
218.0  0.4  0.2119  22.7591  56.4887
218.0  0.4  0.2119  23.5755  54.6602
218.0  0.4  0.2119  24.4212  54.9280
218.0  0.4  0.2119  25.2973  55.1977
218.0  0.4  0.2119  26.2048  55.4686
218.0  0.4  0.2119  27.1448  55.7400
218.0  0.4  0.2119  28.1186  55.9878
218.0  0.4  0.2119  29.1273  54.8840
218.0  0.4  0.2119  30.1722  54.6979
218.0  0.4  0.2119  31.2546  54.8443
218.0  0.4  0.2119  32.3758  54.9923
