# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.6088  1.0273665845e+19
96.4247  1.2134170187e+19
96.2216  1.4308186793e+19
95.9982  1.6842394178e+19
95.7531  1.9790236612e+19
95.4848  2.3210967664e+19
95.1919  2.71691027e+19
94.8731  3.1740637053e+19
94.5269  3.7006583452e+19
94.152  4.3057224638e+19
93.6682  4.9991685121e+19
93.1233  5.791998082e+19
92.5404  6.6959226705e+19
91.9184  7.7242696568e+19
91.2563  8.8911837834e+19
90.5532  1.0212100033e+20
89.8084  1.1703816089e+20
89.0213  1.3384357864e+20
88.1915  1.5273207204e+20
87.3188  1.7391823187e+20
86.4032  1.9762372276e+20
85.4449  2.240982538e+20
84.4443  2.5360186216e+20
83.402  2.8640274956e+20
82.3189  3.2282823043e+20
81.1958  3.6319088974e+20
80.0342  4.0783769511e+20
78.8353  4.5713971544e+20
77.6009  5.1149640943e+20
76.3326  5.7133710397e+20
75.0325  6.371188315e+20
73.7027  7.0933086626e+20
72.3453  7.8849992459e+20
70.9629  8.7519040612e+20
69.5579  9.700047804e+20
68.133  1.0735950835e+21
66.6907  1.1866516479e+21
65.234  1.3099239399e+21
63.7656  1.4442103543e+21
62.2885  1.5903735791e+21
60.8056  1.7493296054e+21
59.3201  1.9220780021e+21
57.8349  2.1096660045e+21
56.3533  2.3132484972e+21
54.8784  2.5339189895e+21
53.1304  2.7732372562e+21
51.3362  3.0324976305e+21
49.5511  3.3132131774e+21
47.7784  3.6170158947e+21
46.0215  3.9456502043e+21
95.2115  4.109466338e+19
94.8303  4.8536680749e+19
94.317  5.7232747173e+19
93.7581  6.7369576711e+19
93.1511  7.9160946446e+19
92.4936  9.2843870654e+19
91.7833  1.086764108e+20
91.018  1.2696254821e+20
90.1956  1.4802633381e+20
89.3145  1.7222889855e+20
88.373  1.9996674048e+20
87.3698  2.3167992328e+20
86.304  2.6783690682e+20
85.1749  3.0897078627e+20
83.9824  3.5564735134e+20
82.7267  4.0848400131e+20
81.4084  4.6815264357e+20
80.0287  5.3537431455e+20
78.5892  6.1092828818e+20
77.092  6.9567292746e+20
75.5399  7.9049489102e+20
73.9361  8.963930152e+20
72.2843  1.0144074486e+21
70.5888  1.1456109983e+21
68.8543  1.2913129217e+21
67.0863  1.4527635589e+21
65.2903  1.6313507805e+21
63.4726  1.8285588618e+21
61.6398  2.0459856377e+21
59.5552  2.2853484159e+21
57.2742  2.548475326e+21
54.9893  2.837323465e+21
52.7086  3.1539996984e+21
50.4403  3.5007616245e+21
48.1927  3.8800191216e+21
45.9746  4.2943803341e+21
43.7947  4.7466065916e+21
41.6618  5.2396957597e+21
39.5851  5.7768414171e+21
37.5736  6.3614943164e+21
35.6366  6.9973184216e+21
33.7836  7.6883120084e+21
32.0241  8.4386640181e+21
30.2227  9.2529939888e+21
28.1436  1.0135675958e+22
26.0933  1.1092949025e+22
24.1644  1.2129990522e+22
22.3673  1.3252852709e+22
20.7126  1.4468063579e+22
19.2111  1.5782600817e+22
93.3463  9.2462992604e+19
92.6669  1.0920753169e+20
91.9279  1.2877368114e+20
91.1262  1.515815476e+20
90.259  1.781121295e+20
89.3236  2.0889870897e+20
88.3179  2.445219243e+20
87.2399  2.8566573348e+20
86.0879  3.3305925107e+20
84.8608  3.8751502174e+20
83.5581  4.4992516609e+20
82.1798  5.2127982738e+20
80.7266  6.0263304034e+20
79.1997  6.9518426912e+20
77.6013  8.002065405e+20
75.9344  9.1908900295e+20
74.2027  1.053343448e+21
72.4108  1.2045922077e+21
70.5643  1.3745886484e+21
68.6696  1.5652640868e+21
66.734  1.7786135048e+21
64.7258  2.0168842842e+21
62.2267  2.2824167594e+21
59.6989  2.5776247461e+21
57.1533  2.9054540739e+21
54.6016  3.2687180076e+21
52.0563  3.670539256e+21
49.5303  4.114257439e+21
47.0373  4.6034676849e+21
44.5914  5.1420339357e+21
42.2072  5.7340694835e+21
