# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
95.2871  inf
94.7361  inf
94.1229  inf
93.4427  inf
92.6908  inf
91.8627  inf
90.9544  inf
89.9629  inf
88.8858  inf
87.7225  inf
86.4743  inf
85.1447  inf
83.7409  inf
82.2738  inf
80.7596  inf
78.3156  inf
75.7472  inf
73.1311  inf
70.5119  inf
67.9478  inf
65.5132  inf
61.7737  inf
58.1136  inf
54.7973  inf
51.5214  inf
47.4734  inf
43.5226  inf
39.8426  inf
36.0875  inf
32.0446  inf
28.1239  inf
24.5473  inf
21.3154  inf
18.3373  inf
16.2265  inf
12.7694  inf
10.2477  inf
8.6067  inf
8.1409  inf
9.9241  inf
14.9263  inf
24.1951  inf
48.2603  inf
94.0124  inf
165.1085  inf
265.6203  inf
400.0721  inf
573.4823  inf
791.4079  inf
1059.9937  inf
91.6858  inf
90.7366  inf
89.7022  inf
88.5824  inf
87.3794  inf
86.0983  inf
84.7486  inf
83.3447  inf
81.5306  inf
79.0466  inf
76.498  inf
73.9288  inf
71.3977  inf
68.9813  inf
65.6309  inf
61.9119  inf
58.5313  inf
55.2891  inf
51.1713  inf
47.1116  inf
43.4463  inf
39.526  inf
35.1887  inf
31.188  inf
27.5449  inf
23.8171  inf
20.8493  inf
17.8977  inf
14.1044  inf
11.0391  inf
9.5237  inf
9.072  inf
11.2414  inf
17.0186  inf
32.0555  inf
67.9206  inf
128.7223  inf
218.5894  inf
342.1089  inf
504.3669  inf
710.9941  inf
968.2144  inf
1282.8989  inf
1662.6249  inf
2115.7401  inf
2651.433  inf
3279.8102  inf
4011.9809  inf
4860.1487  inf
5837.7129  inf
88.6422  inf
87.4434  inf
86.1738  inf
84.8466  inf
83.4814  inf
81.0718  inf
78.582  inf
76.0595  inf
73.5625  inf
71.1675  inf
68.1753  inf
64.4273  inf
61.0063  inf
57.8107  inf
53.7399  inf
49.6234  inf
45.9776  inf
41.8549  inf
37.5142  inf
33.4983  inf
29.7037  inf
25.8114  inf
22.722  inf
19.4519  inf
15.294  inf
11.9335  inf
10.0023  inf
9.4665  inf
11.9815  inf
18.6253  inf
39.124  inf
82.8147  inf
153.7211  inf
256.3168  inf
395.5657  inf
576.9653  inf
806.5943  inf
1091.1647  inf
1438.0789  inf
1855.4925  inf
2352.3827  inf
2938.6233  inf
3625.0671  inf
4423.6357  inf
5347.4178  inf
6410.7769  inf
7629.469  inf
9020.7711  inf
10603.6214  inf
12398.773  inf
86.1467  inf
84.843  inf
83.0104  inf
80.5844  inf
78.1071  inf
75.6318  inf
73.2305  inf
70.8743  inf
67.0647  inf
63.5351  inf
60.3767  inf
56.6382  inf
52.4349  inf
48.5755  inf
44.5584  inf
40.2302  inf
36.1542  inf
32.2238  inf
28.1172  inf
25.1099  inf
21.6584  inf
17.1733  inf
13.2982  inf
11.1002  inf
9.9029  inf
11.8554  inf
17.9437  inf
38.2194  inf
82.4023  inf
154.6797  inf
259.7056  inf
402.6417  inf
589.2016  inf
825.6999  inf
1119.1056  inf
1477.1008  inf
1908.145  inf
2421.5458  inf
3027.5363  inf
3737.3594  inf
4563.3608  inf
5519.0905  inf
6619.4137  inf
7880.632  inf
9320.6163  inf
10958.9516  inf
12817.0951  inf
14918.5496  inf
17289.0514  inf
19956.7769  inf
83.7821  inf
81.3893  inf
78.9445  inf
76.5024  inf
74.1372  inf
71.8359  inf
68.0463  inf
64.5482  inf
61.4173  inf
57.616  inf
53.4231  inf
49.633  inf
45.4817  inf
41.17  inf
37.1455  inf
33.0372  inf
29.0532  inf
25.8642  inf
21.9639  inf
17.7151  inf
13.8479  inf
11.4729  inf
10.7899  inf
13.0582  inf
21.1484  inf
47.9914  inf
100.5747  inf
183.3682  inf
301.3352  inf
459.9756  inf
665.372  inf
924.2417  inf
1243.9922  inf
1632.7835  inf
2099.5954  inf
2654.3023  inf
3307.7542  inf
4071.8664  inf
4959.7167  inf
5985.653  inf
