# chi2  Jfactor[GeV2/cm5]
39.4147  5.2798584455e+21
38.2567  5.6352598919e+21
37.1454  6.0103071699e+21
36.08  6.4061207132e+21
35.0598  6.8239064255e+21
34.0836  7.2649417723e+21
33.1503  7.730614507e+21
32.2586  8.2223805063e+21
91.8639  1.0817436205e+20
91.0914  1.262338139e+20
90.2612  1.4695038208e+20
89.3715  1.7063330392e+20
88.4213  1.9762197763e+20
87.4094  2.2827110172e+20
86.3355  2.6295112671e+20
85.1995  3.0206483018e+20
84.0017  3.4602213163e+20
82.7429  3.952600165e+20
81.4247  4.5021553923e+20
80.0489  5.1135307392e+20
78.6179  5.7911074705e+20
77.1349  6.5398014962e+20
75.6033  7.3644002995e+20
74.0272  8.2696527092e+20
72.411  9.2602207027e+20
70.7598  1.0341244912e+21
69.0789  1.1517312695e+21
67.3739  1.2793469281e+21
65.6507  1.4174209787e+21
63.9153  1.5664685193e+21
62.174  1.7269608738e+21
60.433  1.8993796795e+21
58.6983  2.084232067e+21
56.976  2.2820228822e+21
55.272  2.4932698015e+21
53.5917  2.7185045786e+21
51.7208  2.9582872806e+21
49.8376  3.2132106605e+21
47.9964  3.483885379e+21
46.2011  3.770956281e+21
44.4557  4.0751186508e+21
42.7634  4.397107414e+21
41.1267  4.7377183306e+21
39.5479  5.0978081601e+21
38.0287  5.4782726e+21
36.5703  5.8801063929e+21
35.1733  6.3043611104e+21
33.8381  6.7521877831e+21
32.5646  7.224795104e+21
31.3524  7.7235323682e+21
30.2008  8.249778821e+21
29.1086  8.8050935811e+21
28.0748  9.3911049529e+21
27.0976  1.0009563614e+22
26.1757  1.066235379e+22
25.307  1.1351471519e+22
24.4899  1.2079085167e+22
23.7223  1.2847469541e+22
90.462  1.5577108135e+20
89.5569  1.8177669201e+20
88.586  2.1160855019e+20
87.5478  2.4571195765e+20
86.4414  2.8457564778e+20
85.2661  3.2871038648e+20
84.0219  3.7864962246e+20
82.7093  4.3497335546e+20
81.3293  4.9827186955e+20
79.8837  5.6917442377e+20
78.3748  6.483103765e+20
76.8056  7.3634842645e+20
75.1796  8.3391947575e+20
73.5012  9.4173141545e+20
71.7753  1.0604736431e+21
70.0072  1.1908299901e+21
68.203  1.3334717812e+21
66.369  1.4891392673e+21
64.5121  1.6584930281e+21
62.6395  1.8422595765e+21
60.7583  2.0410862093e+21
58.8761  2.2557146679e+21
57.0004  2.4868236583e+21
54.8126  2.7351067385e+21
52.6457  3.0012941765e+21
50.5092  3.2861129503e+21
48.4102  3.5903085142e+21
46.3554  3.9146465932e+21
44.3509  4.259933684e+21
42.4023  4.6270233511e+21
40.5144  5.0167949458e+21
38.6916  5.4301770446e+21
36.9376  5.8681708572e+21
35.2553  6.3318346762e+21
33.647  6.822314396e+21
32.1144  7.3408437506e+21
30.6587  7.888712544e+21
29.2804  8.4673532058e+21
27.9795  9.078279999e+21
26.7555  9.7231504076e+21
25.6075  1.040370495e+22
24.5343  1.112188661e+22
23.5341  1.1879681502e+22
22.6051  1.2679334757e+22
21.7452  1.3523191132e+22
20.9337  1.4413771605e+22
20.0619  1.5353789457e+22
19.2551  1.6346118988e+22
18.5105  1.7393882641e+22
17.8253  1.8500356139e+22
89.0984  2.1202174962e+20
88.0678  2.4741827524e+20
86.9644  2.8802274887e+20
85.7872  3.3444127569e+20
84.5355  3.8733907615e+20
83.2092  4.4741135937e+20
81.8089  5.1538420834e+20
80.3358  5.9204706716e+20
78.7919  6.78203378e+20
77.1798  7.7470963235e+20
75.503  8.824224569e+20
73.7657  1.0022520249e+21
71.9728  1.1350570642e+21
70.13  1.2818010932e+21
68.2436  1.4434224587e+21
66.3206  1.620851931e+21
64.3685  1.8150032577e+21
62.3952  2.0268840028e+21
60.4091  2.2573932883e+21
58.148  2.5075199791e+21
55.7849  2.7781451183e+21
53.4355  3.0702782979e+21
51.1092  3.3848433126e+21
48.8151  3.7227841718e+21
46.5622  4.0850948513e+21
44.3586  4.4727648491e+21
42.2124  4.886808811e+21
40.1305  5.3282689741e+21
38.1195  5.7982430699e+21
36.185  6.2978928946e+21
34.3321  6.8284153429e+21
32.5647  7.3910743107e+21
30.8863  7.9872325556e+21
29.2994  8.6183305315e+21
27.8056  9.2859279279e+21
26.4061  9.9917039939e+21
25.1012  1.0737414296e+22
23.8904  1.152500853e+22
22.6064  1.2356547776e+22
21.3925  1.3234288055e+22
20.273  1.4160598404e+22
19.2456  1.5138123442e+22
18.3075  1.6169566489e+22
17.4557  1.7257983419e+22
16.6871  1.8406565708e+22
15.9409  1.9618744684e+22
15.2307  2.0898213428e+22
14.5953  2.2248884178e+22
14.0308  2.3675006928e+22
13.5337  2.5181040301e+22
87.7728  2.7692636685e+20
86.6237  3.2315856358e+20
85.3961  3.7619297812e+20
84.0892  4.3682125805e+20
82.703  5.0591226272e+20
81.238  5.843740204e+20
79.6955  6.7315488437e+20
78.0777  7.7328596527e+20
76.3876  8.8581665698e+20
74.629  1.0118656423e+21
72.8065  1.1525517804e+21
70.9257  1.3090638692e+21
68.9931  1.4825235124e+21
67.0158  1.674189183e+21
65.0016  1.8852864767e+21
62.9592  2.1170310936e+21
60.6503  2.3706164999e+21
58.1589  2.6473586975e+21
55.6659  2.94843205e+21
53.1823  3.2751281359e+21
50.7191  3.6285977055e+21
48.2871  4.0101594095e+21
45.8972  4.4210198369e+21
43.5593  4.8624119795e+21
41.2834  5.3356340915e+21
39.0782  5.8419785784e+21
36.9523  6.3827706919e+21
34.913  6.9593717212e+21
32.967  7.5732154383e+21
31.1199  8.2258192909e+21
29.3763  8.9187465704e+21
27.7401  9.6536480793e+21
26.1856  1.0432303746e+22
24.535  1.125659498e+22
23.0021  1.2128558926e+22
21.5872  1.305038889e+22
20.2896  1.4024377856e+22
19.0461  1.5053072366e+22
17.8493  1.6139164443e+22
16.7669  1.7285600725e+22
15.7957  1.8495475466e+22
14.9323  1.9772242863e+22
14.1726  2.1119433782e+22
13.5127  2.2541039568e+22
12.9481  2.404122868e+22
12.4275  2.5624482853e+22
11.8585  2.7295625702e+22
11.3756  2.9059767089e+22
10.974  3.0922458028e+22
10.649  3.2889522025e+22
86.485  3.5048493305e+20
85.2244  4.0899755703e+20
83.8806  4.7611923793e+20
82.4533  5.5285190471e+20
80.9432  6.4029520751e+20
79.3515  7.3959836957e+20
77.6806  8.5196165053e+20
75.9336  9.786900498e+20
74.1147  1.1211117065e+21
72.2289  1.2806424535e+21
70.2824  1.4586983471e+21
68.2822  1.6567839595e+21
66.2362  1.8763188204e+21
64.1533  2.1188956848e+21
61.6285  2.386065697e+21
59.042  2.6793674778e+21
56.4452  3.0003115077e+21
53.8504  3.3505633515e+21
51.27  3.7316093132e+21
48.7166  4.145084047e+21
46.2026  4.592443971e+21
43.7402  5.0753580027e+21
41.341  5.5953532311e+21
39.0162  6.1539901616e+21
36.7762  6.7529118971e+21
34.6306  7.3937541382e+21
32.588  8.0781941569e+21
30.656  8.8079548347e+21
28.8394  9.5848507891e+21
26.8699  1.041080254e+22
25.0318  1.1287788628e+22
23.3285  1.221789835e+22
21.6106  1.3203384429e+22
20.0245  1.4246628022e+22
18.58  1.5350207391e+22
17.2764  1.6516898439e+22
16.1118  1.7749603224e+22
15.0839  1.9051544713e+22
14.1893  2.0426129998e+22
13.3254  2.1877088417e+22
12.4576  2.3408336137e+22
11.7158  2.5024244873e+22
11.0949  2.672928338e+22
10.5894  2.8528503203e+22
10.1936  3.0427180048e+22
9.9019  3.2430986111e+22
9.7083  3.4546026279e+22
9.6071  3.6778767722e+22
9.4442  3.9136235942e+22
9.3242  4.1625801313e+22
85.2349  4.326974482e+20
83.8696  5.0493525559e+20
82.4175  5.8780152831e+20
80.879  6.825332157e+20
79.2554  7.9048791051e+20
77.549  9.1308440688e+20
75.7632  1.0518045068e+21
73.9022  1.2082593207e+21
71.9715  1.3840885265e+21
69.9776  1.581040066e+21
67.9282  1.8008621569e+21
65.8318  2.0454122957e+21
63.2868  2.3164429882e+21
60.6343  2.6159205985e+21
57.9601  2.9457601198e+21
55.2773  3.3078610837e+21
52.5995  3.7040882811e+21
49.9407  4.1364979649e+21
47.3149  4.6069250781e+21
44.7361  5.1173877124e+21
42.2182  5.6696839148e+21
39.7743  6.2658740774e+21
37.4173  6.9078434951e+21
35.1591  7.597518718e+21
33.0106  8.336928268e+21
30.9656  9.1280915287e+21
28.7522  9.973079206e+21
26.6747  1.0874018314e+22
24.5589  1.1833149122e+22
22.5986  1.2852842642e+22
20.7978  1.3935541516e+22
19.1592  1.5083825124e+22
17.6844  1.6300474603e+22
16.3735  1.7588429656e+22
15.2254  1.8950873322e+22
13.9774  2.0391232641e+22
12.8785  2.19130904e+22
11.9401  2.3520425572e+22
11.1575  2.5217444442e+22
10.5256  2.7008751132e+22
10.0385  2.8899180416e+22
9.6901  3.0894129473e+22
9.2651  3.2999115284e+22
8.9418  3.5220374324e+22
8.7429  3.7564419812e+22
8.6614  4.0038254458e+22
8.6902  4.2649415159e+22
8.8223  4.5405886077e+22
9.0508  4.8316340669e+22
9.3692  5.1389878165e+22
84.0221  5.2356391233e+20
82.559  6.1097165927e+20
81.0066  7.1123984926e+20
79.3658  8.2586519099e+20
77.6391  9.5649037171e+20
75.8297  1.1048321323e+21
73.9422  1.2726834533e+21
71.982  1.4619937781e+21
69.9563  1.6747471171e+21
67.8729  1.9130584799e+21
65.4854  2.1790432099e+21
62.7972  2.4749488778e+21
60.0735  2.8028960157e+21
57.3278  3.1652639241e+21
54.5743  3.564369745e+21
51.8282  4.0025119113e+21
49.1047  4.4819468201e+21
46.4196  5.0051625375e+21
43.7884  5.5743793445e+21
41.2267  6.192039132e+21
38.7494  6.860317537e+21
36.371  7.5817076336e+21
34.105  8.3584906291e+21
31.7793  9.1929976488e+21
29.3804  1.0087683204e+22
26.9676  1.104499075e+22
24.7174  1.2067425839e+22
22.638  1.315756216e+22
20.7358  1.4318110438e+22
19.0156  1.5551939597e+22
17.4807  1.6862005235e+22
15.9898  1.82514284e+22
14.5149  1.972357427e+22
13.2334  2.1281999884e+22
12.143  2.293055672e+22
11.2404  2.4673391495e+22
10.5214  2.6514839384e+22
9.8612  2.8459714942e+22
9.2119  3.0513107774e+22
8.7352  3.268058887e+22
8.4236  3.4968008303e+22
8.2695  3.7381896662e+22
8.2647  3.9928929494e+22
8.4012  4.2616652932e+22
8.531  4.5452947972e+22
8.6845  4.8446287894e+22
8.9605  5.1605792343e+22
9.3508  5.4941122153e+22
9.8473  5.8462772209e+22
10.4421  6.2181752579e+22
82.8464  6.2308432541e+20
81.2924  7.2710676805e+20
79.6473  8.4643420077e+20
77.9133  9.828478306e+20
76.0936  1.1383025911e+21
74.1928  1.3148415459e+21
72.2165  1.5145984898e+21
70.172  1.7398934219e+21
68.0675  1.9930874782e+21
65.4081  2.2766976951e+21
62.6649  2.593241506e+21
59.8841  2.9453937058e+21
57.0801  3.335677903e+21
54.2684  3.7669256618e+21
51.4653  4.2418945725e+21
48.6876  4.7633199605e+21
45.9526  5.3338871247e+21
43.2774  5.9565570694e+21
40.6794  6.6339721124e+21
38.1754  7.3690383059e+21
35.7814  8.1643448374e+21
33.2822  9.0228586714e+21
30.5759  9.947294633e+21
27.9931  1.0940426954e+22
25.5815  1.2005176706e+22
23.3521  1.3144451801e+22
21.3145  1.4361234057e+22
19.4763  1.5658586373e+22
17.7442  1.7039734736e+22
15.966  1.8508093404e+22
14.4063  2.0067179783e+22
13.0662  2.1720708178e+22
11.9449  2.3472683429e+22
11.0403  2.5327338705e+22
10.0315  2.7289257584e+22
9.2289  2.9363375002e+22
8.6366  3.1554850176e+22
8.2476  3.3869412823e+22
8.0544  3.6313119996e+22
8.0131  3.8892601631e+22
7.8969  4.1614819799e+22
7.9574  4.4487546441e+22
8.1851  4.7518726009e+22
8.57  5.0717339027e+22
9.1025  5.4092764529e+22
9.7727  5.7655086419e+22
10.4576  6.1415157829e+22
11.1281  6.538447595e+22
11.9146  6.9575530563e+22
12.808  7.4001424557e+22
81.7078  7.3125868746e+20
80.0694  8.5334058195e+20
78.3394  9.9338458284e+20
76.5209  1.1534811345e+21
74.6183  1.3359245688e+21
72.6374  1.5431126476e+21
70.5854  1.7775496165e+21
68.3553  2.041958252e+21
65.6248  2.3391096098e+21
62.8395  2.6719577116e+21
60.0137  3.0434570452e+21
57.1626  3.4567467797e+21
54.3027  3.91478865e+21
51.4516  4.4209058114e+21
48.6275  4.9783346025e+21
45.8491  5.5902852314e+21
43.1353  6.259909195e+21
40.5052  6.9906815606e+21
37.9773  7.7857033819e+21
35.3949  8.6483852339e+21
32.4638  9.5817658161e+21
29.6907  1.0589327191e+22
27.0916  1.1674255507e+22
24.6812  1.2839806633e+22
22.4724  1.4089408773e+22
20.4763  1.5426474683e+22
18.4544  1.6854503858e+22
16.521  1.8377090951e+22
14.8284  1.9998022017e+22
13.3802  2.1721304065e+22
12.178  2.3551065162e+22
10.9072  2.5491664459e+22
9.8337  2.7547802079e+22
9.0087  2.9724446119e+22
8.427  3.2026975915e+22
8.0824  3.4461183163e+22
7.7279  3.7033122776e+22
7.5058  3.9749519216e+22
7.5039  4.2617481106e+22
7.7121  4.5644789414e+22
8.1196  4.8839614903e+22
8.714  5.2211078809e+22
9.1924  5.576850483e+22
9.8446  5.9522432608e+22
10.6592  6.3483869482e+22
11.625  6.7664650034e+22
12.7309  7.2077511619e+22
13.9661  7.673594747e+22
