# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
95.5983  inf
95.0933  inf
94.5313  inf
93.9078  inf
93.218  inf
92.4574  inf
91.6215  inf
90.7062  inf
89.7081  inf
88.6243  inf
87.4533  inf
86.1947  inf
84.8501  inf
83.4235  inf
81.9217  inf
80.355  inf
78.6271  inf
76.0761  inf
73.4459  inf
70.766  inf
68.0751  inf
65.4227  inf
62.8709  inf
59.422  inf
55.6868  inf
52.2203  inf
48.9964  inf
45.518  inf
41.5065  inf
37.798  inf
34.0156  inf
30.4795  inf
26.744  inf
23.137  inf
19.7759  inf
16.9305  inf
14.6534  inf
12.8876  inf
10.4284  inf
8.5408  inf
7.5873  inf
8.1527  inf
10.2858  inf
15.3058  inf
23.6714  inf
37.4743  inf
66.0382  inf
113.9737  inf
184.2395  inf
280.1026  inf
92.1886  inf
91.2958  inf
90.3184  inf
89.2538  inf
88.1008  inf
86.8603  inf
85.5355  inf
84.1328  inf
82.6627  inf
81.1404  inf
78.7154  inf
76.1286  inf
73.4876  inf
70.8356  inf
68.2289  inf
65.7389  inf
62.0291  inf
58.3027  inf
54.8976  inf
51.5916  inf
47.5716  inf
43.55  inf
39.7845  inf
35.9218  inf
31.9745  inf
27.9287  inf
24.2951  inf
20.9956  inf
17.9795  inf
15.6052  inf
12.7602  inf
10.0025  inf
8.5415  inf
8.2388  inf
9.5082  inf
13.752  inf
21.6195  inf
35.6448  inf
66.8967  inf
119.0783  inf
195.389  inf
299.3558  inf
434.8612  inf
606.173  inf
817.9764  inf
1075.4092  inf
1384.1  inf
1750.2099  inf
2180.4775  inf
2682.2681  inf
89.2193  inf
88.0533  inf
86.8028  inf
85.4738  inf
84.0763  inf
82.6256  inf
80.4584  inf
77.9199  inf
75.3229  inf
72.7125  inf
70.1481  inf
67.7064  inf
63.9983  inf
60.2838  inf
56.9158  inf
53.5607  inf
49.3708  inf
45.3198  inf
41.5319  inf
37.6808  inf
33.4171  inf
29.3525  inf
25.6376  inf
22.2547  inf
19.228  inf
16.5256  inf
12.8004  inf
10.4117  inf
8.8542  inf
8.4123  inf
10.684  inf
16.1353  inf
26.0919  inf
50.259  inf
95.1262  inf
163.9424  inf
260.2886  inf
388.1049  inf
551.7202  inf
755.8849  inf
1005.8058  inf
1307.1843  inf
1666.2585  inf
2089.8478  inf
2585.4033  inf
3161.0605  inf
3825.6981  inf
4589.0015  inf
5461.5314  inf
6454.7992  inf
86.6839  inf
85.3563  inf
83.9712  inf
82.2483  inf
79.7707  inf
77.223  inf
74.6483  inf
72.1047  inf
69.6677  inf
66.348  inf
62.589  inf
59.1571  inf
55.8829  inf
51.7429  inf
47.6211  inf
43.877  inf
39.9149  inf
35.5277  inf
31.4163  inf
27.6336  inf
23.9746  inf
20.8919  inf
17.7889  inf
13.9037  inf
11.2275  inf
9.4219  inf
8.8802  inf
11.002  inf
16.8582  inf
27.8498  inf
56.3384  inf
106.9744  inf
183.2249  inf
288.9071  inf
428.2168  inf
605.7591  inf
826.5825  inf
1096.2157  inf
1420.7073  inf
1806.67  inf
2261.3277  inf
2792.568  inf
3408.9977  inf
4120.0051  inf
4935.8256  inf
5867.6154  inf
6927.5293  inf
8128.8065  inf
9485.8638  inf
11014.3959  inf
84.5759  inf
82.913  inf
80.4621  inf
77.9429  inf
75.4011  inf
72.8981  inf
70.5142  inf
67.0816  inf
63.3673  inf
60.0114  inf
56.6955  inf
52.4237  inf
48.3381  inf
44.6116  inf
40.5364  inf
36.1377  inf
32.1026  inf
28.3752  inf
24.4815  inf
21.3118  inf
17.8691  inf
13.8787  inf
10.9801  inf
9.4247  inf
9.4461  inf
12.4385  inf
19.3485  inf
36.8454  inf
75.3342  inf
138.23  inf
229.2948  inf
352.6648  inf
512.8811  inf
714.9222  inf
964.2401  inf
1266.7992  inf
1629.1194  inf
2058.3224  inf
2562.1824  inf
3149.1819  inf
3828.5714  inf
4610.435  inf
