# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
94.9495  inf
94.35  inf
93.6833  inf
92.9449  inf
92.1303  inf
91.2358  inf
90.2589  inf
89.1983  inf
88.0546  inf
86.8311  inf
85.5344  inf
84.1757  inf
82.7717  inf
80.7065  inf
78.2214  inf
75.6871  inf
73.1526  inf
70.6832  inf
68.3638  inf
64.6188  inf
61.0342  inf
57.856  inf
54.5413  inf
50.263  inf
46.3755  inf
42.7436  inf
38.6059  inf
34.5652  inf
30.881  inf
26.9474  inf
23.4185  inf
20.7494  inf
17.0835  inf
13.6518  inf
10.867  inf
9.6655  inf
10.0286  inf
13.5904  inf
24.8757  inf
56.6625  inf
114.7573  inf
203.8849  inf
329.3436  inf
497.0611  inf
713.6555  inf
986.5034  inf
1323.8134  inf
1734.708  inf
2229.3134  inf
2818.8579  inf
91.1681  inf
90.1696  inf
89.0898  inf
87.9326  inf
86.7057  inf
85.4219  inf
84.1006  inf
81.9644  inf
79.5226  inf
77.0454  inf
74.5912  inf
72.2381  inf
69.4958  inf
65.7703  inf
62.376  inf
59.2538  inf
55.2432  inf
51.1555  inf
47.5586  inf
43.3404  inf
39.1118  inf
35.254  inf
31.1541  inf
27.5683  inf
24.2179  inf
20.6376  inf
16.4652  inf
13.2037  inf
11.1474  inf
10.4833  inf
13.2951  inf
24.7885  inf
57.8902  inf
118.8279  inf
212.6412  inf
344.9762  inf
522.1444  inf
751.1864  inf
1039.9426  inf
1397.1312  inf
1832.4332  inf
2356.5875  inf
2981.4938  inf
3720.328  inf
4587.6671  inf
5599.6284  inf
6774.022  inf
8130.5179  inf
9690.8312  inf
11478.9244  inf
88.0976  inf
86.8944  inf
85.6462  inf
84.1398  inf
81.7737  inf
79.3525  inf
76.9302  inf
74.5796  inf
72.3979  inf
68.738  inf
65.2372  inf
62.1615  inf
58.4983  inf
54.3217  inf
50.515  inf
46.4033  inf
42.1871  inf
38.2619  inf
34.0456  inf
30.1726  inf
26.8132  inf
23.1497  inf
18.7111  inf
14.9575  inf
12.3476  inf
11.149  inf
13.4573  inf
25.1346  inf
59.2264  inf
122.2952  inf
219.6266  inf
357.14  inf
541.4485  inf
779.9254  inf
1080.7776  inf
1453.1251  inf
1907.0908  inf
2453.8978  inf
3105.9772  inf
3877.087  inf
4782.443  inf
5838.8625  inf
7064.9233  inf
8481.1377  inf
10110.1448  inf
11976.9205  inf
14109.0102  inf
16536.7827  inf
19293.7101  inf
22416.675  inf
85.7246  inf
83.8257  inf
81.464  inf
79.0727  inf
76.7165  inf
74.4831  inf
71.6698  inf
68.0394  inf
64.8028  inf
61.7127  inf
57.4603  inf
53.4928  inf
49.7282  inf
45.4481  inf
41.4803  inf
37.3301  inf
33.0761  inf
29.9612  inf
26.1613  inf
21.4224  inf
17.0681  inf
14.1272  inf
12.0878  inf
12.9421  inf
21.6394  inf
50.9113  inf
109.0167  inf
201.3188  inf
333.8251  inf
513.2487  inf
747.0744  inf
1043.6328  inf
1412.1813  inf
1862.9936  inf
2407.4583  inf
3058.1882  inf
3829.14  inf
4735.7468  inf
5795.0636  inf
7025.928  inf
8449.1364  inf
10087.6383  inf
11966.7501  inf
14114.389  inf
16561.3314  inf
19341.4961  inf
22492.255  inf
26054.775  inf
30074.3928  inf
34601.0264  inf
82.3591  inf
79.9994  inf
77.6703  inf
75.4597  inf
72.8359  inf
69.2079  inf
65.9706  inf
62.9381  inf
58.717  inf
54.7513  inf
50.9733  inf
46.6764  inf
42.7743  inf
38.531  inf
34.3058  inf
31.1279  inf
27.2912  inf
22.3818  inf
17.904  inf
14.7847  inf
12.6586  inf
13.9176  inf
24.6277  inf
58.1524  inf
121.9819  inf
221.7437  inf
363.7383  inf
555.0026  inf
803.3785  inf
1117.5899  inf
1507.3265  inf
1983.3372  inf
2557.5324  inf
3243.0976  inf
4054.6182  inf
5008.2173  inf
6121.7072  inf
7414.7564  inf
8909.0736  inf
