# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.4335  1.7166663763e+19
96.2201  2.0381459467e+19
95.9836  2.4168492325e+19
95.7221  2.8621219083e+19
95.4337  3.384831047e+19
95.1164  3.9972882422e+19
94.7588  4.7133640992e+19
94.2545  5.5491746751e+19
93.7068  6.5228276589e+19
93.1135  7.6547851754e+19
92.4722  8.9680999704e+19
91.7807  1.0488897805e+20
91.0369  1.2245893838e+20
90.2389  1.4272310478e+20
89.3848  1.6604569735e+20
88.473  1.9283446805e+20
87.5021  2.2354496885e+20
86.471  2.5868070442e+20
85.3787  2.9880094115e+20
84.2248  3.4453545103e+20
83.0091  3.9656102254e+20
81.7318  4.5565099955e+20
80.3936  5.2264214663e+20
78.9955  5.984569749e+20
77.5391  6.8412385156e+20
76.0265  7.8074169008e+20
74.4605  8.8960243337e+20
72.8441  1.0120424191e+21
71.1811  1.1495631496e+21
69.4762  1.3038178251e+21
67.7342  1.4766154852e+21
65.961  1.6699400973e+21
64.1629  1.8859332843e+21
62.1289  2.1270657828e+21
59.7987  2.3959317766e+21
57.4483  2.6954167206e+21
55.0867  3.028664681e+21
52.7237  3.3991484435e+21
50.3702  3.810657142e+21
48.0377  4.2673613593e+21
45.7387  4.7737994767e+21
43.4869  5.3349957564e+21
41.2969  5.9563730225e+21
39.1845  6.6439599383e+21
37.1665  7.4043053851e+21
34.8863  8.2445855472e+21
32.3082  9.1726696976e+21
29.8572  1.0197153528e+22
27.5552  1.1327472571e+22
25.426  1.2573924404e+22
94.676  6.8666655052e+19
94.1175  8.1525837867e+19
93.5055  9.6673969299e+19
92.8365  1.1448487633e+20
92.1072  1.3539324188e+20
91.3143  1.5989152969e+20
90.4548  1.8853456397e+20
89.5258  2.21966987e+20
88.5245  2.6091310635e+20
87.4487  3.0619140702e+20
86.2964  3.5872399881e+20
85.0662  4.1955591219e+20
83.7571  4.8983575352e+20
82.3689  5.708924191e+20
80.9022  6.6418278939e+20
79.3582  7.7133787219e+20
77.7391  8.9417987539e+20
76.0482  1.0347228177e+21
74.2898  1.1952037646e+21
72.4694  1.3781418041e+21
70.5939  1.5862440902e+21
68.6713  1.8226039982e+21
66.296  2.0905685865e+21
63.7036  2.3938278996e+21
61.0713  2.7364954062e+21
58.4131  3.1229667603e+21
55.7444  3.5584097335e+21
53.0826  4.0481696763e+21
50.4465  4.5982525984e+21
47.8571  5.2152713004e+21
45.3372  5.9064619407e+21
42.9114  6.6797603891e+21
40.1655  7.5437331371e+21
37.0815  8.5082631311e+21
34.1467  9.5837271064e+21
31.3936  1.0781666882e+22
28.857  1.2114658724e+22
26.4479  1.3596593774e+22
23.8276  1.5242628568e+22
21.5251  1.7069445437e+22
19.3172  1.9095197907e+22
17.0855  2.1339983025e+22
15.2612  2.382549209e+22
13.3597  2.6575839753e+22
11.5064  2.961722154e+22
10.0865  3.2978342189e+22
8.6259  3.669067879e+22
7.6505  4.0788614112e+22
6.8845  4.5309890285e+22
6.4168  5.0295697614e+22
92.4688  1.5449997387e+20
91.6716  1.834331352e+20
90.8023  2.1751643092e+20
89.8572  2.5759097175e+20
88.8331  3.0463479423e+20
87.7271  3.597559418e+20
86.5367  4.2420276893e+20
85.26  4.9942572075e+20
83.8961  5.870544893e+20
82.4446  6.8893066578e+20
80.9063  8.0712899733e+20
79.2831  9.4400080242e+20
77.5782  1.1021304454e+21
75.7963  1.284507943e+21
73.9435  1.4944112761e+21
72.0279  1.7355102124e+21
69.7404  2.0119047196e+21
67.0656  2.3281263398e+21
64.3321  2.6892084703e+21
61.5559  3.1008190593e+21
58.7555  3.5690492029e+21
55.9521  4.100858996e+21
53.1697  4.7037793197e+21
50.4348  5.3861127741e+21
47.7769  6.157114664e+21
44.9808  7.0266752107e+21
41.5597  8.0064219003e+21
38.2858  9.1083817716e+21
35.2005  1.0346068346e+22
32.3486  1.1734360426e+22
29.5988  1.3289539367e+22
