# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.0438  6.7310039287e+19
95.7258  8.0559083549e+19
95.257  9.63697423e+19
94.7377  1.1522050968e+20
94.164  1.3768293032e+20
93.5318  1.6442620106e+20
92.8368  1.9623102993e+20
92.0751  2.3403120028e+20
91.2426  2.7891616084e+20
90.3355  3.3216328023e+20
89.3503  3.9526750472e+20
88.284  4.6998842487e+20
87.134  5.5835107867e+20
85.8986  6.6277370533e+20
84.577  7.8604016013e+20
83.1694  9.3140113404e+20
81.6777  1.1026483488e+21
80.1054  1.3041740867e+21
78.4581  1.5410824158e+21
76.7438  1.819358191e+21
74.9734  2.1458160048e+21
72.4276  2.5285130722e+21
69.766  2.9766606544e+21
67.0464  3.5009300005e+21
64.2938  4.1137211073e+21
61.539  4.8284306462e+21
58.8193  5.6632253989e+21
56.1796  6.6363547969e+21
53.0653  7.7698127628e+21
49.4014  9.0889927952e+21
45.9268  1.0623097885e+22
42.7242  1.2405755856e+22
39.6529  1.4475748623e+22
36.4861  1.6877651592e+22
32.9255  1.9662878755e+22
29.5257  2.2890554216e+22
26.0859  2.662844959e+22
22.8773  3.0954767075e+22
19.8788  3.5959184961e+22
17.0625  4.1744968722e+22
14.4222  4.8430336301e+22
12.1712  5.6151757103e+22
10.3326  6.5064798861e+22
8.9382  7.5349323499e+22
8.2875  8.7211006082e+22
7.9706  1.0088592471e+23
7.328  1.1664515078e+23
8.1689  1.3479932139e+23
9.8694  1.5570521669e+23
12.9347  1.7977146635e+23
93.1247  2.6924015715e+20
92.3507  3.2223633419e+20
91.5002  3.854789692e+20
90.5687  4.6088203871e+20
89.5525  5.5073172126e+20
88.4486  6.5770480423e+20
87.2546  7.8492411973e+20
85.9694  9.3612480111e+20
84.5936  1.1156646433e+21
83.1295  1.3286531209e+21
81.5816  1.5810700189e+21
79.9573  1.8799536995e+21
78.2676  2.2334043147e+21
75.9874  2.6510948213e+21
73.3309  3.1441606405e+21
70.6023  3.7256045361e+21
67.8296  4.4105933953e+21
65.0487  5.2166963467e+21
62.3039  6.1643296634e+21
59.6493  7.2774327639e+21
56.0724  8.5832640191e+21
52.3102  1.0114052289e+22
48.7799  1.1906642617e+22
45.5425  1.4003720002e+22
42.1822  1.6454884429e+22
38.3647  1.9313722585e+22
34.7006  2.2652901596e+22
30.9368  2.6545419187e+22
27.4641  3.1079251051e+22
23.9589  3.6355971181e+22
20.8094  4.2492391541e+22
17.5394  4.9623023426e+22
14.8276  5.7902994494e+22
12.4524  6.7510606369e+22
10.6567  7.8651515022e+22
9.719  9.1562216863e+22
8.4716  1.0651379836e+23
7.4301  1.238190683e+23
7.8091  1.4383673984e+23
9.4034  1.6697987489e+23
12.1032  1.937213452e+23
17.2362  2.2460702841e+23
24.5114  2.6025919544e+23
35.1012  3.01397294e+23
50.5007  3.4884402433e+23
71.5946  4.0354369883e+23
105.2159  4.6658060313e+23
154.125  5.3919728556e+23
220.2129  6.2282086674e+23
305.5322  7.1908586538e+23
90.3817  6.0579035358e+20
89.3253  7.2503175194e+20
88.178  8.673276807e+20
86.9385  1.0369845871e+21
85.6073  1.2391463728e+21
84.187  1.4798358095e+21
82.6827  1.7660792694e+21
81.1028  2.1062808025e+21
79.4598  2.5102454475e+21
77.0057  2.9894695221e+21
74.3445  3.5574075425e+21
71.6155  4.2298958238e+21
68.8524  5.0251597081e+21
66.0979  5.9649633479e+21
63.4055  7.0743614412e+21
60.377  8.3826102063e+21
56.4869  9.9238351394e+21
52.7984  1.173756678e+22
49.4213  1.3869741743e+22
46.0229  1.6374223719e+22
42.1459  1.9312344043e+22
38.269  2.275661765e+22
34.4371  2.6789945889e+22
30.7121  3.1508370005e+22
27.0177  3.7023489966e+22
23.4855  4.3455875816e+22
20.003  5.096902859e+22
16.955  5.9727193172e+22
14.2726  6.9928314865e+22
12.2626  8.1800935157e+22
10.9937  9.5607880967e+22
