# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.8417  5.2908086232e+18
96.6953  6.1937309462e+18
96.5352  7.2345499476e+18
96.3606  8.4304789942e+18
96.1707  9.8006696164e+18
95.9647  1.1365514316e+19
95.742  1.3146526575e+19
95.5017  1.5167549576e+19
95.2433  1.7453527749e+19
94.9663  2.003080539e+19
94.67  2.2927024332e+19
94.354  2.6171365431e+19
94.0181  2.9793554519e+19
93.6619  3.3825969531e+19
93.2854  3.8300881635e+19
92.8884  4.3251827653e+19
92.471  4.8713535102e+19
91.9789  5.4721074414e+19
91.4482  6.1310524679e+19
90.8967  6.8520237687e+19
90.3249  7.6385612786e+19
89.7336  8.4948685736e+19
89.1237  9.4247682332e+19
88.4961  1.0432283206e+20
87.8519  1.1521654288e+20
87.1922  1.2696766429e+20
86.5182  1.39628533e+20
85.8311  1.5324078665e+20
85.1322  1.6785232847e+20
84.4229  1.8351340063e+20
83.7045  2.0027574031e+20
82.9784  2.181935157e+20
82.2458  2.373243071e+20
81.5082  2.5772826631e+20
80.7668  2.7947000986e+20
80.0228  3.0261777173e+20
79.2775  3.2724253863e+20
78.5319  3.5342178078e+20
77.7872  3.8123688986e+20
77.0444  4.1077538951e+20
76.3044  4.4212908193e+20
75.568  4.7539898873e+20
74.836  5.1068817506e+20
74.1092  5.4811180158e+20
73.3881  5.8778978485e+20
72.6732  6.2985041334e+20
71.9651  6.7443118781e+20
71.2642  7.216778327e+20
70.5706  7.7174689103e+20
69.8848  8.2480378117e+20
95.6435  2.1163234493e+19
95.3596  2.4774923785e+19
95.0497  2.8938199791e+19
94.7126  3.3721915977e+19
94.3468  3.9202678465e+19
93.9511  4.5462057265e+19
93.4278  5.2586106299e+19
92.8651  6.0670198304e+19
92.2651  6.9814110995e+19
91.6272  8.012322156e+19
90.9508  9.1708097329e+19
90.2355  1.0468546172e+20
89.4814  1.1917421808e+20
88.6886  1.3530387812e+20
87.8574  1.5320352654e+20
86.9884  1.7300731061e+20
86.0826  1.9485414041e+20
85.141  2.1888429765e+20
84.1651  2.4524209872e+20
83.1563  2.7408095075e+20
82.1166  3.0554245114e+20
81.048  3.3979474295e+20
79.9526  3.7699072933e+20
78.833  4.1729132823e+20
77.6916  4.6086617153e+20
76.5312  5.0787065718e+20
75.3543  5.58514132e+20
74.1639  6.1296314661e+20
72.9628  6.7140931387e+20
71.7538  7.3405360253e+20
70.5396  8.0110296125e+20
69.3231  8.7277406279e+20
68.1069  9.4929722841e+20
66.8935  1.0309130652e+21
65.6854  1.1178800394e+21
64.4848  1.2104710869e+21
63.294  1.3089701545e+21
62.1148  1.4136871231e+21
60.9491  1.5249475594e+21
59.7985  1.643101558e+21
58.6645  1.7685163277e+21
57.5483  1.9015959549e+21
56.451  2.0427527002e+21
55.3737  2.1924472063e+21
54.317  2.3511591394e+21
53.2816  2.5194016534e+21
52.268  2.6977247512e+21
51.2766  2.8867113308e+21
50.3076  3.0869875641e+21
49.3611  3.2992151247e+21
94.4607  4.7617277609e+19
93.932  5.5743578516e+19
93.3602  6.5110949529e+19
92.7435  7.5874310947e+19
92.0804  8.8206026547e+19
91.3693  1.0228962885e+20
90.609  1.1831873917e+20
89.7984  1.3650794618e+20
88.9368  1.5708174974e+20
88.0237  1.8027724851e+20
87.0588  2.0634321899e+20
86.0425  2.3554228888e+20
84.9751  2.6814199067e+20
83.8576  3.0443372578e+20
82.6912  3.4470793471e+20
81.4775  3.8926644887e+20
80.2187  4.3842181591e+20
78.9171  4.9248966972e+20
77.5754  5.5179472211e+20
76.1968  6.1668213919e+20
74.7846  6.8747051507e+20
73.3426  7.6453817163e+20
71.8745  8.4822914098e+20
70.3846  9.3890548852e+20
68.877  1.0369488859e+21
67.3561  1.1427089787e+21
65.8262  1.256656797e+21
64.2919  1.3791670799e+21
62.7574  1.5106709562e+21
61.227  1.6516206057e+21
59.7048  1.8024816628e+21
