# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.3402  2.289995062e+19
96.1111  2.7251858645e+19
95.8566  3.2397331351e+19
95.5746  3.8471185975e+19
95.2628  4.5644004142e+19
94.8524  5.4072444384e+19
94.3384  6.3973502211e+19
93.7776  7.558790525e+19
93.1671  8.9189025476e+19
92.5042  1.05088993e+20
91.786  1.2364314383e+20
91.01  1.4525865972e+20
90.1736  1.7038872736e+20
89.2746  1.9956213247e+20
88.3106  2.333666793e+20
87.2799  2.7246808428e+20
86.1809  3.1761894618e+20
85.0125  3.6966197838e+20
83.7737  4.2954513652e+20
82.4645  4.9834639449e+20
81.085  5.7724448291e+20
79.6362  6.6759703414e+20
78.1196  7.7089481841e+20
76.5377  8.8880695921e+20
74.8936  1.0232104191e+21
73.1914  1.1761907311e+21
71.4361  1.3500722882e+21
69.6341  1.5474413828e+21
67.7924  1.7711848479e+21
65.6938  2.0245207657e+21
63.2183  2.3110155072e+21
60.7059  2.6346309566e+21
58.1686  3.001141393e+21
55.6198  3.4128527002e+21
53.0749  3.876449958e+21
50.5507  4.3979789572e+21
48.0662  4.9841135259e+21
45.6424  5.6423028276e+21
43.3024  6.3807776378e+21
40.9933  7.2086966947e+21
37.9675  8.1361555413e+21
35.0731  9.1744390633e+21
32.3427  1.0335901874e+22
29.8121  1.1634397752e+22
27.5204  1.3085173783e+22
24.9579  1.4705124552e+22
22.6094  1.6512982329e+22
20.5167  1.8529449736e+22
18.2053  2.0777497527e+22
16.3186  2.3282492821e+22
94.3278  9.1599802481e+19
93.72  1.0900743458e+20
93.053  1.295893254e+20
92.3229  1.538847439e+20
91.5261  1.8257601657e+20
90.6588  2.1628977754e+20
89.7178  2.5589400884e+20
88.6999  3.02351621e+20
87.6024  3.5675610191e+20
86.423  4.2035597202e+20
85.16  4.945725753e+20
83.8125  5.810346389e+20
82.3803  6.8155490943e+20
80.8642  7.9824852989e+20
79.2661  9.3346671719e+20
77.5892  1.0898723371e+21
75.8381  1.2704757847e+21
74.019  1.4786479135e+21
72.14  1.7181805461e+21
69.9529  1.993385578e+21
67.3149  2.3089779317e+21
64.6184  2.6703881366e+21
61.8794  3.0835792736e+21
59.1165  3.5552278369e+21
56.3513  4.0928416765e+21
53.6083  4.7047629246e+21
50.9153  5.4002891527e+21
48.3037  6.1897655311e+21
45.4253  7.0847393916e+21
42.0173  8.0980830627e+21
38.763  9.2440620287e+21
35.7087  1.0538523826e+22
32.9051  1.2004565572e+22
30.0535  1.3651410801e+22
27.1826  1.5505799832e+22
24.5957  1.7591915829e+22
21.87  1.9936454103e+22
19.2804  2.2569211311e+22
16.8008  2.5523110551e+22
14.3604  2.8834786779e+22
12.3529  3.2544622165e+22
10.3974  3.6697756253e+22
8.9639  4.1343607495e+22
7.7142  4.6537591009e+22
7.0375  5.2340695131e+22
6.6678  5.8820498207e+22
6.6365  6.6051929317e+22
7.2774  7.4117798945e+22
8.7551  8.3109990106e+22
10.7002  9.3129971286e+22
91.9874  2.0609955558e+20
91.1268  2.4526672781e+20
90.1879  2.9157598216e+20
89.1672  3.4624067378e+20
88.0612  4.1079603728e+20
86.8675  4.8665199946e+20
85.5839  5.757615199e+20
84.2094  6.8029114725e+20
82.744  8.0270122929e+20
81.1889  9.4580093704e+20
79.5469  1.1127882944e+21
77.8225  1.3073279375e+21
76.022  1.5334985462e+21
74.1541  1.7960591923e+21
71.7707  2.1003001137e+21
69.0635  2.4522127585e+21
66.2893  2.8585705157e+21
63.4675  3.3269578055e+21
60.6209  3.8659062287e+21
57.7767  4.4851175504e+21
54.9662  5.1952003462e+21
52.2252  6.0083733072e+21
49.2127  6.9380533657e+21
45.5788  7.9992626329e+21
42.1016  9.208893772e+21
38.8378  1.058571658e+22
35.8496  1.2150650594e+22
32.677  1.3926972445e+22
29.6439  1.5940663631e+22
26.6756  1.8220686891e+22
23.6175  2.0799139564e+22
