# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.2436  3.1427978238e+19
95.9982  3.7480548126e+19
95.7251  4.4658848174e+19
95.4218  5.3165979444e+19
94.9687  6.3234071386e+19
94.449  7.5131988458e+19
93.8795  8.9172626922e+19
93.2568  1.0572092134e+20
92.5777  1.2519676469e+20
91.8388  1.4808429077e+20
91.0371  1.7494006755e+20
90.1695  2.0640806065e+20
89.2332  2.4321372418e+20
88.2255  2.8621038195e+20
87.1443  3.3635869816e+20
85.9876  3.9475856711e+20
84.7541  4.6266724894e+20
83.4431  5.4150975376e+20
82.0544  6.3290705277e+20
80.5889  7.3872377115e+20
79.048  8.6102732174e+20
77.4346  1.0022202564e+21
75.7525  1.1649793095e+21
74.007  1.3523371943e+21
72.2049  1.5677429212e+21
70.3544  1.8149190702e+21
68.0309  2.0985452649e+21
65.4508  2.4234128442e+21
62.8236  2.7950948195e+21
60.1648  3.2198787474e+21
57.4929  3.7048221151e+21
54.829  4.2578618042e+21
52.1976  4.8879423187e+21
49.6263  5.605099143e+21
47.1468  6.4206458061e+21
44.1917  7.347285829e+21
40.9162  8.3992234934e+21
37.8027  9.5924879274e+21
34.8998  1.0944738586e+22
32.2617  1.2476677919e+22
29.4184  1.4210594781e+22
26.7322  1.6171942944e+22
24.1794  1.8388978308e+22
21.6038  2.0893693806e+22
18.8743  2.3721758618e+22
16.3733  2.6913158863e+22
14.1092  3.0512743109e+22
12.0839  3.4570677256e+22
10.2256  3.9143255795e+22
8.7952  4.4293403396e+22
93.9537  1.2571191295e+20
93.2934  1.499221925e+20
92.568  1.786353927e+20
91.7732  2.1266391778e+20
90.9051  2.5293628554e+20
89.96  3.0052795383e+20
88.9343  3.5669050769e+20
87.825  4.2288368538e+20
86.6298  5.0078705874e+20
85.3468  5.9233716306e+20
83.9753  6.997602702e+20
82.5154  8.2563224258e+20
80.9688  9.7285489674e+20
79.3384  1.1448415278e+21
77.6291  1.3454347926e+21
75.8478  1.5790342685e+21
74.0035  1.8506689958e+21
71.5868  2.166039015e+21
68.9005  2.5316282111e+21
66.151  2.9548950846e+21
63.3583  3.4441092869e+21
60.5466  4.0088810258e+21
57.7448  4.6599172381e+21
54.9862  5.4093487771e+21
52.3098  6.2709716848e+21
49.0688  7.2596762807e+21
45.4796  8.3941810598e+21
42.0666  9.6936513769e+21
38.8932  1.1180379278e+22
35.941  1.287951499e+22
32.7341  1.481928846e+22
29.7553  1.7031447217e+22
26.7276  1.9551769275e+22
23.3762  2.2420396572e+22
20.475  2.5682583224e+22
17.5645  2.9389143316e+22
15.0932  3.3596893974e+22
12.6839  3.836995171e+22
10.788  4.3778954344e+22
9.0841  4.9906711674e+22
8.0426  5.6842379122e+22
7.2878  6.4687771774e+22
7.2068  7.3555913231e+22
7.876  8.3574775222e+22
8.3158  9.488703447e+22
9.6896  1.0765263545e+23
11.3446  1.2205097244e+23
14.5018  1.3828270903e+23
18.9894  1.5657302318e+23
24.5148  1.7717361358e+23
91.4778  2.8285180414e+20
90.5518  3.3732493314e+20
89.542  4.0192963357e+20
88.4449  4.78493815e+20
87.2577  5.6910664247e+20
85.9785  6.7618789612e+20
84.6065  8.025536423e+20
83.1422  9.514882921e+20
81.5877  1.1267708822e+21
79.947  1.3327586169e+21
78.2265  1.5744606079e+21
76.4353  1.8576725458e+21
74.1574  2.1889235177e+21
71.4612  2.5758934376e+21
68.69  3.0272282834e+21
65.866  3.552827104e+21
63.0165  4.1640052404e+21
60.1748  4.8735877838e+21
57.3801  5.696163475e+21
54.6785  6.6485139403e+21
50.8937  7.7492458956e+21
47.2143  9.019982308e+21
43.7464  1.0484813786e+22
40.5686  1.2171034749e+22
37.3009  1.4109686291e+22
34.0351  1.6334271632e+22
30.5593  1.8886907385e+22
27.0143  2.1810715598e+22
23.7386  2.5155853376e+22
20.4967  2.8978908727e+22
17.6568  3.3343399036e+22
14.88  3.8320756238e+22
