# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
96.5231  1.3161604721e+19
96.3248  1.5586941994e+19
96.1054  1.8432723002e+19
95.8635  2.1764831654e+19
95.5973  2.5658934721e+19
95.3052  3.019898909e+19
94.9855  3.5481986644e+19
94.6365  4.1616064034e+19
94.1998  4.8722503219e+19
93.6697  5.6936832965e+19
93.0983  6.6409932512e+19
92.4839  7.7311068017e+19
91.8246  8.9823304887e+19
91.119  1.0415731253e+20
90.3657  1.205396448e+20
89.5634  1.3922144759e+20
88.7111  1.6047962263e+20
87.8077  1.846159377e+20
86.8527  2.1196140434e+20
85.8456  2.4288406473e+20
84.7862  2.7777278307e+20
83.6746  3.1706239058e+20
82.5111  3.6123257997e+20
81.2965  4.1078883462e+20
80.0316  4.6629266481e+20
78.7179  5.2835090743e+20
77.3568  5.9762262145e+20
75.9503  6.7482226997e+20
74.5006  7.6072817078e+20
73.0104  8.5618703825e+20
71.4824  9.6211255168e+20
69.92  1.0794947677e+21
68.3266  1.2094110055e+21
66.7062  1.3530251466e+21
65.0628  1.5116059561e+21
63.4009  1.6865272788e+21
61.7254  1.8792668084e+21
60.0412  2.0914412741e+21
58.1577  2.3247930087e+21
56.0488  2.5812205566e+21
53.9358  2.8627638978e+21
51.8247  3.1716626711e+21
49.7219  3.5102995481e+21
47.6342  3.8813049791e+21
45.5687  4.287500572e+21
43.5327  4.7319461227e+21
41.5343  5.2179633455e+21
39.5816  5.7491409038e+21
37.6833  6.3293800903e+21
35.8487  6.9628928672e+21
94.9998  5.2646418885e+19
94.4871  6.2347767977e+19
93.9263  7.3730892007e+19
93.3144  8.7059326616e+19
92.6485  1.0263573888e+20
91.9257  1.2079595636e+20
91.1434  1.4192794658e+20
90.2989  1.6646425614e+20
89.3898  1.9489001287e+20
88.4141  2.2774733186e+20
87.3698  2.6563973005e+20
86.2556  3.0924427207e+20
85.0702  3.5929321955e+20
83.8132  4.1662925012e+20
82.4844  4.8215857918e+20
81.0843  5.5688579037e+20
79.614  6.4191849053e+20
78.0752  7.384637508e+20
76.4705  8.4784561736e+20
74.803  9.7153625892e+20
73.0769  1.1110911323e+21
71.2969  1.2682495623e+21
69.4687  1.4449303199e+21
67.599  1.6431553385e+21
65.6952  1.8651706593e+21
63.502  2.1134036297e+21
61.0332  2.3904904858e+21
58.5402  2.6992890799e+21
56.0336  3.0429126831e+21
53.5253  3.424748153e+21
51.0276  3.8484502067e+21
48.5541  4.3179790709e+21
46.1186  4.837644022e+21
43.7363  5.4121005862e+21
41.4227  6.0464238246e+21
39.1944  6.7461091152e+21
37.0685  7.5170672334e+21
34.598  8.3657650962e+21
31.9514  9.299172035e+21
29.4436  1.0324882226e+22
27.0948  1.1451055591e+22
24.9262  1.2686650684e+22
22.9599  1.4041198193e+22
20.8408  1.5525219917e+22
18.818  1.7150002288e+22
17.0584  1.8927784491e+22
15.3878  2.0871853382e+22
13.6537  2.2996563615e+22
12.2537  2.5317520361e+22
11.0357  2.7851571469e+22
92.9217  1.1845444249e+20
92.185  1.4028247795e+20
91.3825  1.6589450701e+20
90.5108  1.9588348489e+20
89.5668  2.3093041249e+20
88.5476  2.7179090181e+20
87.4508  3.193378798e+20
86.2742  3.745445763e+20
85.0164  4.3850252897e+20
83.6764  5.1243149669e+20
82.254  5.976893926e+20
80.7498  6.9579961215e+20
79.1653  8.0840974399e+20
77.5029  9.3741581276e+20
75.7662  1.0848568032e+21
73.9598  1.2529930283e+21
72.0896  1.4443166037e+21
70.1629  1.6615434393e+21
68.1774  1.9076526391e+21
65.5839  2.1859565826e+21
62.9408  2.4999550476e+21
60.2611  2.8535615152e+21
57.5592  3.2510932198e+21
54.8511  3.6970995116e+21
52.1543  4.1966339833e+21
49.4876  4.7551581668e+21
46.8717  5.378603593e+21
44.3284  6.0734004297e+21
41.881  6.846553537e+21
39.1306  7.7056833443e+21
36.072  8.6590129652e+21
