# chi2  Jfactor[GeV2/cm5]
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
98.0849  0
95.8847  1.0951485008e+20
95.4227  1.312519582e+20
94.909  1.5725304073e+20
94.3393  1.8833376692e+20
93.7093  2.2547349675e+20
93.0144  2.6982634363e+20
92.2504  3.2274763183e+20
91.4129  3.8586807647e+20
90.4978  4.6110428826e+20
89.5017  5.5052375014e+20
88.4215  6.5715790187e+20
87.2548  7.8400314301e+20
86.0006  9.3473598955e+20
84.6588  1.1137783071e+21
83.2313  1.3262698327e+21
81.7218  1.5782654763e+21
80.1366  1.8768922879e+21
78.4852  2.2304870184e+21
76.6655  2.6488309335e+21
74.0801  3.1434972299e+21
71.4162  3.7278185385e+21
68.6986  4.4176885449e+21
65.9591  5.2314916161e+21
63.2379  6.1907462207e+21
60.5843  7.3207114213e+21
57.7245  8.6508237769e+21
53.9394  1.021544627e+22
50.3452  1.2054649417e+22
47.0411  1.4215243384e+22
43.8525  1.6751870976e+22
40.3564  1.9728095947e+22
36.5868  2.321794441e+22
33.0162  2.7294563178e+22
29.3684  3.2082608498e+22
25.9451  3.7687725866e+22
22.646  4.4246056932e+22
19.4754  5.1915522586e+22
16.4311  6.0880378695e+22
13.8752  7.1354447792e+22
11.8145  8.3586759325e+22
10.5386  9.7865872856e+22
9.3204  1.1452858806e+23
7.7688  1.3396373501e+23
7.5745  1.5662573085e+23
8.1758  1.8304064061e+23
10.2798  2.1381942298e+23
14.4585  2.4967185473e+23
21.4158  2.9142110807e+23
31.5161  3.4002371799e+23
45.9036  3.9658851312e+23
92.6694  4.3805940033e+20
91.8359  5.2500783278e+20
90.9211  6.2901216292e+20
89.921  7.5333506769e+20
88.8329  9.0189398701e+20
87.6549  1.0793053745e+21
86.3866  1.2909905273e+21
85.0298  1.5434723059e+21
83.5886  1.844417153e+21
82.07  2.2020950006e+21
80.485  2.6286316075e+21
78.5454  3.136012572e+21
75.9541  3.7389439582e+21
73.2843  4.4551132286e+21
70.5672  5.3050793306e+21
67.8431  6.3130619054e+21
65.1631  7.5075691517e+21
62.5909  8.9219480734e+21
58.7982  1.0595323734e+22
55.0534  1.257398892e+22
51.592  1.4911274154e+22
48.2917  1.767075418e+22
44.6042  2.0925966465e+22
40.6318  2.4762984883e+22
36.9162  2.9282845685e+22
33.0234  3.4603295108e+22
29.3699  4.0861785078e+22
25.668  4.8218597667e+22
22.1165  5.6860973537e+22
18.8095  6.7007483903e+22
15.9533  7.8912383789e+22
13.8451  9.2871777641e+22
12.1746  1.0917825271e+23
9.7069  1.2833043399e+23
8.1556  1.5075090346e+23
7.6955  1.7698422773e+23
8.3503  2.0766209035e+23
10.9523  2.4352151478e+23
16.2482  2.8541779117e+23
24.5499  3.343470373e+23
37.038  3.9146349142e+23
58.1424  4.5811435226e+23
95.6558  5.3585494002e+23
151.914  6.2650292338e+23
229.475  7.3216256244e+23
331.1353  8.552776919e+23
459.9488  9.9868741892e+23
619.2471  1.1656844323e+24
812.6606  1.3600948719e+24
1044.1423  1.5863540525e+24
89.8044  9.8563365075e+20
88.6883  1.1812676238e+21
87.482  1.4152773666e+21
86.1869  1.6950039023e+21
84.807  2.0292614708e+21
83.3499  2.4284370927e+21
81.8269  2.9047286865e+21
79.9527  3.4728126882e+21
77.3877  4.1499385943e+21
74.7439  4.9547137513e+21
72.0555  5.9144211169e+21
69.368  7.0560282871e+21
66.739  8.4126239059e+21
63.9755  1.0024004764e+22
60.0694  1.1936428494e+22
56.3754  1.4204389287e+22
53.0218  1.6892030591e+22
49.585  2.0074383165e+22
45.4625  2.3839478402e+22
41.4838  2.8291475069e+22
37.6073  3.3550366846e+22
33.8337  3.9759196904e+22
29.9578  4.7083424545e+22
25.9645  5.5716715987e+22
22.3498  6.5886402792e+22
19.1238  7.7857413992e+22
16.4709  9.1939016426e+22
14.1595  1.0849184475e+23
11.5947  1.2793719046e+23
9.2202  1.5076683878e+23
8.0249  1.7755286353e+23
