# R0=8.178 kpc
# V0[km/s]  rho0[GeV/cm3]  Rc[kpc]  chi2
222.0  0.6983  14.7463  51.0639
222.0  0.6983  15.2547  55.2595
222.0  0.6983  15.7632  53.7744
222.0  0.6983  16.2716  58.5843
222.0  0.6983  16.7801  61.8769
222.0  0.6983  17.2886  65.8324
222.0  0.6983  17.7970  67.3360
222.0  0.6983  18.3055  73.1068
222.0  0.6983  18.8139  77.6604
222.0  0.6983  19.3224  85.9142
222.0  0.6983  19.8308  86.4663
222.0  0.6983  20.3393  98.6167
222.0  0.6983  20.8478  105.6963
222.0  0.6983  21.3562  109.2520
222.0  0.6983  21.8647  122.2491
222.0  0.6983  22.3731  127.7506
222.0  0.6983  22.8816  144.4407
222.0  0.6983  23.3901  146.5736
222.0  0.6983  23.8985  164.7694
222.0  0.6983  24.4070  180.1106
222.0  0.6983  24.9154  192.3864
222.0  0.6983  25.4239  205.6845
222.0  0.6983  25.9323  220.1784
222.0  0.6983  26.4408  251.8829
222.0  0.6983  26.9493  255.3593
222.0  0.6983  27.4577  284.0256
222.0  0.6983  27.9662  297.7156
222.0  0.6983  28.4746  344.4925
222.0  0.6983  28.9831  343.4717
222.0  0.6983  29.4915  397.9524
222.0  0.6983  30.0000  391.4832
222.0  0.7102  0.0010  52.4809
222.0  0.7102  0.5095  48.7738
222.0  0.7102  1.0179  45.3960
222.0  0.7102  1.5264  41.9506
222.0  0.7102  2.0348  38.3858
222.0  0.7102  2.5433  35.1347
222.0  0.7102  3.0517  34.8994
222.0  0.7102  3.5602  31.7316
222.0  0.7102  4.0687  31.2112
222.0  0.7102  4.5771  29.4141
222.0  0.7102  5.0856  28.4950
222.0  0.7102  5.5940  28.1658
222.0  0.7102  6.1025  26.6280
222.0  0.7102  6.6109  26.8412
222.0  0.7102  7.1194  26.6678
222.0  0.7102  7.6279  27.1525
222.0  0.7102  8.1363  26.1159
222.0  0.7102  8.6448  28.4424
222.0  0.7102  9.1532  28.0064
222.0  0.7102  9.6617  28.0869
222.0  0.7102  10.1702  30.9076
222.0  0.7102  10.6786  30.2277
222.0  0.7102  11.1871  33.0865
222.0  0.7102  11.6955  34.1488
222.0  0.7102  12.2040  37.3126
222.0  0.7102  12.7124  36.9259
222.0  0.7102  13.2209  40.6753
222.0  0.7102  13.7294  43.4883
222.0  0.7102  14.2378  46.8775
222.0  0.7102  14.7463  52.0922
222.0  0.7102  15.2547  53.0850
222.0  0.7102  15.7632  54.8687
222.0  0.7102  16.2716  59.3988
222.0  0.7102  16.7801  62.5938
222.0  0.7102  17.2886  62.7227
222.0  0.7102  17.7970  68.7935
222.0  0.7102  18.3055  74.3088
222.0  0.7102  18.8139  79.2740
222.0  0.7102  19.3224  83.2582
222.0  0.7102  19.8308  88.2981
222.0  0.7102  20.3393  94.7152
222.0  0.7102  20.8478  105.3564
222.0  0.7102  21.3562  104.9827
222.0  0.7102  21.8647  121.1519
222.0  0.7102  22.3731  130.2924
222.0  0.7102  22.8816  143.8937
222.0  0.7102  23.3901  149.3888
222.0  0.7102  23.8985  157.9525
222.0  0.7102  24.4070  171.6891
222.0  0.7102  24.9154  186.8829
222.0  0.7102  25.4239  197.6471
222.0  0.7102  25.9323  223.9121
222.0  0.7102  26.4408  236.0328
222.0  0.7102  26.9493  259.4791
222.0  0.7102  27.4577  288.4218
222.0  0.7102  27.9662  302.2793
222.0  0.7102  28.4746  319.4725
222.0  0.7102  28.9831  343.5555
222.0  0.7102  29.4915  367.7109
222.0  0.7102  30.0000  396.9956
222.0  0.7220  0.0010  52.2695
222.0  0.7220  0.5095  48.5595
222.0  0.7220  1.0179  45.1789
222.0  0.7220  1.5264  41.8085
222.0  0.7220  2.0348  38.2448
222.0  0.7220  2.5433  34.9947
222.0  0.7220  3.0517  34.8080
222.0  0.7220  3.5602  31.6429
222.0  0.7220  4.0687  30.6404
222.0  0.7220  4.5771  29.3851
222.0  0.7220  5.0856  28.4872
222.0  0.7220  5.5940  27.5591
222.0  0.7220  6.1025  26.7303
222.0  0.7220  6.6109  26.9502
222.0  0.7220  7.1194  25.3658
222.0  0.7220  7.6279  27.3410
222.0  0.7220  8.1363  26.0044
222.0  0.7220  8.6448  26.7060
222.0  0.7220  9.1532  26.9096
222.0  0.7220  9.6617  28.4685
222.0  0.7220  10.1702  28.6647
222.0  0.7220  10.6786  30.7111
222.0  0.7220  11.1871  33.6401
222.0  0.7220  11.6955  32.8790
222.0  0.7220  12.2040  36.1563
222.0  0.7220  12.7124  37.5222
222.0  0.7220  13.2209  41.3739
222.0  0.7220  13.7294  44.2730
222.0  0.7220  14.2378  46.0817
222.0  0.7220  14.7463  53.0862
222.0  0.7220  15.2547  53.9792
222.0  0.7220  15.7632  55.9283
222.0  0.7220  16.2716  59.6826
222.0  0.7220  16.7801  63.7286
222.0  0.7220  17.2886  63.9429
222.0  0.7220  17.7970  70.2015
222.0  0.7220  18.3055  75.6992
222.0  0.7220  18.8139  75.4586
222.0  0.7220  19.3224  83.9859
222.0  0.7220  19.8308  88.3341
222.0  0.7220  20.3393  96.5691
222.0  0.7220  20.8478  107.4134
222.0  0.7220  21.3562  107.0798
222.0  0.7220  21.8647  123.4476
222.0  0.7220  22.3731  132.7383
222.0  0.7220  22.8816  143.6378
222.0  0.7220  23.3901  152.0961
222.0  0.7220  23.8985  158.3424
222.0  0.7220  24.4070  174.6963
222.0  0.7220  24.9154  190.0672
222.0  0.7220  25.4239  200.9741
222.0  0.7220  25.9323  225.3171
222.0  0.7220  26.4408  231.1416
222.0  0.7220  26.9493  255.3748
222.0  0.7220  27.4577  265.4363
222.0  0.7220  27.9662  306.6543
222.0  0.7220  28.4746  315.7553
222.0  0.7220  28.9831  348.3291
222.0  0.7220  29.4915  372.7225
222.0  0.7220  30.0000  402.2750
222.0  0.7339  0.0010  52.0664
222.0  0.7339  0.5095  48.3541
222.0  0.7339  1.0179  44.9715
222.0  0.7339  1.5264  41.6723
222.0  0.7339  2.0348  38.1102
222.0  0.7339  2.5433  34.8618
222.0  0.7339  3.0517  33.6746
222.0  0.7339  3.5602  31.5597
222.0  0.7339  4.0687  30.5793
222.0  0.7339  4.5771  29.3597
222.0  0.7339  5.0856  27.6972
222.0  0.7339  5.5940  27.5975
222.0  0.7339  6.1025  26.8313
222.0  0.7339  6.6109  27.0585
222.0  0.7339  7.1194  25.4857
222.0  0.7339  7.6279  26.0704
222.0  0.7339  8.1363  26.2270
222.0  0.7339  8.6448  26.9893
222.0  0.7339  9.1532  27.2069
222.0  0.7339  9.6617  27.8537
222.0  0.7339  10.1702  29.0415
222.0  0.7339  10.6786  30.0082
222.0  0.7339  11.1871  31.7180
222.0  0.7339  11.6955  33.3758
222.0  0.7339  12.2040  35.2257
222.0  0.7339  12.7124  38.1029
222.0  0.7339  13.2209  39.5513
222.0  0.7339  13.7294  45.0341
222.0  0.7339  14.2378  44.6836
222.0  0.7339  14.7463  50.3245
222.0  0.7339  15.2547  52.4864
222.0  0.7339  15.7632  56.4657
222.0  0.7339  16.2716  60.7225
222.0  0.7339  16.7801  59.5982
222.0  0.7339  17.2886  65.1248
222.0  0.7339  17.7970  68.5151
222.0  0.7339  18.3055  72.0071
222.0  0.7339  18.8139  74.9797
222.0  0.7339  19.3224  85.4733
222.0  0.7339  19.8308  89.9963
222.0  0.7339  20.3393  98.3585
222.0  0.7339  20.8478  103.6465
222.0  0.7339  21.3562  109.1020
222.0  0.7339  21.8647  116.1388
222.0  0.7339  22.3731  135.0932
222.0  0.7339  22.8816  134.3232
222.0  0.7339  23.3901  148.7007
222.0  0.7339  23.8985  161.0509
222.0  0.7339  24.4070  177.5881
222.0  0.7339  24.9154  193.1281
222.0  0.7339  25.4239  197.9250
222.0  0.7339  25.9323  228.7259
222.0  0.7339  26.4408  234.6651
222.0  0.7339  26.9493  259.1114
222.0  0.7339  27.4577  269.3082
222.0  0.7339  27.9662  291.4830
222.0  0.7339  28.4746  308.3812
222.0  0.7339  28.9831  352.9068
222.0  0.7339  29.4915  352.2040
222.0  0.7339  30.0000  407.3350
222.0  0.7458  0.0010  51.8713
222.0  0.7458  0.5095  48.1574
222.0  0.7458  1.0179  44.7733
222.0  0.7458  1.5264  41.5418
222.0  0.7458  2.0348  37.9818
222.0  0.7458  2.5433  34.7355
222.0  0.7458  3.0517  33.5702
222.0  0.7458  3.5602  31.4817
222.0  0.7458  4.0687  30.5229
222.0  0.7458  4.5771  29.3376
222.0  0.7458  5.0856  27.7281
222.0  0.7458  5.5940  27.6372
222.0  0.7458  6.1025  25.5413
222.0  0.7458  6.6109  27.1659
222.0  0.7458  7.1194  25.6050
222.0  0.7458  7.6279  26.2675
222.0  0.7458  8.1363  26.4452
222.0  0.7458  8.6448  27.2656
222.0  0.7458  9.1532  27.4974
222.0  0.7458  9.6617  27.6054
222.0  0.7458  10.1702  29.4091
222.0  0.7458  10.6786  29.6577
222.0  0.7458  11.1871  32.1674
222.0  0.7458  11.6955  33.8599
222.0  0.7458  12.2040  35.7614
222.0  0.7458  12.7124  38.6685
222.0  0.7458  13.2209  40.1777
222.0  0.7458  13.7294  43.2719
222.0  0.7458  14.2378  43.6902
222.0  0.7458  14.7463  48.3968
222.0  0.7458  15.2547  52.3596
222.0  0.7458  15.7632  57.4007
222.0  0.7458  16.2716  58.7621
222.0  0.7458  16.7801  60.6718
222.0  0.7458  17.2886  66.2698
222.0  0.7458  17.7970  69.7570
222.0  0.7458  18.3055  73.3231
222.0  0.7458  18.8139  76.3836
222.0  0.7458  19.3224  86.9967
222.0  0.7458  19.8308  91.6024
222.0  0.7458  20.3393  90.7125
222.0  0.7458  20.8478  103.3251
222.0  0.7458  21.3562  111.0528
222.0  0.7458  21.8647  118.1598
222.0  0.7458  22.3731  133.4126
222.0  0.7458  22.8816  133.9656
222.0  0.7458  23.3901  151.1600
222.0  0.7458  23.8985  153.5951
222.0  0.7458  24.4070  172.3520
222.0  0.7458  24.9154  196.0722
222.0  0.7458  25.4239  200.9440
222.0  0.7458  25.9323  214.7325
222.0  0.7458  26.4408  229.7399
222.0  0.7458  26.9493  262.2100
222.0  0.7458  27.4577  266.0246
222.0  0.7458  27.9662  295.3805
222.0  0.7458  28.4746  309.6119
222.0  0.7458  28.9831  357.3000
222.0  0.7458  29.4915  356.6618
222.0  0.7458  30.0000  376.2761
222.0  0.7576  0.0010  51.6839
222.0  0.7576  0.5095  47.9688
222.0  0.7576  1.0179  44.5838
222.0  0.7576  1.5264  41.4167
222.0  0.7576  2.0348  37.8593
222.0  0.7576  2.5433  34.6156
222.0  0.7576  3.0517  33.4715
222.0  0.7576  3.5602  31.4086
222.0  0.7576  4.0687  30.4709
222.0  0.7576  4.5771  29.1177
222.0  0.7576  5.0856  27.7600
222.0  0.7576  5.5940  27.6782
222.0  0.7576  6.1025  25.5903
222.0  0.7576  6.6109  26.3441
222.0  0.7576  7.1194  25.7234
222.0  0.7576  7.6279  26.4605
222.0  0.7576  8.1363  26.6589
222.0  0.7576  8.6448  26.0808
222.0  0.7576  9.1532  27.7813
222.0  0.7576  9.6617  27.8893
222.0  0.7576  10.1702  29.6274
222.0  0.7576  10.6786  30.0334
222.0  0.7576  11.1871  32.6053
222.0  0.7576  11.6955  34.3317
222.0  0.7576  12.2040  36.2830
222.0  0.7576  12.7124  39.2194
222.0  0.7576  13.2209  38.7391
222.0  0.7576  13.7294  44.0108
222.0  0.7576  14.2378  44.4385
222.0  0.7576  14.7463  49.2340
222.0  0.7576  15.2547  53.2716
222.0  0.7576  15.7632  58.3082
222.0  0.7576  16.2716  59.6544
222.0  0.7576  16.7801  61.7126
222.0  0.7576  17.2886  66.5987
222.0  0.7576  17.7970  69.5273
222.0  0.7576  18.3055  74.5970
222.0  0.7576  18.8139  77.6928
222.0  0.7576  19.3224  88.4288
222.0  0.7576  19.8308  91.3712
222.0  0.7576  20.3393  92.3160
222.0  0.7576  20.8478  105.0921
222.0  0.7576  21.3562  112.5578
222.0  0.7576  21.8647  116.5567
222.0  0.7576  22.3731  126.6435
222.0  0.7576  22.8816  136.1650
222.0  0.7576  23.3901  153.5298
222.0  0.7576  23.8985  156.0245
222.0  0.7576  24.4070  174.9678
222.0  0.7576  24.9154  179.1869
222.0  0.7576  25.4239  194.8745
222.0  0.7576  25.9323  217.7769
222.0  0.7576  26.4408  232.9354
222.0  0.7576  26.9493  245.5118
222.0  0.7576  27.4577  269.5420
222.0  0.7576  27.9662  299.1264
222.0  0.7576  28.4746  313.4981
222.0  0.7576  28.9831  331.2207
222.0  0.7576  29.4915  355.9191
222.0  0.7576  30.0000  380.7175
222.0  0.7695  0.0010  51.5038
222.0  0.7695  0.5095  47.7879
222.0  0.7695  1.0179  44.4026
222.0  0.7695  1.5264  41.2970
222.0  0.7695  2.0348  37.7424
222.0  0.7695  2.5433  34.5017
222.0  0.7695  3.0517  33.3782
222.0  0.7695  3.5602  31.3401
222.0  0.7695  4.0687  29.5598
222.0  0.7695  4.5771  29.1027
222.0  0.7695  5.0856  27.7929
222.0  0.7695  5.5940  27.7203
222.0  0.7695  6.1025  25.6408
222.0  0.7695  6.6109  26.4647
222.0  0.7695  7.1194  25.8410
222.0  0.7695  7.6279  26.6495
222.0  0.7695  8.1363  26.8682
222.0  0.7695  8.6448  26.1566
222.0  0.7695  9.1532  28.0588
222.0  0.7695  9.6617  27.0371
222.0  0.7695  10.1702  29.9695
222.0  0.7695  10.6786  30.4003
222.0  0.7695  11.1871  33.0321
222.0  0.7695  11.6955  34.7914
222.0  0.7695  12.2040  34.4669
222.0  0.7695  12.7124  39.7559
222.0  0.7695  13.2209  39.3645
222.0  0.7695  13.7294  43.6571
222.0  0.7695  14.2378  44.8617
222.0  0.7695  14.7463  50.0458
222.0  0.7695  15.2547  54.1554
222.0  0.7695  15.7632  58.8435
222.0  0.7695  16.2716  57.5608
222.0  0.7695  16.7801  62.7219
222.0  0.7695  17.2886  66.5869
222.0  0.7695  17.7970  70.5964
222.0  0.7695  18.3055  72.8682
222.0  0.7695  18.8139  78.9882
222.0  0.7695  19.3224  84.0099
222.0  0.7695  19.8308  88.5164
222.0  0.7695  20.3393  93.8665
222.0  0.7695  20.8478  100.6747
222.0  0.7695  21.3562  114.2324
222.0  0.7695  21.8647  118.4271
222.0  0.7695  22.3731  128.6393
222.0  0.7695  22.8816  138.2868
222.0  0.7695  23.3901  152.4177
222.0  0.7695  23.8985  158.3670
222.0  0.7695  24.4070  167.4753
222.0  0.7695  24.9154  181.7814
222.0  0.7695  25.4239  197.6173
222.0  0.7695  25.9323  208.9247
222.0  0.7695  26.4408  233.8293
222.0  0.7695  26.9493  240.0132
222.0  0.7695  27.4577  264.8110
222.0  0.7695  27.9662  302.7287
222.0  0.7695  28.4746  317.2351
222.0  0.7695  28.9831  326.7657
222.0  0.7695  29.4915  359.9891
222.0  0.7695  30.0000  384.9857
222.0  0.7814  0.0010  51.3306
222.0  0.7814  0.5095  47.6145
222.0  0.7814  1.0179  44.2291
222.0  0.7814  1.5264  41.1822
222.0  0.7814  2.0348  37.6309
222.0  0.7814  2.5433  34.3934
222.0  0.7814  3.0517  33.2901
222.0  0.7814  3.5602  31.2759
222.0  0.7814  4.0687  29.5377
222.0  0.7814  4.5771  29.0903
222.0  0.7814  5.0856  26.5117
222.0  0.7814  5.5940  27.3144
222.0  0.7814  6.1025  25.6923
222.0  0.7814  6.6109  26.5834
222.0  0.7814  7.1194  25.9576
222.0  0.7814  7.6279  25.2209
222.0  0.7814  8.1363  27.0733
222.0  0.7814  8.6448  26.3561
222.0  0.7814  9.1532  27.5065
222.0  0.7814  9.6617  27.3116
222.0  0.7814  10.1702  30.3035
222.0  0.7814  10.6786  30.7586
222.0  0.7814  11.1871  33.4481
222.0  0.7814  11.6955  35.2395
222.0  0.7814  12.2040  34.9817
222.0  0.7814  12.7124  40.2784
222.0  0.7814  13.2209  39.9722
222.0  0.7814  13.7294  44.3396
222.0  0.7814  14.2378  45.5482
222.0  0.7814  14.7463  50.8333
222.0  0.7814  15.2547  55.0120
222.0  0.7814  15.7632  56.0994
222.0  0.7814  16.2716  58.4776
222.0  0.7814  16.7801  63.2370
222.0  0.7814  17.2886  66.8387
222.0  0.7814  17.7970  67.3112
222.0  0.7814  18.3055  74.0716
222.0  0.7814  18.8139  79.7878
222.0  0.7814  19.3224  85.3385
222.0  0.7814  19.8308  89.9538
222.0  0.7814  20.3393  95.3666
222.0  0.7814  20.8478  102.2462
222.0  0.7814  21.3562  113.6889
222.0  0.7814  21.8647  113.6272
222.0  0.7814  22.3731  130.5665
222.0  0.7814  22.8816  140.3348
222.0  0.7814  23.3901  151.7750
222.0  0.7814  23.8985  160.6269
222.0  0.7814  24.4070  167.3505
222.0  0.7814  24.9154  184.2830
222.0  0.7814  25.4239  200.2609
222.0  0.7814  25.9323  211.6837
222.0  0.7814  26.4408  236.7648
222.0  0.7814  26.9493  243.0464
222.0  0.7814  27.4577  268.0223
222.0  0.7814  27.9662  278.6151
222.0  0.7814  28.4746  301.2986
222.0  0.7814  28.9831  318.6755
222.0  0.7814  29.4915  363.9039
222.0  0.7814  30.0000  376.1235
222.0  0.7932  0.0010  51.1642
222.0  0.7932  0.5095  47.4481
222.0  0.7932  1.0179  44.0631
222.0  0.7932  1.5264  41.0723
222.0  0.7932  2.0348  37.5244
222.0  0.7932  2.5433  34.2905
222.0  0.7932  3.0517  33.2067
222.0  0.7932  3.5602  31.2159
222.0  0.7932  4.0687  29.5181
222.0  0.7932  4.5771  29.0804
222.0  0.7932  5.0856  26.5073
222.0  0.7932  5.5940  27.3725
222.0  0.7932  6.1025  25.7449
222.0  0.7932  6.6109  26.7004
222.0  0.7932  7.1194  26.0731
222.0  0.7932  7.6279  25.1664
222.0  0.7932  8.1363  27.2741
222.0  0.7932  8.6448  26.5523
222.0  0.7932  9.1532  27.7558
222.0  0.7932  9.6617  27.5805
222.0  0.7932  10.1702  30.6297
222.0  0.7932  10.6786  31.1086
222.0  0.7932  11.1871  31.3256
222.0  0.7932  11.6955  35.6762
222.0  0.7932  12.2040  35.4826
222.0  0.7932  12.7124  39.0945
222.0  0.7932  13.2209  38.7258
222.0  0.7932  13.7294  42.9652
222.0  0.7932  14.2378  46.2155
222.0  0.7932  14.7463  50.2714
222.0  0.7932  15.2547  55.8426
222.0  0.7932  15.7632  56.8625
222.0  0.7932  16.2716  59.3673
222.0  0.7932  16.7801  64.1328
222.0  0.7932  17.2886  67.7943
222.0  0.7932  17.7970  68.3338
222.0  0.7932  18.3055  75.2374
222.0  0.7932  18.8139  80.9465
222.0  0.7932  19.3224  81.1193
222.0  0.7932  19.8308  90.1142
222.0  0.7932  20.3393  95.0073
222.0  0.7932  20.8478  103.7668
222.0  0.7932  21.3562  110.2485
222.0  0.7932  21.8647  115.3373
222.0  0.7932  22.3731  132.4283
222.0  0.7932  22.8816  142.3125
222.0  0.7932  23.3901  141.8572
222.0  0.7932  23.8985  160.7914
222.0  0.7932  24.4070  169.6167
222.0  0.7932  24.9154  186.6963
222.0  0.7932  25.4239  202.8103
222.0  0.7932  25.9323  208.0250
222.0  0.7932  26.4408  239.5941
222.0  0.7932  26.9493  245.9697
222.0  0.7932  27.4577  271.1161
222.0  0.7932  27.9662  281.8190
222.0  0.7932  28.4746  304.6521
222.0  0.7932  28.9831  322.1792
222.0  0.7932  29.4915  367.6717
222.0  0.7932  30.0000  367.3787
222.0  0.8051  0.0010  51.0042
222.0  0.8051  0.5095  47.2885
222.0  0.8051  1.0179  43.9042
222.0  0.8051  1.5264  40.9669
222.0  0.8051  2.0348  37.4228
222.0  0.8051  2.5433  34.1927
222.0  0.8051  3.0517  33.1279
222.0  0.8051  3.5602  31.1596
222.0  0.8051  4.0687  29.5009
222.0  0.8051  4.5771  29.0729
222.0  0.8051  5.0856  26.5056
222.0  0.8051  5.5940  27.4307
222.0  0.8051  6.1025  25.7982
222.0  0.8051  6.6109  26.8155
222.0  0.8051  7.1194  26.1875
222.0  0.8051  7.6279  25.3338
222.0  0.8051  8.1363  26.0574
222.0  0.8051  8.6448  25.2882
222.0  0.8051  9.1532  27.9998
222.0  0.8051  9.6617  27.8437
222.0  0.8051  10.1702  30.9482
222.0  0.8051  10.6786  31.4504
222.0  0.8051  11.1871  31.7308
222.0  0.8051  11.6955  36.1018
222.0  0.8051  12.2040  35.9701
222.0  0.8051  12.7124  39.6449
222.0  0.8051  13.2209  39.2322
222.0  0.8051  13.7294  43.5484
222.0  0.8051  14.2378  46.8641
222.0  0.8051  14.7463  49.0437
222.0  0.8051  15.2547  56.6482
222.0  0.8051  15.7632  57.6049
222.0  0.8051  16.2716  60.2310
222.0  0.8051  16.7801  64.3258
222.0  0.8051  17.2886  68.7224
222.0  0.8051  17.7970  69.3262
222.0  0.8051  18.3055  76.3671
222.0  0.8051  18.8139  82.0705
222.0  0.8051  19.3224  82.3078
222.0  0.8051  19.8308  91.3847
222.0  0.8051  20.3393  96.3801
222.0  0.8051  20.8478  105.2386
222.0  0.8051  21.3562  111.1671
222.0  0.8051  21.8647  116.9914
222.0  0.8051  22.3731  124.4239
222.0  0.8051  22.8816  144.2231
222.0  0.8051  23.3901  141.1274
222.0  0.8051  23.8985  158.8475
222.0  0.8051  24.4070  171.8048
222.0  0.8051  24.9154  180.9412
222.0  0.8051  25.4239  205.2702
222.0  0.8051  25.9323  210.5475
222.0  0.8051  26.4408  224.8465
222.0  0.8051  26.9493  240.3872
222.0  0.8051  27.4577  273.6459
222.0  0.8051  27.9662  277.8163
222.0  0.8051  28.4746  307.8838
222.0  0.8051  28.9831  322.6762
222.0  0.8051  29.4915  371.3003
222.0  0.8051  30.0000  366.0048
222.0  0.8169  0.0010  50.8502
222.0  0.8169  0.5095  47.1352
222.0  0.8169  1.0179  43.7519
222.0  0.8169  1.5264  40.8660
222.0  0.8169  2.0348  37.3257
222.0  0.8169  2.5433  34.0997
222.0  0.8169  3.0517  33.0534
222.0  0.8169  3.5602  31.1070
222.0  0.8169  4.0687  29.4858
222.0  0.8169  4.5771  29.0629
222.0  0.8169  5.0856  26.5061
222.0  0.8169  5.5940  27.4888
222.0  0.8169  6.1025  25.8523
222.0  0.8169  6.6109  25.2574
222.0  0.8169  7.1194  26.3007
222.0  0.8169  7.6279  25.4981
222.0  0.8169  8.1363  26.2292
222.0  0.8169  8.6448  25.4753
222.0  0.8169  9.1532  28.2387
222.0  0.8169  9.6617  28.1016
222.0  0.8169  10.1702  28.7458
222.0  0.8169  10.6786  31.7841
222.0  0.8169  11.1871  31.7214
222.0  0.8169  11.6955  35.0752
222.0  0.8169  12.2040  34.5970
222.0  0.8169  12.7124  38.1244
222.0  0.8169  13.2209  39.7261
222.0  0.8169  13.7294  44.1161
222.0  0.8169  14.2378  47.4948
222.0  0.8169  14.7463  49.7147
222.0  0.8169  15.2547  56.8567
222.0  0.8169  15.7632  56.2496
222.0  0.8169  16.2716  61.0697
222.0  0.8169  16.7801  65.1799
222.0  0.8169  17.2886  64.3908
222.0  0.8169  17.7970  70.2898
222.0  0.8169  18.3055  74.2582
222.0  0.8169  18.8139  78.2108
222.0  0.8169  19.3224  81.6021
222.0  0.8169  19.8308  92.6163
222.0  0.8169  20.3393  97.7101
222.0  0.8169  20.8478  103.6060
222.0  0.8169  21.3562  110.4109
222.0  0.8169  21.8647  118.5919
222.0  0.8169  22.3731  126.0814
222.0  0.8169  22.8816  142.1343
222.0  0.8169  23.3901  142.9880
222.0  0.8169  23.8985  160.8460
222.0  0.8169  24.4070  163.6507
222.0  0.8169  24.9154  183.1409
222.0  0.8169  25.4239  199.6688
222.0  0.8169  25.9323  212.9828
222.0  0.8169  26.4408  227.3948
222.0  0.8169  26.9493  243.0584
222.0  0.8169  27.4577  276.5217
222.0  0.8169  27.9662  280.7487
222.0  0.8169  28.4746  310.9999
222.0  0.8169  28.9831  325.9069
222.0  0.8169  29.4915  344.1806
222.0  0.8169  30.0000  369.5174
222.0  0.8288  0.0010  50.7021
222.0  0.8288  0.5095  46.9880
222.0  0.8288  1.0179  43.6060
222.0  0.8288  1.5264  40.5469
222.0  0.8288  2.0348  37.2331
222.0  0.8288  2.5433  34.0113
222.0  0.8288  3.0517  32.9829
222.0  0.8288  3.5602  31.0577
222.0  0.8288  4.0687  29.4728
222.0  0.8288  4.5771  29.0642
222.0  0.8288  5.0856  26.5089
222.0  0.8288  5.5940  27.5469
222.0  0.8288  6.1025  25.9069
222.0  0.8288  6.6109  25.3285
222.0  0.8288  7.1194  26.4126
222.0  0.8288  7.6279  25.6592
222.0  0.8288  8.1363  26.3981
222.0  0.8288  8.6448  25.6592
222.0  0.8288  9.1532  28.4726
222.0  0.8288  9.6617  28.3540
222.0  0.8288  10.1702  29.0578
222.0  0.8288  10.6786  32.1101
222.0  0.8288  11.1871  32.1089
222.0  0.8288  11.6955  35.5129
222.0  0.8288  12.2040  34.8286
222.0  0.8288  12.7124  37.0517
222.0  0.8288  13.2209  40.2077
222.0  0.8288  13.7294  42.0894
222.0  0.8288  14.2378  48.1082
222.0  0.8288  14.7463  48.2388
222.0  0.8288  15.2547  51.5213
222.0  0.8288  15.7632  57.0116
222.0  0.8288  16.2716  61.2604
222.0  0.8288  16.7801  62.7359
222.0  0.8288  17.2886  65.2711
222.0  0.8288  17.7970  71.2254
222.0  0.8288  18.3055  75.2679
222.0  0.8288  18.8139  79.2785
222.0  0.8288  19.3224  82.7364
222.0  0.8288  19.8308  93.8107
222.0  0.8288  20.3393  98.9991
222.0  0.8288  20.8478  98.5133
222.0  0.8288  21.3562  111.8691
222.0  0.8288  21.8647  119.7013
222.0  0.8288  22.3731  124.1360
222.0  0.8288  22.8816  138.5491
222.0  0.8288  23.3901  144.7877
222.0  0.8288  23.8985  162.7781
222.0  0.8288  24.4070  165.6319
222.0  0.8288  24.9154  185.2665
222.0  0.8288  25.4239  189.9040
222.0  0.8288  25.9323  206.2282
222.0  0.8288  26.4408  217.9574
222.0  0.8288  26.9493  245.6374
222.0  0.8288  27.4577  258.7826
222.0  0.8288  27.9662  283.5787
222.0  0.8288  28.4746  314.0061
222.0  0.8288  28.9831  329.0233
222.0  0.8288  29.4915  339.0035
222.0  0.8288  30.0000  372.9048
222.0  0.8407  0.0010  50.5596
222.0  0.8407  0.5095  46.8467
222.0  0.8407  1.0179  43.4661
222.0  0.8407  1.5264  40.4088
222.0  0.8407  2.0348  37.1446
222.0  0.8407  2.5433  33.9272
222.0  0.8407  3.0517  32.9163
222.0  0.8407  3.5602  31.0117
222.0  0.8407  4.0687  28.1926
222.0  0.8407  4.5771  29.0627
222.0  0.8407  5.0856  26.5136
222.0  0.8407  5.5940  27.6048
222.0  0.8407  6.1025  25.9620
222.0  0.8407  6.6109  24.9799
222.0  0.8407  7.1194  25.4571
222.0  0.8407  7.6279  25.8172
222.0  0.8407  8.1363  26.5640
222.0  0.8407  8.6448  25.8400
222.0  0.8407  9.1532  26.7969
222.0  0.8407  9.6617  28.6011
222.0  0.8407  10.1702  29.3623
222.0  0.8407  10.6786  29.8251
222.0  0.8407  11.1871  31.0428
222.0  0.8407  11.6955  33.2320
222.0  0.8407  12.2040  35.2338
222.0  0.8407  12.7124  37.4966
222.0  0.8407  13.2209  40.6774
222.0  0.8407  13.7294  42.6052
222.0  0.8407  14.2378  46.3364
222.0  0.8407  14.7463  47.0021
222.0  0.8407  15.2547  52.2127
222.0  0.8407  15.7632  56.6490
222.0  0.8407  16.2716  62.0119
222.0  0.8407  16.7801  63.4802
222.0  0.8407  17.2886  66.1264
222.0  0.8407  17.7970  71.2899
222.0  0.8407  18.3055  74.5775
222.0  0.8407  18.8139  80.3148
222.0  0.8407  19.3224  83.7563
222.0  0.8407  19.8308  94.9693
222.0  0.8407  20.3393  98.4159
222.0  0.8407  20.8478  99.8039
222.0  0.8407  21.3562  113.2817
