# R0=8.178 kpc
# V0[km/s]  rho0[GeV/cm3]  Rc[kpc]  chi2
218.0  0.2237  18.8139  100000.0000
218.0  0.2237  19.3224  100000.0000
218.0  0.2237  19.8308  100000.0000
218.0  0.2237  20.3393  100000.0000
218.0  0.2237  20.8478  100000.0000
218.0  0.2237  21.3562  100000.0000
218.0  0.2237  21.8647  100000.0000
218.0  0.2237  22.3731  100000.0000
218.0  0.2237  22.8816  100000.0000
218.0  0.2237  23.3901  100000.0000
218.0  0.2237  23.8985  100000.0000
218.0  0.2237  24.4070  100000.0000
218.0  0.2237  24.9154  100000.0000
218.0  0.2237  25.4239  100000.0000
218.0  0.2237  25.9323  100000.0000
218.0  0.2237  26.4408  100000.0000
218.0  0.2237  26.9493  100000.0000
218.0  0.2237  27.4577  100000.0000
218.0  0.2237  27.9662  100000.0000
218.0  0.2237  28.4746  100000.0000
218.0  0.2237  28.9831  100000.0000
218.0  0.2237  29.4915  100000.0000
218.0  0.2237  30.0000  100000.0000
218.0  0.2356  0.0010  68.3156
218.0  0.2356  0.5095  68.0101
218.0  0.2356  1.0179  68.0469
218.0  0.2356  1.5264  70.4982
218.0  0.2356  2.0348  100000.0000
218.0  0.2356  2.5433  100000.0000
218.0  0.2356  3.0517  100000.0000
218.0  0.2356  3.5602  100000.0000
218.0  0.2356  4.0687  100000.0000
218.0  0.2356  4.5771  100000.0000
218.0  0.2356  5.0856  100000.0000
218.0  0.2356  5.5940  100000.0000
218.0  0.2356  6.1025  100000.0000
218.0  0.2356  6.6109  100000.0000
218.0  0.2356  7.1194  100000.0000
218.0  0.2356  7.6279  100000.0000
218.0  0.2356  8.1363  100000.0000
218.0  0.2356  8.6448  100000.0000
218.0  0.2356  9.1532  100000.0000
218.0  0.2356  9.6617  100000.0000
218.0  0.2356  10.1702  100000.0000
218.0  0.2356  10.6786  100000.0000
218.0  0.2356  11.1871  100000.0000
218.0  0.2356  11.6955  100000.0000
218.0  0.2356  12.2040  100000.0000
218.0  0.2356  12.7124  100000.0000
218.0  0.2356  13.2209  100000.0000
218.0  0.2356  13.7294  100000.0000
218.0  0.2356  14.2378  100000.0000
218.0  0.2356  14.7463  100000.0000
218.0  0.2356  15.2547  100000.0000
218.0  0.2356  15.7632  100000.0000
218.0  0.2356  16.2716  100000.0000
218.0  0.2356  16.7801  100000.0000
218.0  0.2356  17.2886  100000.0000
218.0  0.2356  17.7970  100000.0000
218.0  0.2356  18.3055  100000.0000
218.0  0.2356  18.8139  100000.0000
218.0  0.2356  19.3224  100000.0000
218.0  0.2356  19.8308  100000.0000
218.0  0.2356  20.3393  100000.0000
218.0  0.2356  20.8478  100000.0000
218.0  0.2356  21.3562  100000.0000
218.0  0.2356  21.8647  100000.0000
218.0  0.2356  22.3731  100000.0000
218.0  0.2356  22.8816  100000.0000
218.0  0.2356  23.3901  100000.0000
218.0  0.2356  23.8985  100000.0000
218.0  0.2356  24.4070  100000.0000
218.0  0.2356  24.9154  100000.0000
218.0  0.2356  25.4239  100000.0000
218.0  0.2356  25.9323  100000.0000
218.0  0.2356  26.4408  100000.0000
218.0  0.2356  26.9493  100000.0000
218.0  0.2356  27.4577  100000.0000
218.0  0.2356  27.9662  100000.0000
218.0  0.2356  28.4746  100000.0000
218.0  0.2356  28.9831  100000.0000
218.0  0.2356  29.4915  100000.0000
218.0  0.2356  30.0000  100000.0000
218.0  0.2475  0.0010  67.3870
218.0  0.2475  0.5095  66.4396
218.0  0.2475  1.0179  65.9872
218.0  0.2475  1.5264  65.4504
218.0  0.2475  2.0348  65.1989
218.0  0.2475  2.5433  64.9791
218.0  0.2475  3.0517  66.6913
218.0  0.2475  3.5602  72.9492
218.0  0.2475  4.0687  100000.0000
218.0  0.2475  4.5771  100000.0000
218.0  0.2475  5.0856  100000.0000
218.0  0.2475  5.5940  100000.0000
218.0  0.2475  6.1025  100000.0000
218.0  0.2475  6.6109  100000.0000
218.0  0.2475  7.1194  100000.0000
218.0  0.2475  7.6279  100000.0000
218.0  0.2475  8.1363  100000.0000
218.0  0.2475  8.6448  100000.0000
218.0  0.2475  9.1532  100000.0000
218.0  0.2475  9.6617  100000.0000
218.0  0.2475  10.1702  100000.0000
218.0  0.2475  10.6786  100000.0000
218.0  0.2475  11.1871  100000.0000
218.0  0.2475  11.6955  100000.0000
218.0  0.2475  12.2040  100000.0000
218.0  0.2475  12.7124  100000.0000
218.0  0.2475  13.2209  100000.0000
218.0  0.2475  13.7294  100000.0000
218.0  0.2475  14.2378  100000.0000
218.0  0.2475  14.7463  100000.0000
218.0  0.2475  15.2547  100000.0000
218.0  0.2475  15.7632  100000.0000
218.0  0.2475  16.2716  100000.0000
218.0  0.2475  16.7801  100000.0000
218.0  0.2475  17.2886  100000.0000
218.0  0.2475  17.7970  100000.0000
218.0  0.2475  18.3055  100000.0000
218.0  0.2475  18.8139  100000.0000
218.0  0.2475  19.3224  100000.0000
218.0  0.2475  19.8308  100000.0000
218.0  0.2475  20.3393  100000.0000
218.0  0.2475  20.8478  100000.0000
218.0  0.2475  21.3562  100000.0000
218.0  0.2475  21.8647  100000.0000
218.0  0.2475  22.3731  100000.0000
218.0  0.2475  22.8816  100000.0000
218.0  0.2475  23.3901  100000.0000
218.0  0.2475  23.8985  100000.0000
218.0  0.2475  24.4070  100000.0000
218.0  0.2475  24.9154  100000.0000
218.0  0.2475  25.4239  100000.0000
218.0  0.2475  25.9323  100000.0000
218.0  0.2475  26.4408  100000.0000
218.0  0.2475  26.9493  100000.0000
218.0  0.2475  27.4577  100000.0000
218.0  0.2475  27.9662  100000.0000
218.0  0.2475  28.4746  100000.0000
218.0  0.2475  28.9831  100000.0000
218.0  0.2475  29.4915  100000.0000
218.0  0.2475  30.0000  100000.0000
218.0  0.2593  0.0010  68.5059
218.0  0.2593  0.5095  66.5508
218.0  0.2593  1.0179  65.7907
218.0  0.2593  1.5264  65.0474
218.0  0.2593  2.0348  64.5832
218.0  0.2593  2.5433  65.2139
218.0  0.2593  3.0517  63.7510
218.0  0.2593  3.5602  64.9380
218.0  0.2593  4.0687  67.8016
218.0  0.2593  4.5771  69.6054
218.0  0.2593  5.0856  77.1331
218.0  0.2593  5.5940  100000.0000
218.0  0.2593  6.1025  100000.0000
218.0  0.2593  6.6109  100000.0000
218.0  0.2593  7.1194  100000.0000
218.0  0.2593  7.6279  100000.0000
218.0  0.2593  8.1363  100000.0000
218.0  0.2593  8.6448  100000.0000
218.0  0.2593  9.1532  100000.0000
218.0  0.2593  9.6617  100000.0000
218.0  0.2593  10.1702  100000.0000
218.0  0.2593  10.6786  100000.0000
218.0  0.2593  11.1871  100000.0000
218.0  0.2593  11.6955  100000.0000
218.0  0.2593  12.2040  100000.0000
218.0  0.2593  12.7124  100000.0000
218.0  0.2593  13.2209  100000.0000
218.0  0.2593  13.7294  100000.0000
218.0  0.2593  14.2378  100000.0000
218.0  0.2593  14.7463  100000.0000
218.0  0.2593  15.2547  100000.0000
218.0  0.2593  15.7632  100000.0000
218.0  0.2593  16.2716  100000.0000
218.0  0.2593  16.7801  100000.0000
218.0  0.2593  17.2886  100000.0000
218.0  0.2593  17.7970  100000.0000
218.0  0.2593  18.3055  100000.0000
218.0  0.2593  18.8139  100000.0000
